# CenterPoint nuScenes-trained, evaluated on V2V4Real (zero-shot transfer) - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.12274825794085417,0.18171076882267811
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.10163002860586691,0.13754090332326152
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.06901367910685081,0.13537517686684927
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.029872979786218973,0.03200874838512391
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.35996582171587005,0.43939002354939777
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.07210355823601847,0.10929861664772034
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.12145905911738648,0.1806883712609609
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.07291666666666667,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.15778735661263388,0.17051695383228269
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.13410840759792933,0.15137975133198295
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.06600897845411885,0.1079235699739349
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.027145873579513802,0.030195211486704027
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.3115119747945089,0.35464911514453673
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.10793778234586057,0.13756306787555136
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.14851177636842317,0.1469018901332041
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.39664804469273746,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.09578887258234899,0.11762593768953457
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.15767376203061723,0.14191960941201995
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.08528918563680558,0.11958375904295179
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.025126560918255814,0.03025526847691422
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.27029680902902625,0.2796392220037955
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.12622875969193958,0.1686063121866297
box_height,0.0,5.0,-130.0,-120.0,normal,0.0,0.1504306664013753,0.14543758498297799
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.010615711252653927,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.058471853111536666,0.1719055999812203
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.1037661565560405,0.14535983353230705
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.048682646163511,0.17829434899813115
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.02105394202134245,0.06349568341462909
