timestamp,vehicle_id,frame_id,ass_id,obj_id,x,y,z,yaw,length,width,height,label
0.000000,astuff,0,6,1,19.244622,-216.579438,-3.691217,1.682316,4.638322,1.761943,1.488603,car
0.000000,astuff,0,-1,2,24.621779,-220.760236,-3.857967,1.682316,4.091866,1.966674,1.742602,car
0.000000,astuff,0,-1,3,17.543107,-236.741456,-3.565867,1.682316,6.617381,2.456251,1.997611,truck
0.000000,astuff,0,1,4,14.001407,-166.315310,-3.813523,1.682316,4.148851,1.876613,1.675128,car
0.000000,astuff,0,-1,5,17.081682,-163.763259,-3.939057,1.699050,4.060847,2.204782,2.129864,car
0.000000,astuff,0,-1,7,26.728602,-282.508330,-3.625857,1.712690,4.607151,2.395581,1.672339,car
0.000000,astuff,0,-1,8,33.086318,-303.977723,-4.207994,1.645578,6.224705,3.593348,3.498806,car
0.100000,astuff,1,6,1,18.961416,-213.741856,-3.683000,1.682214,4.638322,1.761943,1.488603,car
0.100000,astuff,1,-1,2,24.364407,-218.356082,-3.881532,1.734574,4.091866,1.966674,1.742602,car
0.100000,astuff,1,-1,3,17.227727,-234.051700,-3.462250,1.682214,6.617381,2.456251,1.997611,truck
0.100000,astuff,1,1,4,13.725579,-163.632105,-3.823192,1.682214,4.148851,1.876613,1.675128,car
0.100000,astuff,1,-1,5,16.781685,-161.342345,-4.034853,1.682214,4.060847,2.204782,2.129864,car
0.100000,astuff,1,-1,7,26.427505,-280.073946,-3.576233,1.690001,4.607151,2.395581,1.672339,car
0.100000,astuff,1,-1,8,32.720800,-301.165476,-4.023391,1.688352,6.224705,3.593348,3.498806,car
0.200000,astuff,2,6,1,18.639266,-210.935167,-3.640399,1.682288,4.638322,1.761943,1.488603,car
0.200000,astuff,2,-1,2,24.022082,-216.045584,-3.864107,1.682288,4.091866,1.966674,1.742602,car
0.200000,astuff,2,-1,3,16.866351,-230.885006,-3.547081,1.682288,6.617381,2.456251,1.997611,truck
0.200000,astuff,2,1,4,13.397813,-160.948301,-3.807235,1.734648,4.148851,1.876613,1.675128,car
0.200000,astuff,2,-1,5,16.551441,-158.924049,-4.000349,1.665554,4.060847,2.204782,2.129864,car
0.200000,astuff,2,-1,7,26.129641,-277.340486,-3.528017,1.681083,4.607151,2.441101,1.672339,car
0.200000,astuff,2,-1,8,32.213359,-298.412616,-4.238783,1.754221,6.224705,3.593348,3.498806,car
0.300000,astuff,3,6,1,18.394293,-208.254116,-3.618502,1.734739,4.638322,1.761943,1.488603,car
0.300000,astuff,3,-1,2,23.764365,-213.637371,-3.798454,1.734739,4.091866,1.966674,1.742602,car
0.300000,astuff,3,-1,3,16.477043,-227.614728,-3.534469,1.682379,6.617381,2.456251,1.997611,truck
0.300000,astuff,3,1,4,13.128744,-158.264554,-3.755489,1.682379,4.148851,1.876613,1.675128,car
0.300000,astuff,3,-1,5,16.278742,-156.507210,-3.905275,1.648911,4.060847,2.204782,2.129864,car
0.300000,astuff,3,-1,7,25.835340,-274.510019,-3.609478,1.656071,4.607151,2.395581,1.672339,car
0.300000,astuff,3,-1,8,32.202591,-295.621549,-4.269651,1.809096,6.224705,3.387345,3.498806,car
0.400000,astuff,4,6,1,18.069584,-205.567668,-3.626371,1.734720,4.638322,1.761943,1.488603,car
0.400000,astuff,4,-1,2,23.423310,-211.294362,-3.845343,1.734720,4.091866,1.966674,1.742602,car
0.400000,astuff,4,-1,3,16.151356,-224.052324,-3.519065,1.682360,6.617381,2.456251,1.997611,truck
0.400000,astuff,4,1,4,12.853331,-155.565555,-3.710174,1.630000,4.148851,1.876613,1.675128,car
0.400000,astuff,4,-1,5,16.052570,-154.097700,-3.838286,1.632158,4.060847,2.204782,2.129864,car
