# score: P(score | TP, bin) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, bin) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame), param2=n_fp, param3=

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,0.016397551234587828,0.12957038602195786,
perpendicular,0,10,normal,-0.005028746819823536,0.09421286394143176,
height,0,10,normal,-0.0003354500033386013,0.14140487569692006,
yaw,0,10,normal,0.029117862950876292,0.31524158207207975,
width,0,10,normal,0.20898267711691287,0.3266770034179102,
length,0,10,normal,0.21574310560377769,0.19841378988528227,
box_height,0,10,normal,0.14904049305254932,0.16213856561729312,
score,0,10,normal,0.4345197369122258,0.15716279175240008,15746
fp_score,0,10,normal,0.08257827152562307,0.1640352484530114,37377
fp_rate,0,10,poisson,6.20983552085064,37377,
distal,10,20,normal,0.02291929777709294,0.18616720229017805,
perpendicular,10,20,normal,-0.004844500239559349,0.12283469554329511,
height,10,20,normal,-0.02148205334436565,0.17054997657576448,
yaw,10,20,normal,0.004060185058985718,0.31525183116908484,
width,10,20,normal,0.18653970695563377,0.4619327793853624,
length,10,20,normal,0.19942854334002083,0.20638971834694603,
box_height,10,20,normal,0.15035160537156797,0.16836938675944885,
score,10,20,normal,0.40112707328766367,0.15670598386693244,36622
fp_score,10,20,normal,0.06870085187517747,0.14024666664858151,118380
fp_rate,10,20,poisson,19.667718890181092,118380,
distal,20,30,normal,0.03900830806769691,0.21208584967799188,
perpendicular,20,30,normal,-0.009698232461481968,0.16954043517078013,
height,20,30,normal,-0.035556108939196994,0.19718971785610928,
yaw,20,30,normal,-0.004681926366709988,0.2577775997734005,
width,20,30,normal,0.2258742755744261,0.562368512165032,
length,20,30,normal,0.20198683510938337,0.1974341986865509,
box_height,20,30,normal,0.15087217464104152,0.19605000238766965,
score,20,30,normal,0.32287744888886094,0.14909436714937738,33753
fp_score,20,30,normal,0.04487995863061508,0.10121585550326617,148473
fp_rate,20,30,poisson,24.667386609071276,148473,
distal,30,40,normal,0.025551638025832997,0.2619878626818554,
perpendicular,30,40,normal,-0.0236325609239743,0.21740789620580916,
height,30,40,normal,-0.06407199483039132,0.22240374680654132,
yaw,30,40,normal,-0.0034002830848267472,0.24036915975017997,
width,30,40,normal,0.1873286606003147,0.6257525171155262,
length,30,40,normal,0.18924900982331852,0.20193881140891748,
box_height,30,40,normal,0.15170215290470848,0.22390876437055485,
score,30,40,normal,0.26639831494775684,0.14084872240795168,26052
fp_score,30,40,normal,0.03316149785259139,0.07609705586899015,159639
fp_rate,30,40,poisson,26.52251204519023,159639,
distal,40,50,normal,0.03160080385810662,0.28948770810458485,
perpendicular,40,50,normal,-0.010902040117874587,0.23556023647636143,
height,40,50,normal,-0.043183571626406785,0.24352385095514653,
yaw,40,50,normal,-0.010061565978815428,0.2150531798617491,
