# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate
# score: P(score | TP, cell) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, cell) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame in cell), param2=n_fp

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
miss_detection,0.0,5.0,-180.0,-170.0,constant,0.14285714285714285,,
distal,0.0,5.0,-180.0,-170.0,normal,0.0,0.04434589334121455,0.06862477340285626
perpendicular,0.0,5.0,-180.0,-170.0,normal,0.0,0.04609705184007717,0.08195806348611728
height,0.0,5.0,-180.0,-170.0,normal,0.0,0.06872875392142165,0.08087255557378133
yaw,0.0,5.0,-180.0,-170.0,normal,0.0,0.0712571889191634,0.06080973413233526
width,0.0,5.0,-180.0,-170.0,normal,0.0,0.20234013061789263,0.4087473154067993
length,0.0,5.0,-180.0,-170.0,normal,0.0,0.13515181530872028,0.33093270659446716
box_height,0.0,5.0,-180.0,-170.0,normal,0.0,0.10173626620797421,0.15216384331385294
score,0.0,5.0,-180.0,-170.0,normal,0.4633279927074909,0.14255862616507983,14
fp_score,0.0,5.0,-180.0,-170.0,normal,0.27363415905791855,0.28136135094422077,9
fp_rate,0.0,5.0,-180.0,-170.0,poisson,0.0014952649941850807,9,
miss_detection,0.0,5.0,-170.0,-160.0,constant,0.1111111111111111,,
distal,0.0,5.0,-170.0,-160.0,normal,0.0,0.044684051168919714,0.0668894616388723
perpendicular,0.0,5.0,-170.0,-160.0,normal,0.0,0.0836171226509621,0.09796115246110007
height,0.0,5.0,-170.0,-160.0,normal,0.0,0.13625248692545128,0.17909396812319756
yaw,0.0,5.0,-170.0,-160.0,normal,0.0,0.09393153883618496,0.058979764580726624
width,0.0,5.0,-170.0,-160.0,normal,0.0,0.2853686692096087,0.4701475501060486
length,0.0,5.0,-170.0,-160.0,normal,0.0,0.12302221821728632,0.22935466468334198
box_height,0.0,5.0,-170.0,-160.0,normal,0.0,0.12136533737437305,0.2079530581831932
score,0.0,5.0,-170.0,-160.0,normal,0.42973067983984947,0.1198646502850695,18
fp_score,0.0,5.0,-170.0,-160.0,normal,0.273112871684134,0.2716865464015189,4
fp_rate,0.0,5.0,-170.0,-160.0,poisson,0.0006645622196378136,4,
miss_detection,0.0,5.0,-160.0,-150.0,constant,0.09090909090909091,,
distal,0.0,5.0,-160.0,-150.0,normal,0.0,0.046294620326393685,0.05057044501469536
perpendicular,0.0,5.0,-160.0,-150.0,normal,0.0,0.07560307140044957,0.0919001372952549
height,0.0,5.0,-160.0,-150.0,normal,0.0,0.07206661495675643,0.07904243767261505
yaw,0.0,5.0,-160.0,-150.0,normal,0.0,0.03369865634961821,0.061218440532684326
width,0.0,5.0,-160.0,-150.0,normal,0.0,0.1496273446417447,0.3251070022583008
length,0.0,5.0,-160.0,-150.0,normal,0.0,0.1495322286270435,0.31562982201576234
box_height,0.0,5.0,-160.0,-150.0,normal,0.0,0.10287443212828945,0.23678409457206726
score,0.0,5.0,-160.0,-150.0,normal,0.5350784573704004,0.15035956009679324,22
fp_score,0.0,5.0,-160.0,-150.0,normal,0.29502978213131426,0.26622165083062826,5
fp_rate,0.0,5.0,-160.0,-150.0,poisson,0.000830702774547267,5,
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.08571428571428572,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.05064568728128747,0.05063435210736555
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.05493749421323521,0.04836943142825589
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.053159388112265796,0.04617217183113098
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.05314734360169973,0.03647200018167496
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.20038590480785268,0.17486540973186493
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.10274271213709671,0.2831242196261883
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.09903332538437826,0.2316310927271843
score,0.0,5.0,-150.0,-140.0,normal,0.6194769376888871,0.14824242933260082,35
fp_score,0.0,5.0,-150.0,-140.0,normal,0.24416436622333196,0.22685597527948867,9
fp_rate,0.0,5.0,-150.0,-140.0,poisson,0.0014952649941850807,9,
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.0,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.08010788877024132,0.06374430139953441
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.04407580415522947,0.050665174818204844
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.043510964676895136,0.059696659445762634
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.06577929912479187,0.09882184366385142
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.2045006737180862,0.33935219049453735
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.103337366282107,0.35916638871033985
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.1025559066921026,0.24116394917170206
score,0.0,5.0,-140.0,-130.0,normal,0.5323038686377307,0.13982189773568196,24
fp_score,0.0,5.0,-140.0,-130.0,normal,0.22371456259861588,0.21751206880435348,2
fp_rate,0.0,5.0,-140.0,-130.0,poisson,0.0003322811098189068,2,
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.0,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.05268319343198094,0.057222793890891674
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.019894562720626344,0.032857811409393395
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.09771363545351035,0.10061734914779663
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.01114359790880821,0.011888384819030762
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.051631072250628664,0.16812968254089355
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.14828415277232204,0.16149085760116577
box_height,0.0,5.0,-130.0,-120.0,normal,0.0,0.11165593140860915,0.16877436637878418
score,0.0,5.0,-130.0,-120.0,normal,0.5755920261144638,0.04366110951932642,4
fp_rate,0.0,5.0,-130.0,-120.0,poisson,0.0,0,
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.0,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.06149795463411795,0.0700275691465034
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.04137324111334174,0.14170810767163283
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.02184256911277771,0.04585912823677063
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.0014835000038146973,0.060247719287872314
width,0.0,5.0,-120.0,-110.0,normal,0.0,0.26070523262023926,0.5268394947052002
length,0.0,5.0,-120.0,-110.0,normal,0.0,0.17458051443099976,0.22493094205856323
box_height,0.0,5.0,-120.0,-110.0,normal,0.0,0.044545114040374756,0.15607231855392456
score,0.0,5.0,-120.0,-110.0,normal,0.47222189605236053,0.04074890911579132,2
fp_rate,0.0,5.0,-120.0,-110.0,poisson,0.0,0,
miss_detection,0.0,5.0,-110.0,-100.0,constant,0.0,,
fp_rate,0.0,5.0,-110.0,-100.0,poisson,0.0,0,
miss_detection,0.0,5.0,-70.0,-60.0,constant,1.0,,
fp_rate,0.0,5.0,-70.0,-60.0,poisson,0.0001661405549094534,1,
miss_detection,0.0,5.0,-60.0,-50.0,constant,0.5714285714285714,,
distal,0.0,5.0,-60.0,-50.0,normal,0.0,0.09425578856601093,0.14552789017836612
perpendicular,0.0,5.0,-60.0,-50.0,normal,0.0,0.062038868083581056,0.09830111713098895
height,0.0,5.0,-60.0,-50.0,normal,0.0,0.1582215398412793,0.12585790952046713
yaw,0.0,5.0,-60.0,-50.0,normal,0.0,0.11716155343302885,0.13624465465545654
width,0.0,5.0,-60.0,-50.0,normal,0.0,0.11463149811131618,0.2790587743123372
length,0.0,5.0,-60.0,-50.0,normal,0.0,0.08424265656643182,0.08574728171030681
box_height,0.0,5.0,-60.0,-50.0,normal,0.0,0.054251874492451474,0.20144852002461752
score,0.0,5.0,-60.0,-50.0,normal,0.5150095721085867,0.12316948633947815,7
fp_score,0.0,5.0,-60.0,-50.0,normal,0.6375289410352707,0.06479834070765596,4
fp_rate,0.0,5.0,-60.0,-50.0,poisson,0.0006645622196378136,4,
miss_detection,0.0,5.0,-50.0,-40.0,constant,0.16,,
distal,0.0,5.0,-50.0,-40.0,normal,0.0,0.06178536211115623,0.08011746161731927
perpendicular,0.0,5.0,-50.0,-40.0,normal,0.0,0.065199928206251,0.08474508020963649
height,0.0,5.0,-50.0,-40.0,normal,0.0,0.07411517186494608,0.09377064023699079
yaw,0.0,5.0,-50.0,-40.0,normal,0.0,0.08140453688795495,0.06608614467439197
width,0.0,5.0,-50.0,-40.0,normal,0.0,0.17988933244935518,0.3517477625892276
length,0.0,5.0,-50.0,-40.0,normal,0.0,0.14358521680248176,0.2540048360824585
box_height,0.0,5.0,-50.0,-40.0,normal,0.0,0.09423183744347984,0.18548853056771414
score,0.0,5.0,-50.0,-40.0,normal,0.5011695273930118,0.13075412330844802,25
fp_score,0.0,5.0,-50.0,-40.0,normal,0.3745642355643213,0.2623703367320449,4
fp_rate,0.0,5.0,-50.0,-40.0,poisson,0.0006645622196378136,4,
miss_detection,0.0,5.0,-40.0,-30.0,constant,0.16901408450704225,,
distal,0.0,5.0,-40.0,-30.0,normal,0.0,0.05931844901106528,0.10774028387317532
perpendicular,0.0,5.0,-40.0,-30.0,normal,0.0,0.09950467231574579,0.07065437052765201
height,0.0,5.0,-40.0,-30.0,normal,0.0,0.06471549732045163,0.09150697518203219
yaw,0.0,5.0,-40.0,-30.0,normal,0.0,0.07984971802151689,0.06253464895457622
width,0.0,5.0,-40.0,-30.0,normal,0.0,0.2241356912390673,0.2641118259753211
length,0.0,5.0,-40.0,-30.0,normal,0.0,0.0961393425716601,0.17386349379006077
box_height,0.0,5.0,-40.0,-30.0,normal,0.0,0.11796672294824648,0.1820063772848097
score,0.0,5.0,-40.0,-30.0,normal,0.4562732289403172,0.10303056954302921,71
fp_score,0.0,5.0,-40.0,-30.0,normal,0.35170637688133866,0.2471097024479289,16
fp_rate,0.0,5.0,-40.0,-30.0,poisson,0.0026582488785512545,16,
miss_detection,0.0,5.0,-30.0,-20.0,constant,0.018867924528301886,,
distal,0.0,5.0,-30.0,-20.0,normal,0.0,0.050120117382587884,0.03517097093783632
perpendicular,0.0,5.0,-30.0,-20.0,normal,0.0,0.05545720246957438,0.07873080597432013
height,0.0,5.0,-30.0,-20.0,normal,0.0,0.06566399878076136,0.06922116130590439
yaw,0.0,5.0,-30.0,-20.0,normal,0.0,0.05616922519588082,0.09098258469351832
width,0.0,5.0,-30.0,-20.0,normal,0.0,0.1650456306914326,0.20978442292947036
length,0.0,5.0,-30.0,-20.0,normal,0.0,0.10796688558421505,0.17846606901058784
box_height,0.0,5.0,-30.0,-20.0,normal,0.0,0.08990996268676377,0.1292604265304712
score,0.0,5.0,-30.0,-20.0,normal,0.3367659653035494,0.11429739808504741,106
fp_score,0.0,5.0,-30.0,-20.0,normal,0.18679550175483411,0.22879929953154485,13
fp_rate,0.0,5.0,-30.0,-20.0,poisson,0.0021598272138228943,13,
miss_detection,0.0,5.0,-20.0,-10.0,constant,0.16,,
distal,0.0,5.0,-20.0,-10.0,normal,0.0,0.04042579028552663,0.05625391681431734
perpendicular,0.0,5.0,-20.0,-10.0,normal,0.0,0.046799345172664306,0.0642522878288106
height,0.0,5.0,-20.0,-10.0,normal,0.0,0.10213404206597639,0.08898301635469709
yaw,0.0,5.0,-20.0,-10.0,normal,0.0,0.10814103216008272,0.09258795889117766
width,0.0,5.0,-20.0,-10.0,normal,0.0,0.19206739797532485,0.3303616614568801
length,0.0,5.0,-20.0,-10.0,normal,0.0,0.11783676966596701,0.19714711961292086
box_height,0.0,5.0,-20.0,-10.0,normal,0.0,0.09603150133412057,0.15863727955591111
