# score: P(score | TP, bin) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, bin) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame), param2=n_fp, param3=

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,-0.04497020361738543,0.17009256974437567,
perpendicular,0,10,normal,-0.0257984092847068,0.16166008778498095,
height,0,10,normal,0.05427903756838965,0.11892180879305497,
yaw,0,10,normal,-0.0057129557343625825,0.0466601181475626,
width,0,10,normal,-0.10334434716923771,0.3909330038466949,
length,0,10,normal,-0.12709664323947992,0.1611346892399347,
box_height,0,10,normal,-0.0494698349212517,0.19223650783848217,
score,0,10,normal,0.7323829684405934,0.1091731185161814,6797
fp_score,0,10,normal,0.2829032312287916,0.16435519169136284,48422
fp_rate,0,10,poisson,6.05275,48422,
distal,10,20,normal,-0.00917416360493269,0.1793577919137293,
perpendicular,10,20,normal,0.00020661626611716017,0.1232793235518387,
height,10,20,normal,0.08653461441324262,0.11275794835009202,
yaw,10,20,normal,0.0034470983571895076,0.06002921016116979,
width,10,20,normal,-0.01472803177113212,0.40624885104707414,
length,10,20,normal,-0.09660935195404516,0.1697569700813848,
box_height,10,20,normal,-0.01996262876075281,0.20147364669216897,
score,10,20,normal,0.7251346925484576,0.14276256051751413,12821
fp_score,10,20,normal,0.23714804250624655,0.14747361989521837,150096
fp_rate,10,20,poisson,18.762,150096,
distal,20,30,normal,0.022041232401743528,0.231130243124349,
perpendicular,20,30,normal,0.002798064759548458,0.13790848300156053,
height,20,30,normal,0.12598056777908995,0.12760052098630378,
yaw,20,30,normal,0.001992561795136891,0.07670831974839658,
width,20,30,normal,0.0521583455196909,0.5114820963224452,
length,20,30,normal,-0.0700855981578698,0.18060668386606712,
box_height,20,30,normal,0.002664679015004957,0.19896307994875698,
score,20,30,normal,0.674788270784995,0.1624756520236851,16193
fp_score,20,30,normal,0.22090564476524008,0.13032633974722144,282194
fp_rate,20,30,poisson,35.27425,282194,
distal,30,40,normal,0.008994743775908616,0.2584612149249249,
perpendicular,30,40,normal,0.007433894812650777,0.13971655404064004,
height,30,40,normal,0.15768244882475327,0.1482572252052066,
yaw,30,40,normal,-0.0008420201907677571,0.0902284095169444,
width,30,40,normal,0.01395433406610776,0.5297024899994822,
length,30,40,normal,-0.07071370613561348,0.18496405297301974,
box_height,30,40,normal,0.014128619382456882,0.21087249670829747,
score,30,40,normal,0.6155188855286539,0.18215754667009776,13065
fp_score,30,40,normal,0.208112597269595,0.12075167318588399,269357
fp_rate,30,40,poisson,33.669625,269357,
distal,40,50,normal,0.016620587392514426,0.24850525779640265,
perpendicular,40,50,normal,0.011785795676086938,0.14804687832954794,
height,40,50,normal,0.18155317483209316,0.165708094200065,
yaw,40,50,normal,0.003727270917325108,0.0751437374441876,
width,40,50,normal,0.015497124584154342,0.4867493657503092,
length,40,50,normal,-0.05398690271054193,0.18533697265219967,
box_height,40,50,normal,0.00976122727532884,0.24450196732826873,
score,40,50,normal,0.5450522841490419,0.18609801047476923,10124
fp_score,40,50,normal,0.2004350557612269,0.11834693551813863,218788
fp_rate,40,50,poisson,27.3485,218788,
distal,50,60,normal,0.002817340585169498,0.25909239010551255,
perpendicular,50,60,normal,0.012436177807074685,0.1715069927481657,
height,50,60,normal,0.13196148035488178,0.19247418115550088,
yaw,50,60,normal,-0.0014755210652173548,0.08339147662874954,
width,50,60,normal,-0.03377579967760836,0.514646753314721,
length,50,60,normal,-0.06589438834859908,0.20095446838771588,
box_height,50,60,normal,0.004971003946372475,0.2824514840552411,
score,50,60,normal,0.42529899305811647,0.18670698487085005,6917
fp_score,50,60,normal,0.1873598475543829,0.10129104658022414,199648
fp_rate,50,60,poisson,24.956,199648,
distal,60,70,normal,0.013537882782885601,0.2956986627359593,
perpendicular,60,70,normal,-0.0010998517819935313,0.20504444223756624,
height,60,70,normal,0.08770864032863493,0.21299219758762808,
yaw,60,70,normal,-0.002408556123218662,0.09365558287753264,
width,60,70,normal,0.013984622676037797,0.5278868777677127,
length,60,70,normal,-0.03484960479227045,0.24447931258025535,
