# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate
# score: P(score | TP, cell) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, cell) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame in cell), param2=n_fp

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
distal,0.0,5.0,-180.0,-170.0,normal,0.0,0.09036563433735932,0.11880056126225867
perpendicular,0.0,5.0,-180.0,-170.0,normal,0.0,0.13545549220413353,0.1687819173481273
height,0.0,5.0,-180.0,-170.0,normal,0.0,0.07227866045211014,0.10734011325679842
yaw,0.0,5.0,-180.0,-170.0,normal,0.0,0.03985654329379898,0.04458787820068145
width,0.0,5.0,-180.0,-170.0,normal,0.0,0.23865178767876954,0.28181097116626674
length,0.0,5.0,-180.0,-170.0,normal,0.0,0.12462321951778493,0.17942574981783257
box_height,0.0,5.0,-180.0,-170.0,normal,0.0,0.09121381011664288,0.09257187081165001
fp_score,0.0,5.0,-180.0,-170.0,normal,0.17145501002669333,0.0692796997784698,20
fp_rate,0.0,5.0,-180.0,-170.0,poisson,0.0025,20,
distal,0.0,5.0,-170.0,-160.0,normal,0.0,0.09036563433735932,0.11880056126225867
perpendicular,0.0,5.0,-170.0,-160.0,normal,0.0,0.13545549220413353,0.1687819173481273
height,0.0,5.0,-170.0,-160.0,normal,0.0,0.07227866045211014,0.10734011325679842
yaw,0.0,5.0,-170.0,-160.0,normal,0.0,0.03985654329379898,0.04458787820068145
width,0.0,5.0,-170.0,-160.0,normal,0.0,0.23865178767876954,0.28181097116626674
length,0.0,5.0,-170.0,-160.0,normal,0.0,0.12462321951778493,0.17942574981783257
box_height,0.0,5.0,-170.0,-160.0,normal,0.0,0.09121381011664288,0.09257187081165001
fp_score,0.0,5.0,-170.0,-160.0,normal,0.24086332629466878,0.1388198046652525,29
fp_rate,0.0,5.0,-170.0,-160.0,poisson,0.003625,29,
distal,0.0,5.0,-160.0,-150.0,normal,0.0,0.09036563433735932,0.11880056126225867
perpendicular,0.0,5.0,-160.0,-150.0,normal,0.0,0.13545549220413353,0.1687819173481273
height,0.0,5.0,-160.0,-150.0,normal,0.0,0.07227866045211014,0.10734011325679842
yaw,0.0,5.0,-160.0,-150.0,normal,0.0,0.03985654329379898,0.04458787820068145
width,0.0,5.0,-160.0,-150.0,normal,0.0,0.23865178767876954,0.28181097116626674
length,0.0,5.0,-160.0,-150.0,normal,0.0,0.12462321951778493,0.17942574981783257
box_height,0.0,5.0,-160.0,-150.0,normal,0.0,0.09121381011664288,0.09257187081165001
fp_score,0.0,5.0,-160.0,-150.0,normal,0.237324443700559,0.14966664617438533,68
fp_rate,0.0,5.0,-160.0,-150.0,poisson,0.0085,68,
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.05494562512945886,0.07455187966460998
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.0386545605349276,0.06697401076056993
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.027215212745367957,0.06186846892038981
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.005952333736760185,0.017605365564425785
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.27163943797358847,0.27246840794881183
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.03969988889775227,0.08204913139343262
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.13781298315422028,0.20689177513122559
score,0.0,5.0,-150.0,-140.0,normal,0.7634975711504618,0.033949362300781626,3
fp_score,0.0,5.0,-150.0,-140.0,normal,0.3048151868897435,0.1559998048804323,321
fp_rate,0.0,5.0,-150.0,-140.0,poisson,0.040125,321,
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.0392156862745098,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.1285448811979955,0.1388735695329834
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.09026096935185432,0.12230086671449748
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.06089287825010415,0.10749996559960502
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.02277105272104363,0.029484651220523087
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.2679849033839324,0.31504521077992964
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.11893908410013672,0.14744613608535456
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.14512939458578358,0.14549386501312256
score,0.0,5.0,-140.0,-130.0,normal,0.6868136096365598,0.16890372651241642,51
fp_score,0.0,5.0,-140.0,-130.0,normal,0.3060253060609102,0.1514141601183955,600
fp_rate,0.0,5.0,-140.0,-130.0,poisson,0.075,600,
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.5752212389380531,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.10453563019058151,0.14133244734287134
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.19553957524538224,0.18812191948902335
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.09262335040807178,0.11966438964009285
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.022438721567337304,0.0349358101903976
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.3363332507373628,0.39257622758547467
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.1586297367189881,0.19162794202566147
box_height,0.0,5.0,-130.0,-120.0,normal,0.0,0.17702293194690472,0.19107379764318466
score,0.0,5.0,-130.0,-120.0,normal,0.6363488746186098,0.17643253351956795,113
fp_score,0.0,5.0,-130.0,-120.0,normal,0.3974418330235758,0.18138721779212302,966
fp_rate,0.0,5.0,-130.0,-120.0,poisson,0.12075,966,
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.05660377358490566,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.10170479820396913,0.1262580202052136
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.17878309420033753,0.17169611831326428
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.09308169051804961,0.14068637013435364
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.04233467965716283,0.050572817308377795
width,0.0,5.0,-120.0,-110.0,normal,0.0,0.27388129387600874,0.3523594093322754
length,0.0,5.0,-120.0,-110.0,normal,0.0,0.12427295432983525,0.2194383692741394
box_height,0.0,5.0,-120.0,-110.0,normal,0.0,0.10288252287986782,0.11947036981582641
score,0.0,5.0,-120.0,-110.0,normal,0.7014422690868378,0.08812507280638432,53
fp_score,0.0,5.0,-120.0,-110.0,normal,0.3035905903014235,0.14064945750558527,312
fp_rate,0.0,5.0,-120.0,-110.0,poisson,0.039,312,
miss_detection,0.0,5.0,-110.0,-100.0,constant,0.16363636363636364,,
distal,0.0,5.0,-110.0,-100.0,normal,0.0,0.08232751013525626,0.08408137899243597
perpendicular,0.0,5.0,-110.0,-100.0,normal,0.0,0.14036151955738357,0.185667063044706
height,0.0,5.0,-110.0,-100.0,normal,0.0,0.0965113778208156,0.10797255194705466
yaw,0.0,5.0,-110.0,-100.0,normal,0.0,0.05015640691237567,0.05834604545797856
