# CenterPoint fine-tuned 54m on V2V4Real (astuff) - Binned error distributions (normal from mean/std)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,-0.005994,0.147953,
perpendicular,0,10,normal,0.012149,0.135357,
height,0,10,normal,-0.005812,0.084645,
yaw,0,10,normal,-0.00228,0.07532,
width,0,10,normal,-0.07961,0.398633,
length,0,10,normal,-0.051949,0.199657,
box_height,0,10,normal,-0.025752,0.142161,
distal,10,20,normal,0.000414,0.161263,
perpendicular,10,20,normal,0.004612,0.094612,
height,10,20,normal,-0.003284,0.081073,
yaw,10,20,normal,-0.001641,0.067118,
width,10,20,normal,-0.064935,0.360362,
length,10,20,normal,-0.041209,0.205605,
box_height,10,20,normal,-0.032138,0.153778,
distal,20,30,normal,-0.005231,0.170576,
perpendicular,20,30,normal,0.003228,0.106094,
height,20,30,normal,-0.010477,0.093887,
yaw,20,30,normal,0.002617,0.069702,
width,20,30,normal,-0.074344,0.375333,
length,20,30,normal,-0.044698,0.219562,
box_height,20,30,normal,-0.024892,0.153259,
distal,30,40,normal,-0.013373,0.21458,
perpendicular,30,40,normal,-0.011076,0.117134,
height,30,40,normal,-0.009809,0.114979,
yaw,30,40,normal,-0.001379,0.076328,
width,30,40,normal,-0.056823,0.441186,
length,30,40,normal,-0.029828,0.224787,
box_height,30,40,normal,-0.030503,0.164006,
distal,40,50,normal,-0.017351,0.230966,
perpendicular,40,50,normal,-3e-05,0.135512,
height,40,50,normal,-0.014804,0.135473,
yaw,40,50,normal,-0.002016,0.089925,
width,40,50,normal,-0.074766,0.471263,
length,40,50,normal,-0.046816,0.21336,
box_height,40,50,normal,-0.044389,0.183913,
distal,50,60,normal,-0.036749,0.239693,
perpendicular,50,60,normal,-0.001976,0.15492,
height,50,60,normal,-0.02487,0.157248,
yaw,50,60,normal,0.001238,0.102054,
width,50,60,normal,-0.07762,0.465822,
length,50,60,normal,-0.034998,0.221546,
box_height,50,60,normal,-0.047911,0.206918,
distal,60,70,normal,-0.043821,0.239137,
perpendicular,60,70,normal,0.009564,0.200965,
height,60,70,normal,0.005979,0.23974,
yaw,60,70,normal,-0.010202,0.093069,
width,60,70,normal,-0.092597,0.92404,
length,60,70,normal,-0.02245,0.175804,
box_height,60,70,normal,-0.123256,0.26362,
distal,70,80,normal,-0.508821,0.8429,
perpendicular,70,80,normal,0.484693,0.838071,
height,70,80,normal,-0.182008,0.170912,
yaw,70,80,normal,0.052956,0.068557,
width,70,80,normal,0.282393,1.263848,
length,70,80,normal,-0.055035,0.104809,
box_height,70,80,normal,0.167285,0.240263,
distal,0,150,normal,-0.010956,0.196102,
perpendicular,0,150,normal,0.00038,0.121481,
height,0,150,normal,-0.010332,0.111311,
yaw,0,150,normal,-0.00054,0.078154,
width,0,150,normal,-0.06951,0.420342,
length,0,150,normal,-0.040942,0.215222,
box_height,0,150,normal,-0.033203,0.16611,
