range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std,n_fp_car,n_fp_truck,n_fp_bus,n_fp_construction_vehicle,fp_width_mean,fp_width_std,fp_length_mean,fp_length_std,fp_height_mean,fp_height_std,fp_yaw_std
0.0,5.0,-180.0,-170.0,0,0,1.0,no_data,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
0.0,5.0,-170.0,-160.0,0,0,1.0,no_data,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
0.0,5.0,-160.0,-150.0,0,0,1.0,no_data,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
0.0,5.0,-150.0,-140.0,2,0,0.0,measured,0,0.0,0.7896899878978729,0.04430475831031799,,,0.03796088695526123,0.027281761169433594,0.028287023305892944,0.0212793100107199,0.035170548933015765,0.033558330964297056,0.14620113372802734,0.08036959171295166,0.010310709476470947,0.007696270942687988,0.01563572883605957,0.023409932851791382,0.009956861107106769,0.026459712842470333,0.014057571534067392,0.03241300582885742,0.07192051410675049,0.00046199560165405273,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
0.0,5.0,-140.0,-130.0,18,2,0.1111111111111111,measured,1,0.000125,0.7592233158648014,0.05263635316406772,0.47461724281311035,,0.10177066922187805,0.04866267740726471,0.04796785116195679,0.0943056496260573,0.06513259680158325,0.029922250483650714,0.20020806789398193,0.14311091601848602,0.08559466898441315,0.06585363056752534,0.041573500084148465,0.036187285517560154,0.06159924356972917,0.043128926819596576,0.05544669295647944,0.200333741245101,0.08307565209295674,0.06285523368338343,1,0,0,0,1.8738597631454468,0.0,4.311740875244141,0.0,1.5901854038238525,0.0,0.7853981633974483
0.0,5.0,-130.0,-120.0,57,4,0.07017543859649122,measured,6,0.00075,0.7445559389186356,0.0751423383735139,0.6157509436209997,0.22371723924155495,0.14101228624019982,0.05056087925749005,0.05900000513724561,0.0944847094858792,0.11324728309335087,0.04261648082096173,0.23068758226790517,0.1442832316992418,0.10550909447220136,0.17486058806473978,0.03251677510019992,0.03951687771216804,0.10514430026072628,0.1458314162698416,0.07190281751305216,0.2175475052467232,0.10639479370494254,0.0824328112926992,2,4,0,0,2.2520344257354736,0.345477769665914,5.36965290705363,0.9030018322665028,1.9532461762428284,0.2621353122983954,0.006146166391452394
0.0,5.0,-120.0,-110.0,37,2,0.05405405405405406,measured,4,0.0005,0.7390582731791905,0.07920149044550244,0.5074581205844879,0.3507291124778439,0.15635695116860526,0.04110689844403948,0.06652396747044155,0.08474480363283718,0.14122284223784778,0.040719444610710656,0.23801327432904926,0.0853473493031093,0.11169536454336984,0.15665336155072224,0.025247342971209757,0.056822849565283454,0.07792843394227031,0.13459778438547357,0.049164800025288974,0.23367318863494854,0.08330596824714279,0.10892167670925128,1,3,0,0,2.4388665556907654,0.1329134600353323,5.649886250495911,0.5583336092704756,2.1913983821868896,0.1062625231763676,0.8958913756222037
0.0,5.0,-110.0,-100.0,87,1,0.011494252873563218,measured,4,0.0005,0.7642497032187706,0.11645707499081759,0.4516998901963234,0.3300372966320715,0.12340546624605046,0.035121074942655345,0.05608795895132908,0.05525345801121206,0.11713274422196625,0.029312256866538773,0.18204031711400942,0.06652399551036746,0.07870852254157842,0.1682854909487348,0.03131132227276018,0.04356604605022104,0.06164740319111608,0.15871161790960578,0.026944186188873596,0.19018818138818167,0.07897680139338828,0.06665651097793064,1,3,0,0,2.267249882221222,0.3405576121196425,5.592115044593811,0.8790749720248417,1.917015701532364,0.2509141345019175,1.0004812788130946
0.0,5.0,-100.0,-90.0,46,0,0.0,measured,3,0.000375,0.722655149905578,0.1518860039425964,0.756423811117808,0.04985618942859783,0.1514924196931331,0.05863316681074059,0.046835819016332214,0.06607930127846708,0.15012363299733147,0.052890160407949464,0.20973123674807342,0.08387466617252516,0.08471328797547714,0.16030619932405304,0.04956920436355545,0.048060224200399376,0.054325243370563235,0.15712470756904093,0.05595908777264654,0.18129821327181306,0.07532517098634416,0.08866360384557864,1,2,0,0,2.250840504964193,0.3716044994047783,5.389914512634277,1.1158475644170636,1.882070501645406,0.3384291377298754,0.01187340178955246
0.0,5.0,-90.0,-80.0,143,2,0.013986013986013986,measured,4,0.0005,0.7784998645173743,0.07388024584642498,0.4617883935570717,0.33593944798249004,0.07029358532233494,0.10106858801334462,0.08590220559573343,0.1013274521422549,0.07467138528094248,0.03547859316282445,0.08778382024021013,0.18632055343465603,0.0360479067403374,0.054840172767740974,0.06480230834891383,0.06620392464327508,0.06178251646105677,0.05198734133754383,0.01753870137813536,0.12927212901970575,0.06431147819658906,0.04891173393904594,1,3,0,0,2.2562072575092316,0.3364015385696313,5.520218849182129,0.9503534459167169,1.9097846150398254,0.23103323109106547,0.054111252012213666
