# CenterPoint fine-tuned 54m on V2V4Real (astuff) - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
miss_detection,0.0,5.0,-180.0,-170.0,constant,1.0,,
miss_detection,0.0,5.0,-170.0,-160.0,constant,1.0,,
miss_detection,0.0,5.0,-160.0,-150.0,constant,1.0,,
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.009957,0.021279
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.02646,0.035171
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.02341,0.028287
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.014058,0.033558
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.032413,0.146201
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.071921,0.08037
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.000462,0.010311
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.111111,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.061599,0.094306
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.043129,0.065133
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.036187,0.047968
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.055447,0.029922
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.200334,0.200208
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.083076,0.143111
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.062855,0.085595
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.070175,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.105144,0.094485
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.145831,0.113247
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.039517,0.059
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.071903,0.042616
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.217548,0.230688
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.106395,0.144283
