# CenterPoint fine-tuned 54m on V2V4Real (tesla) - Binned error distributions (normal from mean/std)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,-0.013819,0.15129,
perpendicular,0,10,normal,-0.003354,0.141964,
height,0,10,normal,-0.017449,0.084977,
yaw,0,10,normal,0.001439,0.044173,
width,0,10,normal,-0.081687,0.375426,
length,0,10,normal,-0.053098,0.174254,
box_height,0,10,normal,-0.010433,0.133183,
distal,10,20,normal,-0.016568,0.155071,
perpendicular,10,20,normal,0.000107,0.101589,
height,10,20,normal,-0.007053,0.086296,
yaw,10,20,normal,0.002874,0.056729,
width,10,20,normal,-0.064058,0.353489,
length,10,20,normal,-0.035036,0.154657,
box_height,10,20,normal,-0.039245,0.144532,
distal,20,30,normal,-0.019996,0.206057,
perpendicular,20,30,normal,0.010509,0.132776,
height,20,30,normal,-0.010541,0.10624,
yaw,20,30,normal,0.003219,0.062248,
width,20,30,normal,-0.072617,0.438231,
length,20,30,normal,-0.023668,0.162237,
box_height,20,30,normal,-0.042088,0.154813,
distal,30,40,normal,-0.03206,0.223205,
perpendicular,30,40,normal,0.004619,0.13235,
height,30,40,normal,-0.017777,0.130336,
yaw,30,40,normal,0.001093,0.073191,
width,30,40,normal,-0.108753,0.458467,
length,30,40,normal,-0.030432,0.180882,
box_height,30,40,normal,-0.043788,0.18809,
distal,40,50,normal,-0.033371,0.230022,
perpendicular,40,50,normal,0.005639,0.144925,
height,40,50,normal,-0.024001,0.153658,
yaw,40,50,normal,0.002168,0.078917,
width,40,50,normal,-0.113172,0.468315,
length,40,50,normal,-0.02005,0.178057,
box_height,40,50,normal,-0.055263,0.216205,
distal,50,60,normal,-0.05656,0.260166,
perpendicular,50,60,normal,-0.006181,0.14931,
height,50,60,normal,-0.032907,0.186373,
yaw,50,60,normal,-0.002093,0.084296,
width,50,60,normal,-0.143557,0.555824,
length,50,60,normal,-0.031096,0.176333,
box_height,50,60,normal,-0.053269,0.232232,
distal,60,70,normal,-0.014049,0.232163,
perpendicular,60,70,normal,-0.015071,0.211026,
height,60,70,normal,-0.077637,0.202157,
yaw,60,70,normal,0.001968,0.089413,
width,60,70,normal,-0.112675,0.693013,
length,60,70,normal,-0.0045,0.181672,
box_height,60,70,normal,-0.044455,0.312415,
distal,70,80,normal,-0.03022,0.262075,
perpendicular,70,80,normal,0.004366,0.253744,
height,70,80,normal,-0.103175,0.24308,
yaw,70,80,normal,0.000797,0.10259,
width,70,80,normal,-0.190875,0.622273,
length,70,80,normal,-0.070368,0.161646,
box_height,70,80,normal,-0.093752,0.276497,
distal,0,150,normal,-0.025315,0.20312,
perpendicular,0,150,normal,0.003726,0.131573,
height,0,150,normal,-0.015766,0.121284,
yaw,0,150,normal,0.002023,0.066339,
width,0,150,normal,-0.0899,0.435009,
length,0,150,normal,-0.030534,0.169701,
box_height,0,150,normal,-0.041023,0.175233,
