# CenterPoint fine-tuned 54m on V2V4Real (tesla) - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
miss_detection,0.0,5.0,-180.0,-170.0,constant,1.0,,
miss_detection,0.0,5.0,-170.0,-160.0,constant,1.0,,
miss_detection,0.0,5.0,-160.0,-150.0,constant,1.0,,
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.047099,0.091352
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.043069,0.051707
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.031526,0.050582
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.020472,0.030923
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.126919,0.333893
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.047075,0.053598
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.103732,0.154342
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.0,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.094751,0.130352
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.07426,0.108178
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.047417,0.05301
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.020818,0.029214
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.316598,0.370059
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.138707,0.161517
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.076309,0.091933
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.00885,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.069848,0.140076
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.089575,0.083632
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.047396,0.051999
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.023217,0.032199
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.24089,0.385035
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.103179,0.211548
