# score: P(score | TP, bin) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, bin) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame), param2=n_fp, param3=

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,-0.0029856015958512417,0.13670004127597,
perpendicular,0,10,normal,-0.005429137303794332,0.10283459492342284,
height,0,10,normal,0.00541976143941803,0.07752483509538316,
yaw,0,10,normal,0.001878126771629238,0.3481866705511733,
width,0,10,normal,-0.026749230308944074,0.28318625153052346,
length,0,10,normal,0.013468491413955565,0.1387417642000084,
box_height,0,10,normal,-0.000989464060757585,0.12447514513351528,
score,0,10,normal,0.7679139356385116,0.12071759305253392,15746
fp_score,0,10,normal,0.3017399621202625,0.23092719116858867,18673
fp_rate,0,10,poisson,3.102342581824223,18673,
distal,10,20,normal,0.0011117251832268844,0.1825661963538941,
perpendicular,10,20,normal,-0.0030431932035064053,0.13715379276361025,
height,10,20,normal,-0.0007762519618363843,0.09756794395895124,
yaw,10,20,normal,-0.0011311709576512486,0.3073662538898189,
width,10,20,normal,-0.010143542482006935,0.3692065903354417,
length,10,20,normal,0.011397177396610867,0.15299502773134818,
box_height,10,20,normal,-0.0028286490474868204,0.1408679865279039,
score,10,20,normal,0.7189583849596235,0.14217496227534435,36622
fp_score,10,20,normal,0.25247646575723154,0.1896363078279896,89232
fp_rate,10,20,poisson,14.825053995680346,89232,
distal,20,30,normal,0.0016445600201320744,0.23022272098989702,
perpendicular,20,30,normal,-0.00541581139574314,0.1735846312699179,
height,20,30,normal,0.0059367751911868685,0.13391158414095825,
yaw,20,30,normal,-0.00013858793560785846,0.2107491096850174,
width,20,30,normal,-0.021675513633658734,0.44489811946300456,
length,20,30,normal,0.012856153264732727,0.16013344055228354,
box_height,20,30,normal,-0.006188402526303234,0.169028111856245,
score,20,30,normal,0.6585113979469435,0.1545570038202514,33753
fp_score,20,30,normal,0.2212683694405524,0.15167776070679298,134947
fp_rate,20,30,poisson,22.42016946336601,134947,
distal,30,40,normal,0.0010012594000824028,0.2598218632911742,
perpendicular,30,40,normal,-0.017991072720116463,0.2283335918884972,
height,30,40,normal,0.0020493359677146894,0.16292563636635748,
yaw,30,40,normal,-0.00032106456556684957,0.20898093014695254,
width,30,40,normal,-0.007601259087579614,0.522033939669659,
length,30,40,normal,0.020477589028641063,0.1734500765889133,
box_height,30,40,normal,-0.0030651016260391534,0.19699093402873916,
score,30,40,normal,0.5902875244356959,0.168639607405125,26052
fp_score,30,40,normal,0.2061046432420955,0.13070045611365858,146072
