range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std,n_fp_car,n_fp_truck,n_fp_bus,n_fp_construction_vehicle,fp_width_mean,fp_width_std,fp_length_mean,fp_length_std,fp_height_mean,fp_height_std,fp_yaw_std
0.0,5.0,-180.0,-170.0,631,163,0.2583201267828843,measured,34,0.0009956367682801839,0.7822920529124064,0.11224205203458076,0.252794255666873,0.180618956429861,0.055973068516478576,0.07733128632968053,0.052116400283626005,0.056581401825591765,0.07644471308154295,0.10455768616556631,0.1381349275764237,0.12648414037166497,0.10176006774617057,0.04961812326544576,0.08453149701165386,0.04982175878124066,0.049783970533902946,0.08483484823573767,0.23653867997397107,0.13597652480784791,0.13874848496052242,0.11002524116918148,10,18,1,5,2.0123070741401,0.5074952490736729,5.24292462012347,1.725287553625387,2.0479804189766155,0.5555289126441422,1.5231438468075789
0.0,5.0,-170.0,-160.0,726,153,0.21074380165289255,measured,27,0.0007906527277519108,0.7917389186525012,0.08433600539086604,0.27448156751968245,0.17053212015197988,0.05720429166657346,0.09058340499746446,0.05831338145345918,0.06380881918503,0.089414095392609,0.09229685461582152,0.17327906162742962,0.13051457058176735,0.10787675944506393,0.06016391512187697,0.10186907957276939,0.05334988899956092,0.06079873794308061,0.0985482516621522,0.2246072973810588,0.2219763379982484,0.18893287874255665,0.1490445537370721,8,15,1,3,2.0775114960140653,0.3598323215064985,5.301684211801599,1.2847710239410333,2.183094934180931,0.5344934969461422,1.6186012088074406
0.0,5.0,-160.0,-150.0,575,90,0.1565217391304348,measured,33,0.000966353333919002,0.7801986676976853,0.10224657580255658,0.2674435309388421,0.17012117255897466,0.0463480644619342,0.08072660749720544,0.05160263561710869,0.05735159298854229,0.07473360174622717,0.08220396835207297,0.15203817720265733,0.09806164770396715,0.06784273140209238,0.04415331953762422,0.09298555669646409,0.043391919090813566,0.05305844138049072,0.0870128896641427,0.20007171232661605,0.17760585406988502,0.10023250611020419,0.08214999545417624,16,13,0,4,2.0133232907815413,0.4193480065355925,5.2342682534998115,1.3446342523228831,2.059839613509901,0.42014410863128276,1.5614194282794363
0.0,5.0,-150.0,-140.0,520,80,0.15384615384615385,measured,31,0.0009077864651966382,0.7903357439928435,0.10694175930740644,0.28725185173173107,0.20864727507782527,0.045648789676752954,0.0859021858735518,0.05190138498490507,0.06454282497036229,0.07169815558390469,0.07785115700570609,0.1789323236454617,0.12773722908036275,0.09393388832157308,0.0378350810984797,0.08985417070211987,0.04370261605001457,0.061164693726064125,0.0769463538006125,0.19937628047499695,0.19855749573820192,0.11700154962904181,0.0962598924374548,13,12,1,5,2.0643838893982673,0.46909412435503395,5.616005832149137,2.173896081214725,2.213796373336546,0.647478780349714,1.6704668449377464
0.0,5.0,-140.0,-130.0,347,71,0.20461095100864554,measured,21,0.0006149521215848195,0.7826820853827656,0.10967084287881794,0.20012152727161134,0.08853197714966383,0.04170197680376578,0.08000473613324373,0.04772418748209442,0.0696009695100791,0.060924688112122996,0.12531071084116577,0.14493318917094797,0.08691305796737256,0.07134772966737332,0.033883141485224054,0.09283963245887962,0.04466188674949896,0.07039735110406464,0.06629613626998163,0.26906376966166007,0.17448623513288836,0.10031812463965065,0.06776925186963376,5,11,1,4,2.0856257733844576,0.28462648593136636,5.208799214590163,1.1276183629263834,2.104937405813308,0.4662479731505138,1.580846343918714
0.0,5.0,-130.0,-120.0,163,59,0.3619631901840491,measured,4,0.00011713373744472752,0.75127215597492,0.14059349987866265,0.17676706425845623,0.04085145370484661,0.046483248472213745,0.07932832493231846,0.052400364039035946,0.07369121298381728,0.06362086819550312,0.2217792895504616,0.10961792532068032,0.07945860950992657,0.06482194765256001,0.04206093649503923,0.11516027520132831,0.05216605230508674,0.0803480300670927,0.08689574910054071,0.3701333331756915,0.14324019301801305,0.09238937711522478,0.07408369486203013,0,4,0,0,1.9297688007354736,0.060074647367195866,5.2540024518966675,0.12598274349320193,1.9719254076480865,0.12197202898015527,0.18689292713882386
0.0,5.0,-120.0,-110.0,33,9,0.2727272727272727,measured,0,0.0,0.7666293568909168,0.11335076777826951,,,0.04243747144937515,0.10988653202851613,0.056459556023279824,0.10153647605903965,0.05953835142647556,0.2426603204230009,0.08706465860207875,0.06760076930125554,0.04952173431714376,0.03711736369265375,0.11338941898971265,0.04045052686006572,0.10809038100596666,0.05072323139846769,0.41154480070688243,0.0936627868938174,0.09099716327879834,0.04527728264969051,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
0.0,5.0,-110.0,-100.0,50,0,0.0,measured,0,0.0,0.7899938786029815,0.05643226598082131,,,0.042237863540649415,0.09731496810913086,0.04280417561531067,0.09167935971145834,0.04826871060060955,0.06472892672309669,0.15718641757965088,0.06846560597419739,0.05301808595657349,0.03551171028258412,0.08230802238005953,0.0324777923496333,0.0791079060743399,0.04792596400966074,0.05340841960169274,0.13031104262762847,0.0458795929342615,0.05399334456455409,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
0.0,5.0,-100.0,-90.0,48,5,0.10416666666666667,measured,0,0.0,0.777249739613644,0.0702314112408057,,,0.05153277577009312,0.07943141737649607,0.038312198117721914,0.07658580166080059,0.05426497532599552,0.10515899436418401,0.10782511428345082,0.03927679255951282,0.0645463272582653,0.027080798200721085,0.06280637562213519,0.03872652372700373,0.06367227254962708,0.027906211498416503,0.07029118641941962,0.054868153986140214,0.03461260934028367,0.06590610758640662,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
0.0,5.0,-90.0,-80.0,52,0,0.0,measured,0,0.0,0.6651892919953053,0.08376917643150548,,,0.04577412255681478,0.18391178662960345,0.036652834369586065,0.1844832451558593,0.04418640884828088,0.05009186267852783,0.16802842227312234,0.07190623191686776,0.05355100219066326,0.046212452432985156,0.08811209924878786,0.02821733513881646,0.09378082151912823,0.032199369498351095,0.05382486172302502,0.14785347998740042,0.04006344131442486,0.03585813969314743,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
0.0,5.0,-80.0,-70.0,165,23,0.1393939393939394,measured,0,0.0,0.9132852453581044,0.0711167576099369,,,0.023101847356473897,0.058051671780331035,0.037390362628748716,0.05638639136537904,0.029465759645547523,0.046267192744331824,0.2035974730068529,0.03799371946025902,0.07841304406313829,0.020701822634906674,0.05506038056501295,0.029729738825829296,0.051198949174749965,0.026361229046590183,0.06546504139094061,0.1359272946978555,0.033545618967902556,0.04417517937113772,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483
