# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate
# score: P(score | TP, cell) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, cell) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame in cell), param2=n_fp

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
miss_detection,0.0,5.0,-180.0,-170.0,constant,0.0,,
distal,0.0,5.0,-180.0,-170.0,normal,0.0,0.04440298218280176,0.055128455586265175
perpendicular,0.0,5.0,-180.0,-170.0,normal,0.0,0.06919770491205876,0.09417923690963967
height,0.0,5.0,-180.0,-170.0,normal,0.0,0.038984227853304666,0.06188333034515381
yaw,0.0,5.0,-180.0,-170.0,normal,0.0,0.015210758356950268,0.019608710493360246
width,0.0,5.0,-180.0,-170.0,normal,0.0,0.11459741369383822,0.17196941375732422
length,0.0,5.0,-180.0,-170.0,normal,0.0,0.19473254896524828,0.13905245917184011
box_height,0.0,5.0,-180.0,-170.0,normal,0.0,0.05493383365743944,0.08946166719709124
score,0.0,5.0,-180.0,-170.0,normal,0.7955837824514934,0.14446108848216976,14
fp_score,0.0,5.0,-180.0,-170.0,normal,0.41172430912653607,0.19298159845943802,3
fp_rate,0.0,5.0,-180.0,-170.0,poisson,0.0004984216647283602,3,
miss_detection,0.0,5.0,-170.0,-160.0,constant,0.0,,
distal,0.0,5.0,-170.0,-160.0,normal,0.0,0.09455274205159975,0.08450872819029492
perpendicular,0.0,5.0,-170.0,-160.0,normal,0.0,0.23242354862634487,0.19123718080114105
height,0.0,5.0,-170.0,-160.0,normal,0.0,0.14211797196236486,0.09360779987441169
yaw,0.0,5.0,-170.0,-160.0,normal,0.0,0.015463236669821304,0.01964194244808621
width,0.0,5.0,-170.0,-160.0,normal,0.0,0.46911258175305326,0.4113910463121202
length,0.0,5.0,-170.0,-160.0,normal,0.0,0.11852432001424239,0.14339241716596815
box_height,0.0,5.0,-170.0,-160.0,normal,0.0,0.47042842137631624,0.2097903291384379
score,0.0,5.0,-170.0,-160.0,normal,0.7790956298510233,0.08638467827765045,18
fp_score,0.0,5.0,-170.0,-160.0,normal,0.201902337372303,0.021805234253406525,2
fp_rate,0.0,5.0,-170.0,-160.0,poisson,0.0003322811098189068,2,
miss_detection,0.0,5.0,-160.0,-150.0,constant,0.0,,
distal,0.0,5.0,-160.0,-150.0,normal,0.0,0.048314373853235594,0.05469805245344795
perpendicular,0.0,5.0,-160.0,-150.0,normal,0.0,0.07860304341828878,0.07635345218581503
height,0.0,5.0,-160.0,-150.0,normal,0.0,0.045842186864124834,0.04520751129497181
yaw,0.0,5.0,-160.0,-150.0,normal,0.0,0.013165108911303436,0.023758563128384678
width,0.0,5.0,-160.0,-150.0,normal,0.0,0.13667442733947296,0.13155412673950195
length,0.0,5.0,-160.0,-150.0,normal,0.0,0.1697356137319247,0.12107266621156172
box_height,0.0,5.0,-160.0,-150.0,normal,0.0,0.06688254326057723,0.11552592841061679
score,0.0,5.0,-160.0,-150.0,normal,0.7872605621814728,0.1051147320490322,22
fp_score,0.0,5.0,-160.0,-150.0,normal,0.27894060015678407,0.18104803312910955,5
fp_rate,0.0,5.0,-160.0,-150.0,poisson,0.000830702774547267,5,
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.045144616356826366,0.043305613415050875
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.060357302460808074,0.05496112303513219
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.023385119975186434,0.034570695672716416
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.011675524996194743,0.016893015589032855
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.09823233887875499,0.21035454613821847
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.04877629949259803,0.06327733652932303
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.038552221944270874,0.10672052587781633
score,0.0,5.0,-150.0,-140.0,normal,0.8376449584960938,0.07045651182318187,35
fp_score,0.0,5.0,-150.0,-140.0,normal,0.3285865277051926,0.19572029651101086,5
fp_rate,0.0,5.0,-150.0,-140.0,poisson,0.000830702774547267,5,
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.041666666666666664,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.054826459575837753,0.08829303290852478
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.043830236925036244,0.0507494081072702
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.05344466604858078,0.056940024313719376
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.009403669761430655,0.016964140145674995
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.13503885820253467,0.16372075288192087
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.16026950606904328,0.1017884171527365
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.07555296304251247,0.09257453939189082
score,0.0,5.0,-140.0,-130.0,normal,0.8393867093583812,0.05257373431254452,24
fp_rate,0.0,5.0,-140.0,-130.0,poisson,0.0001661405549094534,1,
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.0,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.06326786738300799,0.06431014366514164
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.02961670341997805,0.06843608213222392
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.0035355704497673397,0.026712656021118164
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.017007223051477185,0.01720362901687622
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.13489265225424985,0.27738726139068604
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.0904023738096816,0.13580259680747986
box_height,0.0,5.0,-130.0,-120.0,normal,0.0,0.06367101133001582,0.13059157133102417
score,0.0,5.0,-130.0,-120.0,normal,0.792959451675415,0.05387392053364436,4
fp_rate,0.0,5.0,-130.0,-120.0,poisson,0.0001661405549094534,1,
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.0,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.015820293959098845,0.11057771939251429
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.055474029464679456,0.12650791187847144
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.003863394260406494,0.026980459690093994
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.005288064479827881,0.025355041027069092
width,0.0,5.0,-120.0,-110.0,normal,0.0,0.17908978462219238,0.23144078254699707
length,0.0,5.0,-120.0,-110.0,normal,0.0,0.1025468111038208,0.146958589553833
box_height,0.0,5.0,-120.0,-110.0,normal,0.0,0.04806983470916748,0.10764777660369873
score,0.0,5.0,-120.0,-110.0,normal,0.7381066679954529,0.0324670672416687,2
fp_rate,0.0,5.0,-120.0,-110.0,poisson,0.0,0,
miss_detection,0.0,5.0,-110.0,-100.0,constant,0.0,,
fp_rate,0.0,5.0,-110.0,-100.0,poisson,0.0,0,
miss_detection,0.0,5.0,-70.0,-60.0,constant,0.0,,
fp_rate,0.0,5.0,-70.0,-60.0,poisson,0.0,0,
miss_detection,0.0,5.0,-60.0,-50.0,constant,0.0,,
distal,0.0,5.0,-60.0,-50.0,normal,0.0,0.11769997928165987,0.1209332122002086
perpendicular,0.0,5.0,-60.0,-50.0,normal,0.0,0.07359835150586176,0.07408233153962773
height,0.0,5.0,-60.0,-50.0,normal,0.0,0.14428502349710684,0.10417890548706055
yaw,0.0,5.0,-60.0,-50.0,normal,0.0,0.02498786365892062,0.0322380576814924
width,0.0,5.0,-60.0,-50.0,normal,0.0,0.11524929372036928,0.20933662142072404
length,0.0,5.0,-60.0,-50.0,normal,0.0,0.04792744652923415,0.05328013215746198
box_height,0.0,5.0,-60.0,-50.0,normal,0.0,0.07310297775699136,0.07136130332946777
score,0.0,5.0,-60.0,-50.0,normal,0.8460687143462045,0.02523729917019338,7
fp_rate,0.0,5.0,-60.0,-50.0,poisson,0.0,0,
miss_detection,0.0,5.0,-50.0,-40.0,constant,0.0,,
distal,0.0,5.0,-50.0,-40.0,normal,0.0,0.09635430756281665,0.098309357437544
perpendicular,0.0,5.0,-50.0,-40.0,normal,0.0,0.06933494618713008,0.08753198359196501
height,0.0,5.0,-50.0,-40.0,normal,0.0,0.09587253288712352,0.08280255794525146
yaw,0.0,5.0,-50.0,-40.0,normal,0.0,0.018483487235707998,0.029321227073669433
width,0.0,5.0,-50.0,-40.0,normal,0.0,0.1637260253469654,0.27397680282592773
length,0.0,5.0,-50.0,-40.0,normal,0.0,0.09322972616782926,0.10189066886901856
box_height,0.0,5.0,-50.0,-40.0,normal,0.0,0.12362594291796726,0.11880581855773925
score,0.0,5.0,-50.0,-40.0,normal,0.7984250760078431,0.13367470001290993,25
fp_score,0.0,5.0,-50.0,-40.0,normal,0.5146732032299042,0.11340591311454773,2
fp_rate,0.0,5.0,-50.0,-40.0,poisson,0.0003322811098189068,2,
miss_detection,0.0,5.0,-40.0,-30.0,constant,0.0,,
