# cobevt_tracker_astuff - Binned error distributions (normal, from polar calibration)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,0.135425,0.114379,
perpendicular,0,10,normal,0.120051,0.121413,
height,0,10,normal,0.057558,0.049217,
yaw,0,10,normal,0.031514,0.071778,
width,0,10,normal,0.264091,0.246285,
length,0,10,normal,0.112215,0.144448,
box_height,0,10,normal,0.090475,0.089256,
distal,10,20,normal,0.145496,0.126791,
perpendicular,10,20,normal,0.097790,0.096144,
height,10,20,normal,0.060068,0.051080,
yaw,10,20,normal,0.032082,0.059862,
width,10,20,normal,0.246779,0.216669,
length,10,20,normal,0.121653,0.140284,
box_height,10,20,normal,0.093372,0.088177,
distal,20,30,normal,0.148798,0.134618,
perpendicular,20,30,normal,0.113396,0.100192,
height,20,30,normal,0.070403,0.058505,
yaw,20,30,normal,0.036404,0.058309,
width,20,30,normal,0.237358,0.223232,
length,20,30,normal,0.129397,0.149525,
box_height,20,30,normal,0.096574,0.087820,
distal,30,40,normal,0.167485,0.145848,
perpendicular,30,40,normal,0.121767,0.108858,
height,30,40,normal,0.081936,0.064827,
yaw,30,40,normal,0.042692,0.062173,
width,30,40,normal,0.271984,0.232244,
length,30,40,normal,0.135106,0.148190,
box_height,30,40,normal,0.104914,0.091680,
distal,40,50,normal,0.171183,0.164545,
perpendicular,40,50,normal,0.114083,0.119824,
height,40,50,normal,0.086438,0.079894,
yaw,40,50,normal,0.044123,0.064406,
width,40,50,normal,0.263358,0.254724,
length,40,50,normal,0.120603,0.147999,
box_height,40,50,normal,0.105832,0.096950,
distal,50,60,normal,0.159278,0.158035,
perpendicular,50,60,normal,0.123918,0.132993,
height,50,60,normal,0.098238,0.091429,
yaw,50,60,normal,0.053914,0.070306,
width,50,60,normal,0.256453,0.255921,
length,50,60,normal,0.114071,0.133037,
box_height,50,60,normal,0.104030,0.097786,
distal,0,150,normal,0.155934,0.142100,
perpendicular,0,150,normal,0.113895,0.110244,
height,0,150,normal,0.074575,0.066037,
yaw,0,150,normal,0.039105,0.063227,
width,0,150,normal,0.255898,0.235166,
length,0,150,normal,0.124898,0.145886,
box_height,0,150,normal,0.099467,0.091507,
