# cobevt_tracker_tesla - Binned error distributions (normal, from polar calibration)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,0.131029,0.112679,
perpendicular,0,10,normal,0.123588,0.117218,
height,0,10,normal,0.054604,0.045742,
yaw,0,10,normal,0.029044,0.024164,
width,0,10,normal,0.277084,0.239808,
length,0,10,normal,0.116489,0.109369,
box_height,0,10,normal,0.087598,0.071771,
distal,10,20,normal,0.135331,0.121361,
perpendicular,10,20,normal,0.092676,0.095719,
height,10,20,normal,0.061023,0.053178,
yaw,10,20,normal,0.030485,0.026460,
width,10,20,normal,0.247373,0.231162,
length,10,20,normal,0.105087,0.087501,
box_height,10,20,normal,0.089533,0.085215,
distal,20,30,normal,0.150168,0.141827,
perpendicular,20,30,normal,0.107644,0.107000,
height,20,30,normal,0.072676,0.060340,
yaw,20,30,normal,0.038800,0.039129,
width,20,30,normal,0.257385,0.242060,
length,20,30,normal,0.110974,0.091913,
box_height,20,30,normal,0.093918,0.085356,
distal,30,40,normal,0.183719,0.158795,
perpendicular,30,40,normal,0.135343,0.123486,
height,30,40,normal,0.090148,0.071699,
yaw,30,40,normal,0.047368,0.045345,
width,30,40,normal,0.290752,0.245620,
length,30,40,normal,0.115166,0.091771,
box_height,30,40,normal,0.101456,0.089355,
distal,40,50,normal,0.168395,0.167923,
perpendicular,40,50,normal,0.121668,0.146309,
height,40,50,normal,0.085975,0.080560,
yaw,40,50,normal,0.045370,0.046395,
width,40,50,normal,0.252035,0.265869,
length,40,50,normal,0.092912,0.090907,
box_height,40,50,normal,0.101568,0.102160,
distal,50,60,normal,0.150822,0.162501,
perpendicular,50,60,normal,0.105465,0.120429,
height,50,60,normal,0.090972,0.092827,
yaw,50,60,normal,0.042564,0.045080,
width,50,60,normal,0.230321,0.272732,
length,50,60,normal,0.088948,0.099533,
box_height,50,60,normal,0.112846,0.118815,
distal,0,150,normal,0.155059,0.145826,
perpendicular,0,150,normal,0.114275,0.118440,
height,0,150,normal,0.075101,0.067187,
yaw,0,150,normal,0.039088,0.039269,
width,0,150,normal,0.262167,0.246772,
length,0,150,normal,0.107141,0.093747,
box_height,0,150,normal,0.096153,0.090068,
