range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std,n_fp_car,n_fp_truck,n_fp_bus,n_fp_construction_vehicle,fp_width_mean,fp_width_std,fp_length_mean,fp_length_std,fp_height_mean,fp_height_std,fp_yaw_std
0.0,5.0,-180.0,-170.0,0,0,1.0,no_data,218,0.02725,,,0.45386249114067184,0.08157758643163553,,,,,,,,,,,,,,,,,,,218,0,0,0,2.000893424410339,0.06726581489421413,4.344148291360348,0.24089189714176512,2.1120871212504326,0.11922393983687957,0.09546731323875049
0.0,5.0,-170.0,-160.0,0,0,1.0,no_data,170,0.02125,,,0.49785010087139464,0.10218582062819435,,,,,,,,,,,,,,,,,,,170,0,0,0,2.005045639066135,0.0825042553582813,4.394440815028022,0.24300079550110537,2.032162240673514,0.12642921326367146,0.09636987210244256
0.0,5.0,-160.0,-150.0,0,0,1.0,no_data,130,0.01625,,,0.4872445863026839,0.09165256669766259,,,,,,,,,,,,,,,,,,,130,0,0,0,2.014910845573132,0.10482577763509374,4.4218846632884095,0.31649326756328444,2.0838293744967533,0.14611030126270233,0.09445642079551013
0.0,5.0,-150.0,-140.0,3,0,0.0,measured,66,0.00825,0.6245316664377848,0.0683343212758471,0.5045032885038492,0.09919027647003135,0.2512361208597819,0.05377443631490072,0.05437841018040975,0.22502706913546844,0.1656237064930993,0.05390434945002198,0.33127832412719727,0.07680062452952068,0.19528186321258545,0.21903841641661506,0.03344558705484092,0.022797092544740737,0.16470765369120693,0.09955254092550272,0.031413525982685535,0.1410643857432852,0.047212030234269745,0.148951395876539,66,0,0,0,2.02767306024378,0.08979673860710125,4.450268720135544,0.24946217090652345,2.092218344861811,0.13735432642878845,0.062060901987534334
0.0,5.0,-140.0,-130.0,51,2,0.0392156862745098,measured,101,0.012625,0.5794875713027253,0.12359350955563926,0.5666268417740813,0.1045707584905147,0.16401526879291145,0.08776453563145228,0.05838383825457826,0.15368035950759784,0.11918854063771124,0.033529121732833435,0.29282242911202566,0.15068566555879553,0.10040770501506571,0.13939709656722207,0.06517316981009987,0.04339833914151242,0.10500446194408938,0.09712474741477282,0.024992328428105937,0.16503553444328642,0.11656574533077976,0.08937237586553051,101,0,0,0,2.0420326372184374,0.13738441450727729,4.499389091340622,0.4257392106347587,2.1872665858504794,0.15186250147474573,0.07820267233476096
0.0,5.0,-130.0,-120.0,113,10,0.08849557522123894,measured,106,0.01325,0.6743710608158296,0.10121756917453535,0.5677706874766439,0.131451969443964,0.20762565760936552,0.13483319699185567,0.052310452877896506,0.21374222465956036,0.1251722918620452,0.03359912628479171,0.2686927202835824,0.20090192614249813,0.12865753544187084,0.10709161833994096,0.06145292924728347,0.042891105224022376,0.0846270022554616,0.08954278964464044,0.021412184423645546,0.1789493384673132,0.09275821289083853,0.0814020164482378,106,0,0,0,2.107748788482738,0.18389339259657309,4.758217325750387,1.4484826899180927,2.2350421806551375,0.2251917555459753,0.2351093091454771
0.0,5.0,-120.0,-110.0,53,11,0.20754716981132076,measured,43,0.005375,0.5778394284702483,0.12838372389144104,0.535050067790719,0.12328213218281395,0.2078678011894226,0.08421249049050468,0.06457518679755074,0.1428241508233729,0.1807080531710424,0.042003232493914855,0.25404117220924016,0.12652282487778438,0.08416052091689337,0.1625023553598471,0.06965365295865868,0.0727582901581117,0.09183600613119834,0.14167364833484955,0.03704872652105644,0.16499163809652984,0.09252690283631132,0.0814484306844994,43,0,0,0,2.174789173658504,0.264907620329621,4.993572002233461,1.2506644615117546,2.2341241143470585,0.2597449501751701,0.06559284359708362
0.0,5.0,-110.0,-100.0,55,19,0.34545454545454546,measured,49,0.006125,0.596538609928555,0.1360361109007159,0.4664992684004258,0.13035310921304563,0.21313783464332423,0.09740794367260402,0.06134902106391059,0.11886640507245609,0.20602245631488475,0.036379274850737095,0.2635094854566786,0.12814701596895853,0.11803078651428223,0.2301391173105197,0.0652261557669618,0.0478085268121249,0.08781428793721219,0.21874342237604283,0.03290889351603235,0.2693369996705929,0.1250809718376464,0.1049250903487688,49,0,0,0,2.1991991923779857,0.24166116220101402,5.1785600525992255,2.2379286650184933,2.2094471041037114,0.3308461551754063,0.0849422712067445
0.0,5.0,-100.0,-90.0,43,12,0.27906976744186046,measured,55,0.006875,0.5208301943156027,0.1534129742041243,0.4977589813145724,0.10635276900428685,0.2141465877873763,0.1119210873880694,0.065980690140878,0.12394569489253196,0.20956663839162898,0.03545129510401297,0.2774853321813768,0.11758302873180758,0.08549858293225689,0.1763561533203375,0.08328634414487913,0.07003803785374624,0.08724211421096706,0.17184673723091207,0.026776204319855855,0.21556352935490294,0.08404360296366571,0.07428546725924949,55,0,0,0,2.2708501902493565,0.3090368860377102,5.363507504896684,2.176531644601002,2.280967302755876,0.3715460831239535,0.292763901729379
0.0,5.0,-90.0,-80.0,64,40,0.625,measured,50,0.00625,0.47464766663809616,0.13288393505408572,0.49773629784584045,0.11103846993476434,0.16933741518005263,0.10527377327283223,0.06979722032944362,0.10850057398435968,0.1710847244758764,0.03470140569455301,0.27389951546986896,0.13007363180319467,0.08381925523281097,0.12676970588677064,0.08150444950629461,0.06407189263241764,0.078217077276729,0.12373759516520358,0.026141274224421834,0.24504367158287554,0.105362355291362,0.05728564474944271,50,0,0,0,2.291730473041534,0.3185820788230426,5.485205063819885,2.3945842660225805,2.303390107154846,0.3971105337582173,0.2433070313525353
0.0,5.0,-80.0,-70.0,47,14,0.2978723404255319,measured,73,0.009125,0.6317166966019254,0.13941710934392632,0.49644590771361574,0.09983693125350498,0.1348614620439934,0.13192673885461056,0.08017887310548262,0.13087769804033295,0.134692208803569,0.039630406389760814,0.281265114292954,0.13113293864510275,0.10788531375653816,0.09377833225928955,0.10841104980187548,0.06418982783805535,0.1051679572259426,0.09903710166465912,0.028653779332087553,0.24588992729003525,0.10006513192038198,0.09472867699250774,73,0,0,0,2.163374551355022,0.20972614170940596,4.980913655398643,1.796118949297685,2.2017606741761506,0.27452085181910285,0.24280316300599944
0.0,5.0,-70.0,-60.0,64,21,0.328125,measured,97,0.012125,0.5307073010954746,0.14104505295903838,0.48333274242804225,0.11052603813948136,0.20886311697405438,0.09255128683045853,0.07423508583113204,0.13395248366758675,0.18884692031047606,0.032121628662300575,0.2690163823061211,0.12118147694787314,0.07564380834268969,0.1685073835312197,0.06736623146059544,0.05502431651262468,0.09630240665475631,0.14913721551935646,0.028365827575147638,0.24401446793750622,0.07760208537821085,0.07204679711970134,97,0,0,0,2.1593222814736905,0.23750622218549325,4.996657145392034,1.855524849528837,2.203894346030717,0.29764808200572945,0.07546280021183184
0.0,5.0,-60.0,-50.0,64,21,0.328125,measured,108,0.0135,0.583816024453141,0.14518128244897038,0.486245353464727,0.09785349439977269,0.20712615168371865,0.1307427217794019,0.0709314595821292,0.18932076017111857,0.1792725198820784,0.03629839179907427,0.29501407091007675,0.14821267127990723,0.09388027634731559,0.22249067195547387,0.09766956032305198,0.04520644678767101,0.14855054932526995,0.17025889641663258,0.023321458226222065,0.26815121131656733,0.13027825887790206,0.07088196066485199,108,0,0,0,2.1197733956354634,0.15978781355463928,4.754527297284868,1.4986279319609694,2.1751909289095135,0.24434394993821967,0.10896505948213234
0.0,5.0,-50.0,-40.0,51,5,0.09803921568627451,measured,160,0.02,0.558724978695745,0.1129414011753276,0.49253943655639887,0.10453624282840836,0.2532476497733075,0.10989548849022907,0.06537339480026909,0.2054113422767332,0.1910527425626623,0.03638127461865382,0.33023758038230566,0.14058918019999628,0.08931129393370255,0.21524250493617228,0.07963276900060694,0.04279838286987742,0.1544752272469992,0.16224838528150554,0.029487601434498273,0.2776634268301467,0.11755743363857596,0.08719438326478439,160,0,0,0,2.1319890826940537,0.1454961209102819,4.765770019590855,1.3259812275476313,2.2082755625247956,0.2182880510431981,0.10905279523289983
0.0,5.0,-40.0,-30.0,5,0,0.0,measured,154,0.01925,0.6450868010520935,0.13969817998203873,0.48387090929529886,0.11126580442871929,0.19357104301452638,0.156679105758667,0.07517162561416627,0.18303653099342537,0.09520196878117618,0.030418625264428557,0.2704686164855957,0.13673622608184816,0.03203341960906982,0.08921861156423751,0.049334860568490464,0.01780273610001026,0.12417286916448265,0.12011366290880876,0.01694187637403189,0.11738133488467554,0.10675932578084497,0.023977794926143096,154,0,0,0,2.112409042073535,0.08124816568772943,4.612137408999653,0.25808440210974065,2.1625417300633023,0.12399780624437526,0.1998815004830856
