# DAIR-V2X-Seq SPD PointPillars (infrastructure-side, train-calibrated) - Binned error distributions (normal from signed mean/std)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,10,15,normal,0.009150,0.236940,0.146889
perpendicular,10,15,normal,0.025481,0.084139,0.064736
height,10,15,normal,-0.001032,0.042913,0.028269
yaw,10,15,normal,-0.091450,0.112823,0.100794
width,10,15,normal,-0.000099,0.096268,0.070855
length,10,15,normal,0.018267,0.178903,0.111417
box_height,10,15,normal,-0.008483,0.082717,0.048343
distal,15,20,normal,-0.031340,0.106366,0.075537
perpendicular,15,20,normal,0.008750,0.067141,0.044827
height,15,20,normal,0.003911,0.036166,0.025578
yaw,15,20,normal,-0.033851,0.066559,0.056930
width,15,20,normal,-0.007452,0.088725,0.064436
length,15,20,normal,0.006452,0.149511,0.106053
box_height,15,20,normal,-0.004093,0.061251,0.040327
distal,20,25,normal,-0.015900,0.100233,0.068221
perpendicular,20,25,normal,-0.000452,0.057649,0.041960
height,20,25,normal,0.004614,0.033497,0.023670
yaw,20,25,normal,-0.038873,0.072391,0.055004
width,20,25,normal,-0.018049,0.095092,0.072400
length,20,25,normal,-0.011957,0.164260,0.106358
box_height,20,25,normal,-0.010888,0.054166,0.037852
distal,25,30,normal,-0.028957,0.161446,0.092093
perpendicular,25,30,normal,-0.008701,0.075158,0.053374
height,25,30,normal,0.007336,0.046333,0.032817
yaw,25,30,normal,-0.016490,0.150919,0.047363
width,25,30,normal,-0.029077,0.155538,0.088876
length,25,30,normal,-0.026857,0.397248,0.178349
box_height,25,30,normal,-0.014848,0.073600,0.051040
distal,30,35,normal,-0.016214,0.094915,0.057955
perpendicular,30,35,normal,0.003394,0.067053,0.048216
height,30,35,normal,0.013083,0.041605,0.033801
yaw,30,35,normal,-0.043477,0.103901,0.063227
width,30,35,normal,-0.025902,0.107580,0.082659
length,30,35,normal,-0.015652,0.150235,0.098994
box_height,30,35,normal,-0.008663,0.061293,0.046712
distal,35,40,normal,-0.010474,0.079189,0.053336
perpendicular,35,40,normal,0.003400,0.075414,0.050049
