# DAIR-V2X-Seq SPD PointPillars (infrastructure node yizhuang16, train-calibrated) - Binned error distributions (normal from signed mean/std)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,10,15,normal,0.014398,0.063931,0.041939
perpendicular,10,15,normal,0.079697,0.096984,0.110083
height,10,15,normal,-0.029039,0.038240,0.033802
yaw,10,15,normal,-0.099669,0.050239,0.102991
width,10,15,normal,0.010979,0.077078,0.057827
length,10,15,normal,-0.052816,0.133535,0.080884
box_height,10,15,normal,0.022081,0.055594,0.039661
distal,15,20,normal,0.013362,0.226488,0.136093
perpendicular,15,20,normal,0.019227,0.096104,0.071138
height,15,20,normal,0.029692,0.072232,0.059780
yaw,15,20,normal,-0.006395,0.049277,0.035210
width,15,20,normal,-0.009437,0.095447,0.070159
length,15,20,normal,-0.002982,0.185612,0.153181
box_height,15,20,normal,-0.029094,0.074732,0.062864
distal,20,25,normal,-0.030445,0.084648,0.061415
perpendicular,20,25,normal,-0.019613,0.070062,0.051331
height,20,25,normal,-0.009127,0.044088,0.031687
yaw,20,25,normal,-0.043952,0.034567,0.047158
width,20,25,normal,-0.012653,0.083091,0.062848
length,20,25,normal,-0.032814,0.158788,0.108387
box_height,20,25,normal,-0.007437,0.065089,0.045656
distal,25,30,normal,-0.088343,0.233692,0.183237
perpendicular,25,30,normal,-0.032247,0.087732,0.072775
height,25,30,normal,-0.002508,0.039865,0.027615
yaw,25,30,normal,-0.024331,0.037435,0.034540
width,25,30,normal,-0.072919,0.101523,0.097255
length,25,30,normal,0.054542,0.472755,0.379170
box_height,25,30,normal,-0.017731,0.053995,0.043034
distal,30,35,normal,-0.018990,0.070115,0.055955
perpendicular,30,35,normal,-0.060715,0.072525,0.071828
height,30,35,normal,-0.002471,0.050400,0.036751
yaw,30,35,normal,-0.038840,0.043220,0.045133
width,30,35,normal,-0.044449,0.115549,0.094510
length,30,35,normal,-0.012600,0.109457,0.086071
box_height,30,35,normal,-0.009616,0.073394,0.054800
distal,35,40,normal,0.009703,0.069676,0.053162
perpendicular,35,40,normal,-0.056360,0.106239,0.077239
height,35,40,normal,0.003306,0.059201,0.048042
yaw,35,40,normal,-0.032827,0.044292,0.045651
width,35,40,normal,-0.018905,0.091793,0.072272
length,35,40,normal,-0.048403,0.194318,0.133101
box_height,35,40,normal,-0.033719,0.087653,0.065122
distal,40,45,normal,-0.000831,0.083939,0.055763
perpendicular,40,45,normal,-0.004579,0.074083,0.054822
height,40,45,normal,0.004016,0.041572,0.030176
yaw,40,45,normal,0.075744,0.706478,0.190232
width,40,45,normal,0.000033,0.089091,0.065142
length,40,45,normal,-0.011385,0.146115,0.103287
box_height,40,45,normal,-0.022812,0.069354,0.054490
distal,45,50,normal,-0.006413,0.122742,0.061586
perpendicular,45,50,normal,0.012641,0.104723,0.073786
height,45,50,normal,0.013430,0.049515,0.037762
yaw,45,50,normal,-0.019721,0.455355,0.104750
width,45,50,normal,-0.008316,0.093012,0.067281
length,45,50,normal,0.012722,0.170451,0.120535
box_height,45,50,normal,-0.023155,0.077320,0.062490
distal,50,55,normal,-0.019774,0.119499,0.079578
perpendicular,50,55,normal,0.007239,0.141270,0.088029
height,50,55,normal,-0.000154,0.069121,0.051264
yaw,50,55,normal,-0.006494,0.649804,0.183025
width,50,55,normal,-0.039992,0.109784,0.084159
length,50,55,normal,-0.007056,0.174201,0.120235
box_height,50,55,normal,-0.020743,0.096136,0.069463
distal,55,60,normal,0.003338,0.116771,0.072279
perpendicular,55,60,normal,0.021961,0.186179,0.098584
height,55,60,normal,-0.001995,0.079977,0.057891
yaw,55,60,normal,0.170672,1.177073,0.501789
width,55,60,normal,-0.012315,0.108391,0.077984
length,55,60,normal,0.007296,0.206947,0.137510
box_height,55,60,normal,-0.005666,0.105390,0.074111
distal,60,65,normal,-0.001413,0.092368,0.072625
perpendicular,60,65,normal,-0.011771,0.118475,0.085648
height,60,65,normal,-0.007707,0.137618,0.089300
yaw,60,65,normal,0.064389,0.965115,0.359263
width,60,65,normal,-0.016792,0.118384,0.087753
length,60,65,normal,-0.009183,0.181194,0.133144
box_height,60,65,normal,-0.025182,0.098302,0.078642
distal,65,70,normal,0.003873,0.108319,0.082379
perpendicular,65,70,normal,-0.018496,0.145020,0.101371
height,65,70,normal,-0.048316,0.128051,0.101628
yaw,65,70,normal,-0.106429,0.539369,0.160246
width,65,70,normal,-0.009218,0.109784,0.085006
length,65,70,normal,-0.007144,0.140484,0.103487
box_height,65,70,normal,-0.014025,0.101033,0.074176
distal,70,75,normal,-0.012985,0.117555,0.085399
perpendicular,70,75,normal,-0.015777,0.216987,0.134338
height,70,75,normal,-0.015420,0.114188,0.079969
yaw,70,75,normal,-0.016225,0.265157,0.093263
width,70,75,normal,-0.010572,0.107819,0.082371
length,70,75,normal,0.009681,0.173897,0.122020
box_height,70,75,normal,-0.005929,0.111525,0.077521
distal,75,80,normal,0.010904,0.128361,0.091857
perpendicular,75,80,normal,-0.040609,0.188180,0.117340
height,75,80,normal,-0.010092,0.132937,0.094404
yaw,75,80,normal,-0.015078,0.189478,0.085124
width,75,80,normal,-0.005545,0.118931,0.087940
length,75,80,normal,0.021366,0.195586,0.121893
box_height,75,80,normal,-0.013725,0.120526,0.080472
distal,80,85,normal,-0.033935,0.089665,0.070604
perpendicular,80,85,normal,-0.033756,0.115038,0.086937
height,80,85,normal,0.005926,0.127273,0.093036
yaw,80,85,normal,-0.045357,0.112410,0.069291
width,80,85,normal,-0.004750,0.105765,0.078850
length,80,85,normal,-0.004580,0.139961,0.101216
box_height,80,85,normal,-0.010059,0.103339,0.075379
distal,85,90,normal,-0.040098,0.148199,0.092251
perpendicular,85,90,normal,-0.005362,0.173072,0.115922
height,85,90,normal,-0.005214,0.141386,0.103305
yaw,85,90,normal,-0.053630,0.199870,0.087354
width,85,90,normal,-0.012421,0.098771,0.072135
length,85,90,normal,-0.027222,0.136211,0.096471
box_height,85,90,normal,-0.015869,0.100540,0.076109
distal,90,95,normal,-0.037502,0.103991,0.081334
perpendicular,90,95,normal,-0.066981,0.189358,0.140321
height,90,95,normal,-0.015309,0.142370,0.107709
yaw,90,95,normal,-0.065185,0.119769,0.086125
width,90,95,normal,-0.027702,0.104592,0.073740
length,90,95,normal,-0.032876,0.148692,0.099114
box_height,90,95,normal,-0.017808,0.112160,0.079540
distal,95,100,normal,-0.111514,0.120829,0.116004
perpendicular,95,100,normal,-0.157631,0.135448,0.161126
height,95,100,normal,-0.019152,0.147240,0.128265
yaw,95,100,normal,-0.068524,0.093099,0.089407
width,95,100,normal,0.030189,0.084350,0.071183
length,95,100,normal,-0.034403,0.103375,0.093760
box_height,95,100,normal,-0.069112,0.096345,0.084892
distal,0,100,normal,-0.027184,0.109864,0.074604
perpendicular,0,100,normal,-0.022258,0.134888,0.089462
height,0,100,normal,-0.003106,0.107713,0.072683
yaw,0,100,normal,-0.030808,0.369488,0.103646
width,0,100,normal,-0.013590,0.101019,0.074218
length,0,100,normal,-0.014176,0.167888,0.112348
box_height,0,100,normal,-0.012667,0.094363,0.067277
