# DAIR-V2X-Seq SPD PointPillars (vehicle-side, train-calibrated) - Binned error distributions (normal from signed mean/std)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,5,normal,-0.025228,0.137010,0.106659
perpendicular,0,5,normal,-0.018345,0.145835,0.108267
height,0,5,normal,0.012227,0.090766,0.066790
yaw,0,5,normal,0.054008,0.609772,0.165704
width,0,5,normal,-0.018091,0.097909,0.070073
length,0,5,normal,0.011467,0.213866,0.157064
box_height,0,5,normal,-0.046337,0.142794,0.086287
distal,5,10,normal,0.011036,0.105752,0.074337
perpendicular,5,10,normal,-0.020022,0.105190,0.073716
height,5,10,normal,0.005308,0.060248,0.041195
yaw,5,10,normal,-0.018248,0.403835,0.091851
width,5,10,normal,-0.019754,0.112417,0.081679
length,5,10,normal,0.017109,0.198806,0.141997
box_height,5,10,normal,-0.021832,0.093663,0.064155
distal,10,15,normal,0.000491,0.115718,0.070303
perpendicular,10,15,normal,-0.006889,0.126979,0.066394
height,10,15,normal,-0.005159,0.057092,0.039080
yaw,10,15,normal,-0.017146,0.334032,0.074241
width,10,15,normal,-0.011930,0.106537,0.075061
length,10,15,normal,0.004794,0.225120,0.129266
box_height,10,15,normal,-0.018221,0.090224,0.057957
distal,15,20,normal,-0.008209,0.150820,0.079978
perpendicular,15,20,normal,0.010476,0.126131,0.065336
height,15,20,normal,-0.008558,0.057094,0.041243
yaw,15,20,normal,-0.012220,0.380671,0.086429
width,15,20,normal,-0.009888,0.101820,0.072637
length,15,20,normal,-0.001441,0.231644,0.130125
box_height,15,20,normal,-0.011032,0.090976,0.061932
distal,20,25,normal,-0.001308,0.167682,0.088026
perpendicular,20,25,normal,0.000470,0.139631,0.071971
height,20,25,normal,-0.008920,0.067018,0.044091
yaw,20,25,normal,0.005377,0.473530,0.109694
width,20,25,normal,-0.005193,0.099704,0.072620
length,20,25,normal,0.003691,0.191660,0.116976
box_height,20,25,normal,0.001334,0.085858,0.061666
distal,25,30,normal,-0.002144,0.184954,0.093879
perpendicular,25,30,normal,0.005041,0.146761,0.074400
height,25,30,normal,-0.005846,0.075154,0.049681
yaw,25,30,normal,-0.013611,0.487948,0.117039
width,25,30,normal,-0.000993,0.100935,0.073300
length,25,30,normal,-0.000371,0.217920,0.122750
box_height,25,30,normal,-0.003654,0.093244,0.067290
