range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std,n_fp_car,n_fp_truck,n_fp_bus,n_fp_construction_vehicle,fp_width_mean,fp_width_std,fp_length_mean,fp_length_std,fp_height_mean,fp_height_std,fp_yaw_std
0.000000,5.000000,-180.000000,-170.000000,0,0,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-170.000000,-160.000000,0,0,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-160.000000,-150.000000,0,0,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-150.000000,-140.000000,0,0,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-140.000000,-130.000000,1,1,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-130.000000,-120.000000,3,3,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-120.000000,-110.000000,7,7,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-110.000000,-100.000000,10,10,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-100.000000,-90.000000,16,16,1.000000,no_data,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785398
0.000000,5.000000,-90.000000,-80.000000,12,12,1.000000,no_data,5,0.000588,,,0.284976,0.097336,,,,,,,,,,,,,,,,,,,5,0,0,0,1.852188,0.017633,4.407359,0.038157,1.540335,0.026320,0.170386
0.000000,5.000000,-80.000000,-70.000000,39,20,0.512821,measured,15,0.001764,0.652745,0.098801,0.273149,0.151373,0.099012,0.037834,0.019318,-0.008463,0.104277,0.012745,-0.055674,-0.169232,-0.191838,0.142845,0.142486,0.115415,0.153705,0.131799,0.091418,0.139465,0.172574,0.207694,15,0,0,0,1.894515,0.032430,4.541896,0.160549,1.608930,0.114781,1.147688
0.000000,5.000000,-70.000000,-60.000000,25,5,0.200000,measured,8,0.000941,0.742009,0.063901,0.531980,0.231180,-0.058307,0.108238,-0.019058,-0.121407,-0.009746,-0.056290,-0.021000,0.049829,-0.013989,0.124883,0.074120,0.080017,0.099042,0.107520,0.058469,0.062787,0.190651,0.066485,8,0,0,0,1.901657,0.035508,4.530221,0.173098,1.585404,0.078170,1.455977
0.000000,5.000000,-60.000000,-50.000000,74,0,0.000000,measured,3,0.000353,0.842330,0.027649,0.641597,0.282691,-0.011981,0.069549,-0.013348,-0.063341,0.030471,-0.038705,-0.006208,0.007080,-0.019634,0.107016,0.056282,0.054049,0.072999,0.096598,0.037787,0.088484,0.127402,0.063944,3,0,0,0,1.880389,0.008698,4.460505,0.063836,1.521134,0.013215,0.400043
