# score: P(score | TP, bin) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, bin) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame), param2=n_fp, param3=

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,0.005653719108690514,0.266919706134977,
perpendicular,0,10,normal,0.007598228227653799,0.13796305047663426,
height,0,10,normal,0.006713930318802895,0.07114167737356122,
yaw,0,10,normal,-0.0016948594071734293,0.29117798320502164,
width,0,10,normal,-0.012373224663467594,0.4037108395713919,
length,0,10,normal,0.013679552540347969,0.15486593868503004,
box_height,0,10,normal,-0.001072158403619674,0.13360010331077757,
score,0,10,normal,0.8138875480168497,0.3173586718812088,15746
fp_score,0,10,normal,0.11114014761893658,0.2494941661520575,85570
fp_rate,0,10,poisson,14.216647283601928,85570,
distal,10,20,normal,0.006091828887113408,0.38406272961494653,
perpendicular,10,20,normal,0.0026415669980449892,0.14597083567215835,
height,10,20,normal,-0.0013356377081261517,0.07814213572570064,
yaw,10,20,normal,0.0006900189014329042,0.19886956978328618,
width,10,20,normal,-0.0442521207665993,0.48390578780416627,
length,10,20,normal,0.010288213734320328,0.16600363771491092,
box_height,10,20,normal,-0.004141627066889725,0.13521402068314559,
score,10,20,normal,0.7840125222138911,0.3440809147529317,36622
fp_score,10,20,normal,0.1371058050033848,0.26428563811517747,181638
fp_rate,10,20,poisson,30.177438112643298,181638,
distal,20,30,normal,0.00999960859754709,0.484917019792003,
perpendicular,20,30,normal,-0.008484952209294488,0.20869684192979004,
height,20,30,normal,-0.001519787454480445,0.09396415899623528,
yaw,20,30,normal,0.0013931395399653032,0.13748588025092673,
width,20,30,normal,-0.01409882527084182,0.5975607416465905,
length,20,30,normal,0.014479101197182041,0.1698897991813348,
box_height,20,30,normal,-0.014928078389217218,0.1638170867404201,
score,20,30,normal,0.6868588661741285,0.3811487130237898,33753
fp_score,20,30,normal,0.11005139636474365,0.2160884872101059,242754
