# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate
# score: P(score | TP, cell) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, cell) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame in cell), param2=n_fp

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
miss_detection,0.0,5.0,-180.0,-170.0,constant,0.07142857142857142,,
distal,0.0,5.0,-180.0,-170.0,normal,0.0,0.07471962910872555,0.10408125028574683
perpendicular,0.0,5.0,-180.0,-170.0,normal,0.0,0.24950917024233019,0.22197109861277514
height,0.0,5.0,-180.0,-170.0,normal,0.0,0.04602337642233817,0.059642310325916
yaw,0.0,5.0,-180.0,-170.0,normal,0.0,0.04180158048187689,0.04748900120074932
width,0.0,5.0,-180.0,-170.0,normal,0.0,0.42996365838173145,0.40574429585383487
length,0.0,5.0,-180.0,-170.0,normal,0.0,0.20008210374728297,0.1579734728886531
box_height,0.0,5.0,-180.0,-170.0,normal,0.0,0.06772488139315697,0.07174567992870624
miss_detection,0.0,5.0,-170.0,-160.0,constant,0.05555555555555555,,
distal,0.0,5.0,-170.0,-160.0,normal,0.0,0.17301699284809788,0.21319646014902477
perpendicular,0.0,5.0,-170.0,-160.0,normal,0.0,0.24798957708538835,0.24448867933784932
height,0.0,5.0,-170.0,-160.0,normal,0.0,0.1520871702749234,0.10813411193735459
yaw,0.0,5.0,-170.0,-160.0,normal,0.0,0.04109796023936239,0.056522734024945426
width,0.0,5.0,-170.0,-160.0,normal,0.0,0.5963808336955012,0.42799753301283894
length,0.0,5.0,-170.0,-160.0,normal,0.0,0.11095214901264984,0.1495208179249483
box_height,0.0,5.0,-170.0,-160.0,normal,0.0,0.3869555677277077,0.20695534173180075
miss_detection,0.0,5.0,-160.0,-150.0,constant,0.13636363636363635,,
distal,0.0,5.0,-160.0,-150.0,normal,0.0,0.10812159761441632,0.17994869478164252
perpendicular,0.0,5.0,-160.0,-150.0,normal,0.0,0.12670273216212743,0.19131669086324285
height,0.0,5.0,-160.0,-150.0,normal,0.0,0.03992139694710844,0.04162658829438059
yaw,0.0,5.0,-160.0,-150.0,normal,0.0,0.03453165230195651,0.043533852225855776
width,0.0,5.0,-160.0,-150.0,normal,0.0,0.2158452438441984,0.2537949210719058
length,0.0,5.0,-160.0,-150.0,normal,0.0,0.17954745721487145,0.12466307062851756
box_height,0.0,5.0,-160.0,-150.0,normal,0.0,0.05478883675615129,0.06199685523384496
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.10436414450082225,0.11118275602375809
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.0755920868540872,0.07484873594075021
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.027866302681580513,0.051872907366071426
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.020471460514748532,0.025649523735046385
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.14297844415308725,0.2952378136771066
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.06835588772329977,0.07649288858686175
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.05282790840649554,0.08869214057922363
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.041666666666666664,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.1225406759341732,0.18980641857700348
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.1105958883052387,0.15911677733508653
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.05855896546494591,0.0554498641387276
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.02679881732171631,0.041911104451055115
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.12772584874954765,0.19466257095336914
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.14664162221514002,0.12381510630897853
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.09590731509155632,0.1480463587719461
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.0,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.040256087565599355,0.06940574606375585
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.20091247821370287,0.16595745317201366
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.04325032524211295,0.0497647225856781
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.023709486195761156,0.04218381643295288
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.4106421433926062,0.4068727493286133
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.06141486927058142,0.16929501295089722
box_height,0.0,5.0,-130.0,-120.0,normal,0.0,0.08941303536502969,0.1416957974433899
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.0,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.09265876793908673,0.10721552413833038
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.05424898742817714,0.05594891745961272
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.030788034200668335,0.055628031492233276
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.043308794498443604,0.07928293943405151
width,0.0,5.0,-120.0,-110.0,normal,0.0,0.06633877754211426,0.07298731803894043
length,0.0,5.0,-120.0,-110.0,normal,0.0,0.06488692760467529,0.10085618495941162
box_height,0.0,5.0,-120.0,-110.0,normal,0.0,0.02185267210006714,0.05072873830795288
miss_detection,0.0,5.0,-110.0,-100.0,constant,0.0,,
miss_detection,0.0,5.0,-70.0,-60.0,constant,0.0,,
miss_detection,0.0,5.0,-60.0,-50.0,constant,0.0,,
distal,0.0,5.0,-60.0,-50.0,normal,0.0,0.1751129475010851,0.22296035575017595
perpendicular,0.0,5.0,-60.0,-50.0,normal,0.0,0.19901901572961278,0.3197448203099725
height,0.0,5.0,-60.0,-50.0,normal,0.0,0.11045173677225012,0.09300344330923897
yaw,0.0,5.0,-60.0,-50.0,normal,0.0,0.048504917921356756,0.03964172090802874
width,0.0,5.0,-60.0,-50.0,normal,0.0,0.23022057211688773,0.22621699741908483
length,0.0,5.0,-60.0,-50.0,normal,0.0,0.07613425657712493,0.10378675801413399
box_height,0.0,5.0,-60.0,-50.0,normal,0.0,0.17751653862055183,0.1288135732923235
miss_detection,0.0,5.0,-50.0,-40.0,constant,0.08,,
distal,0.0,5.0,-50.0,-40.0,normal,0.0,0.1510409358166259,0.2138106064961268
perpendicular,0.0,5.0,-50.0,-40.0,normal,0.0,0.22019932437013925,0.25001298590494864
height,0.0,5.0,-50.0,-40.0,normal,0.0,0.07376883414071055,0.08020308743352475
yaw,0.0,5.0,-50.0,-40.0,normal,0.0,0.03075157126437499,0.03732257684083313
width,0.0,5.0,-50.0,-40.0,normal,0.0,0.28993463506715333,0.2909491995106573
length,0.0,5.0,-50.0,-40.0,normal,0.0,0.06094879458336222,0.10595034516375998
box_height,0.0,5.0,-50.0,-40.0,normal,0.0,0.074296450368131,0.1018578695214313
miss_detection,0.0,5.0,-40.0,-30.0,constant,0.014084507042253521,,
distal,0.0,5.0,-40.0,-30.0,normal,0.0,0.18593712585275435,0.14759009095586026
perpendicular,0.0,5.0,-40.0,-30.0,normal,0.0,0.27046194129231305,0.19083319977920063
height,0.0,5.0,-40.0,-30.0,normal,0.0,0.0824700764025525,0.10172791310719081
yaw,0.0,5.0,-40.0,-30.0,normal,0.0,0.03595453148506192,0.03518632775265052
width,0.0,5.0,-40.0,-30.0,normal,0.0,0.2956046877481083,0.26372816903250557
length,0.0,5.0,-40.0,-30.0,normal,0.0,0.08491661048788958,0.1589465754372733
box_height,0.0,5.0,-40.0,-30.0,normal,0.0,0.10222395037760594,0.1575505324772426
miss_detection,0.0,5.0,-30.0,-20.0,constant,0.02830188679245283,,
distal,0.0,5.0,-30.0,-20.0,normal,0.0,0.06767039667527104,0.11512459129875838
perpendicular,0.0,5.0,-30.0,-20.0,normal,0.0,0.07960278548305301,0.13105532347529775
height,0.0,5.0,-30.0,-20.0,normal,0.0,0.03529698290547382,0.029945827803565462
yaw,0.0,5.0,-30.0,-20.0,normal,0.0,0.03244707648883509,0.01780796166762565
width,0.0,5.0,-30.0,-20.0,normal,0.0,0.10337353939547986,0.11784546352127223
length,0.0,5.0,-30.0,-20.0,normal,0.0,0.05825446645269161,0.0825611214035923
box_height,0.0,5.0,-30.0,-20.0,normal,0.0,0.048248050702093065,0.04451647198315963
miss_detection,0.0,5.0,-20.0,-10.0,constant,0.1,,
distal,0.0,5.0,-20.0,-10.0,normal,0.0,0.0984658305060018,0.11891002604424349
perpendicular,0.0,5.0,-20.0,-10.0,normal,0.0,0.10680996897582719,0.10516398497785369
height,0.0,5.0,-20.0,-10.0,normal,0.0,0.04159582262472796,0.04136965804629856
yaw,0.0,5.0,-20.0,-10.0,normal,0.0,0.0309795853127495,0.02958071231842041
width,0.0,5.0,-20.0,-10.0,normal,0.0,0.3588263182515949,0.24087422688802082
length,0.0,5.0,-20.0,-10.0,normal,0.0,0.07249066087355592,0.09268109798431397
box_height,0.0,5.0,-20.0,-10.0,normal,0.0,0.06368084356167152,0.07584767871432835
miss_detection,0.0,5.0,-10.0,0.0,constant,0.11363636363636363,,
distal,0.0,5.0,-10.0,0.0,normal,0.0,0.10094363099099894,0.140573130641268
perpendicular,0.0,5.0,-10.0,0.0,normal,0.0,0.262953323927065,0.13987607783064054
height,0.0,5.0,-10.0,0.0,normal,0.0,0.04118892039237897,0.037953838323935486
yaw,0.0,5.0,-10.0,0.0,normal,0.0,0.10559971488470135,0.0620807042488685
width,0.0,5.0,-10.0,0.0,normal,0.0,0.6080720735680667,0.2974859384390024
length,0.0,5.0,-10.0,0.0,normal,0.0,0.07631464633258563,0.0824577074784499
box_height,0.0,5.0,-10.0,0.0,normal,0.0,0.05991760263458609,0.070831849024846
miss_detection,0.0,5.0,0.0,10.0,constant,0.16,,
distal,0.0,5.0,0.0,10.0,normal,0.0,0.10626773893717191,0.14692066271558005
perpendicular,0.0,5.0,0.0,10.0,normal,0.0,0.2224597564436975,0.16493806041045225
height,0.0,5.0,0.0,10.0,normal,0.0,0.047880512020074845,0.050212940999439785
yaw,0.0,5.0,0.0,10.0,normal,0.0,0.061375340429702704,0.04702882255826678
width,0.0,5.0,0.0,10.0,normal,0.0,0.2366092628981363,0.21236352693466914
length,0.0,5.0,0.0,10.0,normal,0.0,0.06856837931580197,0.08362825711568196
box_height,0.0,5.0,0.0,10.0,normal,0.0,0.07099454942776279,0.07534749451137725
miss_detection,0.0,5.0,10.0,20.0,constant,0.07692307692307693,,
distal,0.0,5.0,10.0,20.0,normal,0.0,0.10521805784524106,0.15876042979861127
perpendicular,0.0,5.0,10.0,20.0,normal,0.0,0.2670833743116705,0.18679887597002007
height,0.0,5.0,10.0,20.0,normal,0.0,0.0570272902873941,0.06640083260006374
yaw,0.0,5.0,10.0,20.0,normal,0.0,0.058433903264637384,0.04229869114028083
width,0.0,5.0,10.0,20.0,normal,0.0,0.40919806963057037,0.3833074238565233
length,0.0,5.0,10.0,20.0,normal,0.0,0.08258185374613146,0.11479522122277154
box_height,0.0,5.0,10.0,20.0,normal,0.0,0.12288216122194698,0.08783598078621759
miss_detection,0.0,5.0,20.0,30.0,constant,0.04081632653061224,,
distal,0.0,5.0,20.0,30.0,normal,0.0,0.12349382489285185,0.1590484687229764
perpendicular,0.0,5.0,20.0,30.0,normal,0.0,0.11636566881994662,0.12614688393961918
height,0.0,5.0,20.0,30.0,normal,0.0,0.04148899839518509,0.04849728244416257
yaw,0.0,5.0,20.0,30.0,normal,0.0,0.06480368039655891,0.04450372178503807
width,0.0,5.0,20.0,30.0,normal,0.0,0.27461996458645926,0.24428706980766135
length,0.0,5.0,20.0,30.0,normal,0.0,0.09061616097910237,0.09052606339150286
box_height,0.0,5.0,20.0,30.0,normal,0.0,0.07771290387790414,0.08151516254912032
miss_detection,0.0,5.0,30.0,40.0,constant,0.26595744680851063,,
distal,0.0,5.0,30.0,40.0,normal,0.0,0.19508213429855736,0.17947261553156524
perpendicular,0.0,5.0,30.0,40.0,normal,0.0,0.11392339598730969,0.08987820047107613
height,0.0,5.0,30.0,40.0,normal,0.0,0.03955343798543094,0.0750184568805971
yaw,0.0,5.0,30.0,40.0,normal,0.0,0.0345873521288916,0.04140143244742558
width,0.0,5.0,30.0,40.0,normal,0.0,0.39895002224295356,0.3749549630759419
length,0.0,5.0,30.0,40.0,normal,0.0,0.12398633961259083,0.13213966549306677
box_height,0.0,5.0,30.0,40.0,normal,0.0,0.04578322308711745,0.08055434883504674
miss_detection,0.0,5.0,40.0,50.0,constant,0.058823529411764705,,
distal,0.0,5.0,40.0,50.0,normal,0.0,0.18453174239152556,0.2896852503754025
perpendicular,0.0,5.0,40.0,50.0,normal,0.0,0.14157842240249022,0.10399475003502194
height,0.0,5.0,40.0,50.0,normal,0.0,0.05845996182384636,0.06644898280501366
