# dmstrack_astuff - Binned error distributions (normal, from polar calibration)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,0.190139,0.182200,
perpendicular,0,10,normal,0.153557,0.157256,
height,0,10,normal,0.186153,0.121717,
yaw,0,10,normal,0.051554,0.123575,
width,0,10,normal,0.308244,0.317858,
length,0,10,normal,0.136945,0.230062,
box_height,0,10,normal,0.108805,0.097898,
distal,10,20,normal,0.186215,0.165677,
perpendicular,10,20,normal,0.147272,0.131824,
height,10,20,normal,0.195593,0.123120,
yaw,10,20,normal,0.051449,0.098800,
width,10,20,normal,0.255373,0.246327,
length,10,20,normal,0.140701,0.232967,
box_height,10,20,normal,0.113374,0.098329,
distal,20,30,normal,0.185739,0.166383,
perpendicular,20,30,normal,0.145596,0.134937,
height,20,30,normal,0.197239,0.129663,
yaw,20,30,normal,0.061409,0.107404,
width,20,30,normal,0.274826,0.284073,
length,20,30,normal,0.164029,0.267859,
box_height,20,30,normal,0.107574,0.086603,
distal,30,40,normal,0.202767,0.174629,
perpendicular,30,40,normal,0.145038,0.125643,
height,30,40,normal,0.189492,0.118304,
yaw,30,40,normal,0.063078,0.113108,
width,30,40,normal,0.312890,0.307264,
length,30,40,normal,0.164117,0.255818,
box_height,30,40,normal,0.124593,0.109451,
distal,40,50,normal,0.195011,0.186163,
perpendicular,40,50,normal,0.118626,0.120978,
height,40,50,normal,0.173311,0.141025,
yaw,40,50,normal,0.056359,0.068691,
width,40,50,normal,0.292951,0.305345,
length,40,50,normal,0.139126,0.142840,
box_height,40,50,normal,0.125513,0.110731,
distal,50,60,normal,0.192960,0.197583,
perpendicular,50,60,normal,0.117610,0.104100,
height,50,60,normal,0.156802,0.125845,
yaw,50,60,normal,0.056262,0.054702,
width,50,60,normal,0.295527,0.326509,
length,50,60,normal,0.149744,0.160788,
box_height,50,60,normal,0.124836,0.117900,
distal,0,150,normal,0.192395,0.175833,
perpendicular,0,150,normal,0.139821,0.131077,
height,0,150,normal,0.186979,0.127595,
yaw,0,150,normal,0.057656,0.100447,
width,0,150,normal,0.288082,0.294304,
length,0,150,normal,0.151397,0.229808,
box_height,0,150,normal,0.117148,0.102512,
