# dmstrack_tesla - Binned error distributions (normal, from polar calibration)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,0.197445,0.162690,
perpendicular,0,10,normal,0.188737,0.174424,
height,0,10,normal,0.111978,0.097932,
yaw,0,10,normal,0.045716,0.037993,
width,0,10,normal,0.336639,0.325937,
length,0,10,normal,0.138503,0.117675,
box_height,0,10,normal,0.094390,0.088931,
distal,10,20,normal,0.188753,0.174487,
perpendicular,10,20,normal,0.141553,0.124581,
height,10,20,normal,0.105464,0.100895,
yaw,10,20,normal,0.043161,0.037044,
width,10,20,normal,0.266019,0.235756,
length,10,20,normal,0.120101,0.096716,
box_height,10,20,normal,0.103019,0.098987,
distal,20,30,normal,0.184938,0.169013,
perpendicular,20,30,normal,0.140087,0.125860,
height,20,30,normal,0.115106,0.097818,
yaw,20,30,normal,0.051947,0.049597,
width,20,30,normal,0.285373,0.244702,
length,20,30,normal,0.122571,0.099356,
box_height,20,30,normal,0.113873,0.101912,
distal,30,40,normal,0.210560,0.178272,
perpendicular,30,40,normal,0.146590,0.122374,
height,30,40,normal,0.127504,0.096927,
yaw,30,40,normal,0.060785,0.055067,
width,30,40,normal,0.300636,0.264817,
length,30,40,normal,0.132291,0.106261,
box_height,30,40,normal,0.139085,0.124406,
distal,40,50,normal,0.186022,0.175065,
perpendicular,40,50,normal,0.122849,0.132425,
height,40,50,normal,0.126057,0.109503,
yaw,40,50,normal,0.057254,0.057363,
width,40,50,normal,0.282409,0.285029,
length,40,50,normal,0.100167,0.100670,
box_height,40,50,normal,0.130770,0.124194,
distal,50,60,normal,0.159710,0.166368,
perpendicular,50,60,normal,0.101235,0.118975,
height,50,60,normal,0.121205,0.122725,
yaw,50,60,normal,0.054222,0.061275,
width,50,60,normal,0.226451,0.262093,
length,50,60,normal,0.102446,0.134737,
box_height,50,60,normal,0.123833,0.123147,
distal,0,150,normal,0.191300,0.172743,
perpendicular,0,150,normal,0.142200,0.133274,
height,0,150,normal,0.117483,0.102046,
yaw,0,150,normal,0.052295,0.049901,
width,0,150,normal,0.286579,0.265963,
length,0,150,normal,0.121132,0.105489,
box_height,0,150,normal,0.118074,0.111209,
