# kiss_icp Localization - Binned error distributions - ACCURATE (all errors /4)
# Velocity bins in m/s, position errors in meters, orientation errors in radians

error_type,dist_min,dist_max,distribution,param1,param2,param3
radial,0,1,normal,0.1128141851209433,0.1567214099031642,
radial,1,2,normal,0.10429058434832197,0.15701324022658708,
radial,2,3,normal,0.2184229185043686,0.3733092355035762,
radial,3,4,normal,0.24862999384260753,0.34767022792723956,
radial,4,5,normal,0.20359012721785105,0.28543058610206745,
radial,5,6,normal,0.2578980091940586,0.3365152905532389,
radial,6,7,normal,0.2915743776727881,0.41386965246238455,
radial,7,8,normal,0.251844686171637,0.34860622256319695,
radial,8,9,normal,0.271285437103808,0.33860369901249093,
radial,9,10,normal,0.3356098455029027,0.42688784242646227,
radial,10,11,normal,0.4014422508140379,0.4949853926354194,
radial,11,12,normal,0.6027411173764442,0.5994796768351656,
radial,12,13,normal,0.7796074649337434,0.6833686331677863,
radial,13,14,normal,0.4093615619787623,0.5775216808813349,
radial,14,15,normal,0.18819793696275186,0.3572459902041964,
radial,15,16,normal,0.09711117793484067,0.13327054320164108,
radial,16,17,normal,0.17768401678498613,0.1604482326532422,
radial,17,18,normal,0.390437377482315,0.0990488827887642,
radial,18,19,normal,0.38123347828338283,0.09454580453725672,
radial,19,20,normal,0.3711048640251361,0.0911573343202777,
radial,20,21,normal,0.33701198940635596,0.07839227623421338,
radial,21,22,normal,0.34179803723688335,0.05956754032352039,
radial,22,23,normal,0.35518043582833886,0.04405574466047211,
radial,23,24,normal,0.3442241033863968,0.018775859409521527,
radial,24,25,normal,0.20812491934783595,0.07814980608843586,
radial,25,26,normal,0.1727525281668375,0.08680988144452345,
radial,26,27,normal,0.2715799796391313,0.015239686723996308,
lateral,0,1,normal,0.16135856855121497,0.23370670697539372,
lateral,1,2,normal,0.21132276386645452,0.3064580850250682,
lateral,2,3,normal,0.19921638419096468,0.26442996239678684,
lateral,3,4,normal,0.1899651303127047,0.20260025445408644,
lateral,4,5,normal,0.18864936186007825,0.2333902967687576,
lateral,5,6,normal,0.21901695140027733,0.26237504460044336,
lateral,6,7,normal,0.2586709114933864,0.29758016888049216,
lateral,7,8,normal,0.22996473697807596,0.30030276447759136,
lateral,8,9,normal,0.20123047778283426,0.22536667511359962,
lateral,9,10,normal,0.20430950288710156,0.2253252077002607,
lateral,10,11,normal,0.24434941860749643,0.2610135557616925,
lateral,11,12,normal,0.28584525289220625,0.26768160906054284,
lateral,12,13,normal,0.40432159194055184,0.3290002158552856,
lateral,13,14,normal,0.244052597714922,0.3284589589921495,
lateral,14,15,normal,0.15951680637893784,0.17909161068719937,
lateral,15,16,normal,0.21396793081216084,0.22690999681277083,
lateral,16,17,normal,0.4627690376745537,0.07797731815994374,
lateral,17,18,normal,0.46707510221857934,0.14103354073735658,
lateral,18,19,normal,0.4365433537573681,0.1408298341324782,
lateral,19,20,normal,0.4011611876175973,0.1386275718455498,
lateral,20,21,normal,0.29760012825752735,0.1344981644270502,
lateral,21,22,normal,0.22886940549300325,0.14966074258715317,
lateral,22,23,normal,0.2061002580287812,0.16164239709128503,
lateral,23,24,normal,0.15497235790667063,0.12418556234145631,
lateral,24,25,normal,0.4415018199104057,0.21603309944816596,
lateral,25,26,normal,0.39950626936225686,0.18442580191664296,
lateral,26,27,normal,0.24068790441684781,0.15832668476199313,
vertical,0,1,normal,0.19386318330324384,0.20726534024345658,
vertical,1,2,normal,0.16721325830124423,0.20419799041942224,
vertical,2,3,normal,0.1831826139160745,0.19475575641628173,
vertical,3,4,normal,0.23195623092976403,0.25445327056399775,
vertical,4,5,normal,0.23464145048299592,0.2855080586923287,
vertical,5,6,normal,0.30267476004895727,0.3347358529262911,
vertical,6,7,normal,0.26757011041661966,0.38905003194072646,
vertical,7,8,normal,0.25884553929342385,0.35541270705068867,
vertical,8,9,normal,0.2729263621246253,0.37488006206541713,
vertical,9,10,normal,0.30542721271840323,0.39124220870992327,
vertical,10,11,normal,0.3227982458254132,0.41097600383184174,
vertical,11,12,normal,0.4592243657351843,0.41313478690955596,
vertical,12,13,normal,0.6364995164435749,0.5835030164973862,
vertical,13,14,normal,0.26806404957065755,0.3943683954635938,
vertical,14,15,normal,0.25846242101520567,0.39529646754189707,
vertical,15,16,normal,0.14973725179519873,0.14479295040237092,
