# kiss_icp Localization - Velocity-binned error distributions
# param1=bias (signed mean), param2=bias_std (spread around bias)
# velocity bins in m/s

error_type,dist_min,dist_max,distribution,param1,param2,param3
longitudinal,0.0,2.0,normal,-0.01936,0.115776,
longitudinal,2.0,4.0,normal,0.00131,0.100511,
longitudinal,4.0,6.0,normal,0.005337,0.101175,
longitudinal,6.0,8.0,normal,0.000308,0.124237,
longitudinal,8.0,10.0,normal,-0.000284,0.107906,
longitudinal,10.0,12.0,normal,-0.00239,0.0904,
longitudinal,12.0,14.0,normal,-0.00537,0.101906,
longitudinal,14.0,16.0,normal,0.001123,0.110332,
longitudinal,16.0,18.0,normal,0.016892,0.13882,
longitudinal,18.0,20.0,normal,0.037961,0.14421,
longitudinal,20.0,22.0,normal,0.01918,0.120971,
longitudinal,0,22.0,normal,-0.004174,0.109157,
lateral,0.0,2.0,normal,-0.005278,0.110931,
lateral,2.0,4.0,normal,-0.015306,0.114418,
lateral,4.0,6.0,normal,-0.008133,0.117667,
lateral,6.0,8.0,normal,-0.012187,0.125817,
lateral,8.0,10.0,normal,-0.023338,0.129534,
lateral,10.0,12.0,normal,-0.021582,0.102165,
lateral,12.0,14.0,normal,-0.024194,0.100715,
lateral,14.0,16.0,normal,-0.02329,0.106121,
lateral,16.0,18.0,normal,-0.038436,0.126689,
lateral,18.0,20.0,normal,-0.061143,0.126276,
lateral,20.0,22.0,normal,-0.058207,0.083401,
lateral,0,22.0,normal,-0.016459,0.114899,
vertical,0.0,2.0,normal,-0.136762,0.08393,
vertical,2.0,4.0,normal,-0.149204,0.086899,
vertical,4.0,6.0,normal,-0.152141,0.080435,
vertical,6.0,8.0,normal,-0.157091,0.075613,
vertical,8.0,10.0,normal,-0.155082,0.068699,
vertical,10.0,12.0,normal,-0.146995,0.060529,
vertical,12.0,14.0,normal,-0.143523,0.057396,
vertical,14.0,16.0,normal,-0.137234,0.051202,
vertical,16.0,18.0,normal,-0.126078,0.059816,
vertical,18.0,20.0,normal,-0.116538,0.064111,
vertical,20.0,22.0,normal,-0.153133,0.050534,
vertical,0,22.0,normal,-0.146808,0.072505,
roll,0.0,2.0,normal,-0.000244,0.003007,
roll,2.0,4.0,normal,0.000273,0.003941,
roll,4.0,6.0,normal,0.000165,0.004295,
roll,6.0,8.0,normal,0.000156,0.004287,
roll,8.0,10.0,normal,0.000885,0.004021,
roll,10.0,12.0,normal,0.000764,0.002827,
roll,12.0,14.0,normal,0.00074,0.002934,
roll,14.0,16.0,normal,0.000774,0.002803,
roll,16.0,18.0,normal,7.7e-05,0.003121,
roll,18.0,20.0,normal,-0.000122,0.003341,
roll,20.0,22.0,normal,0.001372,0.003197,
roll,0,22.0,normal,0.000391,0.003548,
pitch,0.0,2.0,normal,-0.000722,0.00305,
pitch,2.0,4.0,normal,1.8e-05,0.004076,
pitch,4.0,6.0,normal,-2.2e-05,0.004462,
pitch,6.0,8.0,normal,-0.000213,0.00438,
pitch,8.0,10.0,normal,0.000342,0.003772,
pitch,10.0,12.0,normal,0.000335,0.003039,
pitch,12.0,14.0,normal,0.000255,0.003037,
pitch,14.0,16.0,normal,0.00017,0.002854,
pitch,16.0,18.0,normal,4.1e-05,0.002768,
pitch,18.0,20.0,normal,-4.9e-05,0.002726,
pitch,20.0,22.0,normal,0.001404,0.002967,
pitch,0,22.0,normal,-3.5e-05,0.003585,
yaw,0.0,2.0,normal,0.000204,0.001721,
yaw,2.0,4.0,normal,0.000272,0.001664,
yaw,4.0,6.0,normal,0.000237,0.001654,
yaw,6.0,8.0,normal,8e-05,0.001896,
yaw,8.0,10.0,normal,6.7e-05,0.001634,
yaw,10.0,12.0,normal,-3.8e-05,0.001674,
yaw,12.0,14.0,normal,7.8e-05,0.001725,
yaw,14.0,16.0,normal,8.5e-05,0.00163,
yaw,16.0,18.0,normal,0.000115,0.00157,
yaw,18.0,20.0,normal,0.000259,0.001628,
yaw,20.0,22.0,normal,-0.000113,0.00106,
yaw,0,22.0,normal,0.000111,0.001715,
