# kiss_icp_noisy Localization - Velocity-binned error distributions
# param1=bias (signed mean), param2=bias_std (spread around bias)
# velocity bins in m/s

error_type,dist_min,dist_max,distribution,param1,param2,param3
longitudinal,0.0,2.0,normal,-0.014589,0.502762,
longitudinal,2.0,4.0,normal,0.005103,0.500741,
longitudinal,4.0,6.0,normal,0.008471,0.498093,
longitudinal,6.0,8.0,normal,0.002533,0.509356,
longitudinal,8.0,10.0,normal,0.007841,0.507406,
longitudinal,10.0,12.0,normal,0.00649,0.502741,
longitudinal,12.0,14.0,normal,0.015532,0.503162,
longitudinal,14.0,16.0,normal,0.010483,0.506458,
longitudinal,16.0,18.0,normal,0.052513,0.507529,
longitudinal,18.0,20.0,normal,0.105775,0.480854,
longitudinal,20.0,22.0,normal,0.038718,0.486432,
longitudinal,0,22.0,normal,0.004248,0.504332,
lateral,0.0,2.0,normal,-0.0097,0.500038,
lateral,2.0,4.0,normal,-0.010623,0.505142,
lateral,4.0,6.0,normal,0.00406,0.504231,
lateral,6.0,8.0,normal,-0.00245,0.508148,
lateral,8.0,10.0,normal,-0.015738,0.506589,
lateral,10.0,12.0,normal,-0.016032,0.494848,
lateral,12.0,14.0,normal,-0.008691,0.494791,
lateral,14.0,16.0,normal,-0.020881,0.490382,
lateral,16.0,18.0,normal,-0.05266,0.505269,
lateral,18.0,20.0,normal,-0.082768,0.496729,
lateral,20.0,22.0,normal,-0.101114,0.507915,
lateral,0,22.0,normal,-0.0108,0.501162,
vertical,0.0,2.0,normal,-0.093407,0.35723,
vertical,2.0,4.0,normal,-0.102788,0.346046,
vertical,4.0,6.0,normal,-0.104197,0.347516,
vertical,6.0,8.0,normal,-0.107706,0.343931,
vertical,8.0,10.0,normal,-0.10166,0.355315,
vertical,10.0,12.0,normal,-0.087192,0.328158,
vertical,12.0,14.0,normal,-0.070192,0.315567,
vertical,14.0,16.0,normal,-0.058978,0.309876,
vertical,16.0,18.0,normal,-0.03666,0.288235,
vertical,18.0,20.0,normal,-0.012727,0.292397,
vertical,20.0,22.0,normal,-0.018825,0.275157,
vertical,0,22.0,normal,-0.091372,0.340892,
roll,0.0,2.0,normal,0.000641,0.003718,
roll,2.0,4.0,normal,0.000579,0.004636,
roll,4.0,6.0,normal,0.000352,0.00512,
roll,6.0,8.0,normal,0.000239,0.005039,
roll,8.0,10.0,normal,0.00088,0.004852,
roll,10.0,12.0,normal,0.00094,0.004091,
roll,12.0,14.0,normal,0.000993,0.004104,
roll,14.0,16.0,normal,0.00109,0.003807,
roll,16.0,18.0,normal,0.000456,0.003926,
roll,18.0,20.0,normal,-0.000383,0.003921,
roll,20.0,22.0,normal,-0.000111,0.003577,
roll,0,22.0,normal,0.000699,0.004411,
pitch,0.0,2.0,normal,0.000178,0.003773,
pitch,2.0,4.0,normal,0.00029,0.0048,
pitch,4.0,6.0,normal,-0.000116,0.005331,
pitch,6.0,8.0,normal,-0.000439,0.004978,
pitch,8.0,10.0,normal,0.000322,0.004586,
pitch,10.0,12.0,normal,0.000611,0.00422,
pitch,12.0,14.0,normal,0.000542,0.004213,
pitch,14.0,16.0,normal,0.000498,0.003639,
pitch,16.0,18.0,normal,0.00016,0.003208,
pitch,18.0,20.0,normal,-0.000629,0.003351,
pitch,20.0,22.0,normal,0.000264,0.003163,
pitch,0,22.0,normal,0.00022,0.004417,
yaw,0.0,2.0,normal,0.000136,0.001353,
yaw,2.0,4.0,normal,0.000187,0.001404,
yaw,4.0,6.0,normal,0.000167,0.001494,
yaw,6.0,8.0,normal,6.4e-05,0.001796,
yaw,8.0,10.0,normal,3.3e-05,0.001496,
yaw,10.0,12.0,normal,-2.9e-05,0.001526,
yaw,12.0,14.0,normal,5.5e-05,0.001525,
yaw,14.0,16.0,normal,7.2e-05,0.001478,
yaw,16.0,18.0,normal,9.6e-05,0.001403,
yaw,18.0,20.0,normal,7.2e-05,0.001371,
yaw,20.0,22.0,normal,-0.000172,0.00107,
yaw,0,22.0,normal,7.6e-05,0.001517,
