# orb_slam3 Localization - Binned error distributions - ACCURATE (all errors /4)
# Velocity bins in m/s, position errors in meters, orientation errors in radians

error_type,dist_min,dist_max,distribution,param1,param2,param3
radial,0,1,normal,0.1209309581794045,0.13486289016458888,
radial,1,2,normal,0.09784758415096297,0.1157527721739998,
radial,2,3,normal,0.10621505754880982,0.11145995083614466,
radial,3,4,normal,0.15659200810986698,0.19848956903162063,
radial,4,5,normal,0.11458193769055706,0.137284488261148,
radial,5,6,normal,0.1340110712657765,0.19441904910150298,
radial,6,7,normal,0.14660190044273197,0.23345402120985886,
radial,7,8,normal,0.12452999525059086,0.17257032716571785,
radial,8,9,normal,0.14776982942363132,0.2057077841314888,
radial,9,10,normal,0.17970603078778305,0.2831566586051468,
radial,10,11,normal,0.2270651748780571,0.35146844218523776,
radial,11,12,normal,0.3163430145605969,0.3717692609880204,
radial,12,13,normal,0.2704098798916554,0.3455551543124184,
radial,13,14,normal,0.11339831650609267,0.21913753882796633,
radial,14,15,normal,0.16702127266583827,0.262629628523962,
radial,15,16,normal,0.09653304776160111,0.13363631411584995,
radial,16,17,normal,0.17768401678498613,0.1604482326532422,
radial,17,18,normal,0.390437377482315,0.09904888278876418,
radial,18,19,normal,0.38123347828338283,0.09454580453725672,
radial,19,20,normal,0.3711048640251361,0.0911573343202777,
radial,20,21,normal,0.33701198940635596,0.07839227623421338,
radial,21,22,normal,0.34179803723688335,0.05956754032352039,
radial,22,23,normal,0.35518043582833886,0.04405574466047211,
radial,23,24,normal,0.3442241033863968,0.018775859409521527,
radial,24,25,normal,0.20812491934783595,0.07814980608843586,
radial,25,26,normal,0.1727525281668375,0.08680988144452345,
radial,26,27,normal,0.2715799796391313,0.015239686723996308,
lateral,0,1,normal,0.06393405390868458,0.16658911264067147,
lateral,1,2,normal,0.16588921146497404,0.21255574720317713,
lateral,2,3,normal,0.15487461856613785,0.19454184382605821,
lateral,3,4,normal,0.1369926875002152,0.162453163988262,
lateral,4,5,normal,0.12098344409348769,0.16261692315208864,
lateral,5,6,normal,0.14398202808633176,0.17467250412115834,
lateral,6,7,normal,0.16928445358359953,0.19499842188567865,
lateral,7,8,normal,0.1424147262382235,0.20208422414796143,
lateral,8,9,normal,0.15834232863665643,0.20681213940758741,
lateral,9,10,normal,0.17095761893066563,0.224777545475281,
lateral,10,11,normal,0.19885942053246633,0.23775263049153317,
lateral,11,12,normal,0.32128774454681536,0.3102087524717897,
lateral,12,13,normal,0.29093245058439776,0.27776989536046587,
