# score: P(score | TP, bin) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, bin) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame), param2=n_fp, param3=

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,-0.03349958831623264,0.1782186745937812,
perpendicular,0,10,normal,0.0007523987003062816,0.159472489440767,
height,0,10,normal,-0.01706136502267418,0.08476693379988487,
yaw,0,10,normal,0.02330526007604207,0.08611969648256693,
width,0,10,normal,-0.06659474742951892,0.3989503667825638,
length,0,10,normal,-0.037901567389924146,0.1997920921306083,
box_height,0,10,normal,-0.03736534479441769,0.1328974116353385,
score,0,10,normal,0.6901022237462577,0.11775321297595802,6773
fp_score,0,10,normal,0.08788333877247621,0.1316315602217599,5288
fp_rate,0,10,poisson,0.7442646023926812,5288,
distal,10,20,normal,0.0038910067368671543,0.1963540567130478,
perpendicular,10,20,normal,0.0031074250604564576,0.13244278216664138,
height,10,20,normal,-0.0163272952445193,0.09540173919412988,
yaw,10,20,normal,0.01961229316615315,0.08894478245215695,
width,10,20,normal,-0.040721790585546855,0.3641904648549975,
length,10,20,normal,-0.02014300326488005,0.2062614994832401,
box_height,10,20,normal,-0.032966083177346325,0.1510089607424579,
score,10,20,normal,0.6874942965541447,0.14540564603962425,12228
fp_score,10,20,normal,0.0757299446106977,0.09588508386236823,27732
fp_rate,10,20,poisson,3.903166783954961,27732,
distal,20,30,normal,0.013236847769803104,0.2069041048395462,
perpendicular,20,30,normal,-0.01371548353288297,0.14734905743447005,
height,20,30,normal,-0.01931365254682184,0.10595066871933173,
yaw,20,30,normal,0.009500988695996127,0.09146716601415976,
width,20,30,normal,-0.04664188348821903,0.3758869757028813,
length,20,30,normal,-0.01713987600919989,0.21849063825627457,
box_height,20,30,normal,-0.0179418140629106,0.15781358059566386,
score,20,30,normal,0.6547714004886145,0.16563703436445115,14743
fp_score,20,30,normal,0.0728508347214475,0.08776254611706405,73896
fp_rate,20,30,poisson,10.400562983814215,73896,
distal,30,40,normal,0.018824446692617444,0.23435104736391932,
perpendicular,30,40,normal,-0.026720859271421107,0.15260030897174404,
height,30,40,normal,-0.010131381821023104,0.12118187009052525,
yaw,30,40,normal,-0.0013915736602948012,0.09858983529416224,
width,30,40,normal,-0.02492145608047786,0.4105827177581096,
length,30,40,normal,-0.012243074246116098,0.22215025822596293,
box_height,30,40,normal,-0.026499321523649602,0.1643687166981535,
score,30,40,normal,0.6364303040439532,0.16480300487550717,14805
fp_score,30,40,normal,0.07287147677196992,0.0857445660430093,119506
fp_rate,30,40,poisson,16.819985925404644,119506,
distal,40,50,normal,0.013652362922550678,0.2720409937083509,
perpendicular,40,50,normal,-0.022533744014150352,0.15590639702527478,
height,40,50,normal,-0.01093108453375252,0.13543214717851815,
yaw,40,50,normal,-0.010807269950076285,0.10602215841632108,
width,40,50,normal,-0.09062274501419268,0.4653906664374323,
length,40,50,normal,-0.06370335460526531,0.2236694690784822,
box_height,40,50,normal,-0.04613333517677673,0.18513019175515288,
score,40,50,normal,0.5967049156482634,0.14439861204777105,11642
fp_score,40,50,normal,0.07274686972427781,0.0872699851639298,121870
fp_rate,40,50,poisson,17.15270935960591,121870,
distal,50,60,normal,0.007523811283164755,0.27578504702892165,
perpendicular,50,60,normal,-0.02470060569970316,0.16962899413656307,
height,50,60,normal,-0.005778416231242076,0.1511986274548829,
yaw,50,60,normal,-0.026209023927615337,0.12142863755486169,
width,50,60,normal,-0.09741855935696501,0.45284690822213497,
length,50,60,normal,-0.048192958340660924,0.2165804061634945,
box_height,50,60,normal,-0.03641653257268931,0.1937524152718455,
score,50,60,normal,0.536823112983349,0.1374687827451128,8143
fp_score,50,60,normal,0.07183263326659356,0.08449798799791429,152285
fp_rate,50,60,poisson,21.43349753694581,152285,
distal,60,70,normal,0.011026243585311705,0.2880109226014208,
perpendicular,60,70,normal,-0.030803453993649976,0.19299513274585955,
height,60,70,normal,-0.012098255598950811,0.1656151335417584,
yaw,60,70,normal,-0.027564932172821167,0.12605068660682783,
width,60,70,normal,-0.10807138749034517,0.4636600466205413,
length,60,70,normal,-0.04319167156466788,0.23523990888738733,
box_height,60,70,normal,-0.023124715497466693,0.21980479410320708,
score,60,70,normal,0.4683915178323198,0.14793781420873708,5368
fp_score,60,70,normal,0.059641421047095175,0.06266334449752096,238424
fp_rate,60,70,poisson,33.557213230119636,238424,
distal,70,80,normal,0.020544354974558112,0.28658499882890126,
perpendicular,70,80,normal,0.0020121805098027926,0.2102255844921293,
height,70,80,normal,0.014162987470626831,0.16609578322832624,
yaw,70,80,normal,0.015791386067864937,0.12754173941162703,
width,70,80,normal,-0.08301660666863124,0.48455909838400085,
length,70,80,normal,-0.03644405636522505,0.2305764301534447,
box_height,70,80,normal,-0.049010521835751004,0.2321636841185939,
score,70,80,normal,0.3534046874459212,0.14795027585748408,2810
fp_score,70,80,normal,0.044569610002453935,0.02465514812517234,413683
fp_rate,70,80,poisson,58.224208304011256,413683,
fp_score,80,90,normal,0.037065482193398246,0.007298552922319195,37730
fp_rate,80,90,poisson,5.310344827586207,37730,
fp_rate,90,100,poisson,0.0,0,
fp_rate,100,110,poisson,0.0,0,
fp_rate,110,120,poisson,0.0,0,
fp_rate,120,130,poisson,0.0,0,
fp_rate,130,140,poisson,0.0,0,

# === Synthesized overall bin rows (added by synthesize_overall_bins.py) ===
# Aggregated as sqrt(mean(per-bin variance)) across per-distance bins.
# This is an unweighted aggregate; the upstream generator should emit a
# count-weighted overall row to replace these.
perpendicular,0,100,normal,0.0,0.166769,
distal,0,100,normal,0.0,0.245762,
height,0,100,normal,0.0,0.131537,
yaw,0,100,normal,0.0,0.106979,
width,0,100,normal,0.0,0.429113,
length,0,100,normal,0.0,0.219371,
box_height,0,100,normal,0.0,0.182488,
