# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate
# score: P(score | TP, cell) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, cell) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame in cell), param2=n_fp

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
distal,0.0,5.0,-180.0,-170.0,normal,0.0,0.10670268964089145,0.1341431145040028
perpendicular,0.0,5.0,-180.0,-170.0,normal,0.0,0.1338211398378534,0.1528738974612238
height,0.0,5.0,-180.0,-170.0,normal,0.0,0.05143297837910443,0.05332311861016974
yaw,0.0,5.0,-180.0,-170.0,normal,0.0,0.0926999784572843,0.047905274190485375
width,0.0,5.0,-180.0,-170.0,normal,0.0,0.30230650663326186,0.27935321040612543
length,0.0,5.0,-180.0,-170.0,normal,0.0,0.1708206809376774,0.1398779850967897
box_height,0.0,5.0,-180.0,-170.0,normal,0.0,0.07194283219963891,0.08105651365828498
fp_score,0.0,5.0,-180.0,-170.0,normal,0.038877734914422035,0.003938479963530418,4
fp_rate,0.0,5.0,-180.0,-170.0,poisson,0.0005629838142153413,4,
distal,0.0,5.0,-170.0,-160.0,normal,0.0,0.10670268964089145,0.1341431145040028
perpendicular,0.0,5.0,-170.0,-160.0,normal,0.0,0.1338211398378534,0.1528738974612238
height,0.0,5.0,-170.0,-160.0,normal,0.0,0.05143297837910443,0.05332311861016974
yaw,0.0,5.0,-170.0,-160.0,normal,0.0,0.0926999784572843,0.047905274190485375
width,0.0,5.0,-170.0,-160.0,normal,0.0,0.30230650663326186,0.27935321040612543
length,0.0,5.0,-170.0,-160.0,normal,0.0,0.1708206809376774,0.1398779850967897
box_height,0.0,5.0,-170.0,-160.0,normal,0.0,0.07194283219963891,0.08105651365828498
fp_rate,0.0,5.0,-170.0,-160.0,poisson,0.00014074595355383532,1,
distal,0.0,5.0,-160.0,-150.0,normal,0.0,0.10670268964089145,0.1341431145040028
perpendicular,0.0,5.0,-160.0,-150.0,normal,0.0,0.1338211398378534,0.1528738974612238
height,0.0,5.0,-160.0,-150.0,normal,0.0,0.05143297837910443,0.05332311861016974
yaw,0.0,5.0,-160.0,-150.0,normal,0.0,0.0926999784572843,0.047905274190485375
width,0.0,5.0,-160.0,-150.0,normal,0.0,0.30230650663326186,0.27935321040612543
length,0.0,5.0,-160.0,-150.0,normal,0.0,0.1708206809376774,0.1398779850967897
box_height,0.0,5.0,-160.0,-150.0,normal,0.0,0.07194283219963891,0.08105651365828498
fp_score,0.0,5.0,-160.0,-150.0,normal,0.03844664742549261,0.003922382780131512,3
fp_rate,0.0,5.0,-160.0,-150.0,poisson,0.000422237860661506,3,
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.0918212638210763,0.13816970110394067
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.004057925193127683,0.04283842446003788
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.06418326497077942,0.06568089127540588
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.009041085839271545,0.07636020332574844
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.11210298538208008,0.23653650283813477
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.0241280198097229,0.12148874998092651
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.0123329758644104,0.02288132905960083
score,0.0,5.0,-150.0,-140.0,normal,0.7991257309913635,0.003629624843597412,2
fp_score,0.0,5.0,-150.0,-140.0,normal,0.09217086248099804,0.057958291843533516,2
fp_rate,0.0,5.0,-150.0,-140.0,poisson,0.00028149190710767064,2,
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.0,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.11437926785379275,0.17175064130640813
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.07859159121628033,0.10890871960225472
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.03975714711620428,0.057085978133337836
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.032868061236178366,0.03821122729485588
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.2681764081196915,0.27571816103799
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.09252524200668853,0.12297118561608451
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.05464139843384918,0.06089289699281965
score,0.0,5.0,-140.0,-130.0,normal,0.5864474432809013,0.11550744814204503,14
fp_score,0.0,5.0,-140.0,-130.0,normal,0.03879955783486366,0.010909964241532174,6
fp_rate,0.0,5.0,-140.0,-130.0,poisson,0.000844475721323012,6,
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.05128205128205128,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.11020624408572571,0.12643009887902615
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.122613834712418,0.13653150675093007
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.0446521291324276,0.06327741049431465
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.04949831102821381,0.04413849531949775
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.2320883543480384,0.2798752269229373
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.06988196930761925,0.1025404962333473
box_height,0.0,5.0,-130.0,-120.0,normal,0.0,0.07754814533651952,0.09268228105596595
score,0.0,5.0,-130.0,-120.0,normal,0.6739013307803386,0.13655793405321803,39
fp_score,0.0,5.0,-130.0,-120.0,normal,0.18117184657603502,0.1500963250947814,8
fp_rate,0.0,5.0,-130.0,-120.0,poisson,0.0011259676284306826,8,
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.030303030303030304,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.11463621152143669,0.14638595032361057
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.16728796934566179,0.20610970824585023
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.04888603840745028,0.05282317288219929
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.05930995049060798,0.06010939310363028
width,0.0,5.0,-120.0,-110.0,normal,0.0,0.1846668835005874,0.21742519736289978
length,0.0,5.0,-120.0,-110.0,normal,0.0,0.07271663006933825,0.10078756883740425
box_height,0.0,5.0,-120.0,-110.0,normal,0.0,0.06221351728380323,0.09426727518439293
