# PointPillar V2V4Real, astuff ego, train+val - Binned error distributions (normal from bias/bias_std)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,2,3,normal,-0.032199920521723956,0.0860032028869513,
perpendicular,2,3,normal,0.08937670275657596,0.12298317442272037,
height,2,3,normal,-0.06606346368789673,0.04571728762004059,
yaw,2,3,normal,-0.011414284885783369,0.10395737376335122,
width,2,3,normal,0.036655823389689125,0.5062160975435946,
length,2,3,normal,0.04387150208155314,0.18268594777857425,
box_height,2,3,normal,-0.05966691176096598,0.11271173937649238,
distal,3,4,normal,-0.09813386678087441,0.16690815908506246,
perpendicular,3,4,normal,0.027095812817024653,0.22529111569813182,
height,3,4,normal,-0.019305964935096353,0.08552341559579114,
yaw,3,4,normal,0.0033637136045222664,0.11169611778318676,
width,3,4,normal,-0.15304372489556384,0.43638798327372913,
length,3,4,normal,-0.09394026988463876,0.23265287451033503,
box_height,3,4,normal,-0.05182019058114363,0.10733306994314039,
distal,4,5,normal,-0.06893469391895635,0.13971322783036952,
perpendicular,4,5,normal,0.006686492516530936,0.18479999302509104,
height,4,5,normal,-0.002473272549453178,0.06398045166944326,
yaw,4,5,normal,0.016372070930740674,0.0973430073804651,
width,4,5,normal,-0.11163664263112066,0.36398479043889553,
length,4,5,normal,-0.0652787500414355,0.192915699033846,
box_height,4,5,normal,-0.04667334225308339,0.0921736756896873,
distal,5,6,normal,-0.046345244752077026,0.18431533731931862,
perpendicular,5,6,normal,-0.002873576150296723,0.14168567130637935,
height,5,6,normal,-0.017384257842236617,0.08665099702090413,
yaw,5,6,normal,0.03115335164293863,0.08118995862863193,
width,5,6,normal,-0.1340343640075894,0.4056973379230099,
length,5,6,normal,-0.040765476039075474,0.20022805761172902,
box_height,5,6,normal,-0.04918320113279688,0.12793771209968807,
distal,6,7,normal,-0.02008988608675717,0.15925869528466627,
perpendicular,6,7,normal,0.0008871280742698686,0.18611097737966714,
height,6,7,normal,-0.03461148255540355,0.09716309286490993,
yaw,6,7,normal,0.02219722768004456,0.09431945211627009,
width,6,7,normal,-0.12018455430515322,0.43724157792627033,
length,6,7,normal,-0.05629471883785592,0.22000180282359807,
box_height,6,7,normal,-0.06217691070217137,0.1615338737084381,
distal,7,8,normal,-0.03780207495177687,0.17727279022363232,
perpendicular,7,8,normal,0.003520388184737223,0.13864427994227504,
height,7,8,normal,-0.024752050906688243,0.08531716329901241,
yaw,7,8,normal,0.017700427884862972,0.08796676389944859,
width,7,8,normal,-0.09046058249366176,0.37738967105784166,
length,7,8,normal,-0.07520741090044245,0.21921250179390417,
box_height,7,8,normal,-0.03437993816427282,0.1402979620350146,
distal,8,9,normal,0.009631812280267417,0.19118890569729557,
perpendicular,8,9,normal,-0.009153379239693782,0.125538867511582,
height,8,9,normal,-0.026791756745152825,0.08233125453398074,
yaw,8,9,normal,0.028805271358266944,0.061088902299980534,
width,8,9,normal,0.013066381736089719,0.396506027971405,
length,8,9,normal,-0.015648797454449956,0.1649786927867986,
box_height,8,9,normal,-0.017732138281700595,0.1420285238586734,
distal,9,10,normal,-0.021885447152476624,0.1787312545099228,
perpendicular,9,10,normal,-0.008677341984933546,0.12842523434550937,
height,9,10,normal,-0.006676559929786167,0.08582809693061827,
yaw,9,10,normal,0.034311457326719294,0.07654550636947614,
width,9,10,normal,-0.034253655280140016,0.3681539682878881,
length,9,10,normal,-0.009559942088347994,0.1911877579259225,
box_height,9,10,normal,-0.03610422254604377,0.12659212367799683,
distal,10,11,normal,-0.03626447453615063,0.16348067307373954,
perpendicular,10,11,normal,0.008947425838329331,0.12527102056151987,
height,10,11,normal,-0.00240175826264045,0.08134654193668175,
yaw,10,11,normal,0.012869239068299213,0.08457895739280787,
width,10,11,normal,-0.03721173710421837,0.35707137042513354,
length,10,11,normal,-0.015689678273154695,0.1893314472707702,
box_height,10,11,normal,-0.033359425353386644,0.12313168338809508,
distal,11,12,normal,-0.008785349619533414,0.1844893531875404,
perpendicular,11,12,normal,0.012262077656596437,0.12994740143960973,
height,11,12,normal,-0.0234846973704436,0.09167612634848729,
yaw,11,12,normal,0.04011696816846022,0.08611051761577469,
width,11,12,normal,-0.05399071801814101,0.3665316113933077,
length,11,12,normal,-0.039030254065455613,0.18832380470044888,
box_height,11,12,normal,-0.03600743760615736,0.1441732206082669,
distal,12,13,normal,0.016465049664274038,0.19102776033095406,
perpendicular,12,13,normal,-0.000804355468198171,0.12702398562144263,
height,12,13,normal,-0.015771401501384494,0.08590909771619475,
yaw,12,13,normal,0.031510390045635384,0.08426177201100998,
width,12,13,normal,-0.054182148906107085,0.34746123995770245,
length,12,13,normal,-0.029717829817399413,0.19768040547625498,
box_height,12,13,normal,-0.027942420149142024,0.14868198155169124,
distal,13,14,normal,-0.013564926622859226,0.18544859010161846,
perpendicular,13,14,normal,0.01415890669034676,0.14554112969666408,
height,13,14,normal,-0.030483465495072012,0.09113790147797542,
yaw,13,14,normal,0.02496891361719679,0.09378423133210222,
width,13,14,normal,-0.052181229347319114,0.37641356062054215,
length,13,14,normal,-0.07266447745908902,0.22354269712904826,
box_height,13,14,normal,-0.03466434366121067,0.14481387788448433,
distal,14,15,normal,-0.013616223091269641,0.1915526149026152,
perpendicular,14,15,normal,-0.011789586862384398,0.13039730745120287,
height,14,15,normal,-0.01021534636400748,0.08751173306627125,
yaw,14,15,normal,0.02498583875487029,0.08050340626893204,
width,14,15,normal,-0.06904000954218666,0.37723618581604523,
length,14,15,normal,-0.040703671831749756,0.19357614401220002,
box_height,14,15,normal,-0.03883808618670988,0.15611732001359827,
distal,15,16,normal,0.012097861640544475,0.18834296699540795,
perpendicular,15,16,normal,-0.0005459150870125944,0.12966224756510003,
height,15,16,normal,-0.009401212776860884,0.08939237121520428,
yaw,15,16,normal,0.018810453709340758,0.09163425688568591,
width,15,16,normal,-0.006043139124108899,0.38630152657930306,
length,15,16,normal,-0.042065103928889,0.22606975566576032,
box_height,15,16,normal,-0.03667914843366992,0.14016698654436185,
distal,16,17,normal,0.03118516013903708,0.20104172732867345,
perpendicular,16,17,normal,0.018260117800674998,0.14708645951218324,
height,16,17,normal,-0.016795398302951448,0.08217819786978267,
yaw,16,17,normal,0.017795596259220454,0.08368769904330403,
width,16,17,normal,-0.011268316950361434,0.3440847505927296,
