# PointPillar V2V4Real, astuff ego, train+val - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.09085511854478015,0.1365237660922635
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.004199603962150145,0.04311523400328506
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.06313437223434448,0.065959632396698
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.008669888600707054,0.0760307963937521
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.11080574989318848,0.235764741897583
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.024663329124450684,0.12133634090423584
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.012449383735656738,0.022050023078918457
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.1111111111111111,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.10876110172208117,0.1758855695016067
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.07429097328298173,0.11183271993286234
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.04473499397095409,0.06134079769253731
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.03217406051025827,0.03673154948046431
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.25849306761247326,0.274272158741951
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.09228216109330731,0.13363075256347656
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.0584227136388611,0.07086601108312607
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.24561403508771928,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.10354450725348009,0.12139225123672018
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.12099198095137537,0.1410605584253033
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.045260777525024096,0.0636080683663834
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.04811645446812626,0.043061397682745445
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.2310223998186943,0.2834639881932458
length,0.0,5.0,-130.0,-120.0,normal,0.0,0.07679790306633909,0.1190151059350302
box_height,0.0,5.0,-130.0,-120.0,normal,0.0,0.07753778872432585,0.09804420415745226
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.0,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.10973792418810725,0.1381791550261698
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.15897164498615843,0.20113104317622962
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.046113245683008966,0.052481166190571256
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.05502714853034488,0.05970058957528737
width,0.0,5.0,-120.0,-110.0,normal,0.0,0.18872544932760654,0.22123777866363525
length,0.0,5.0,-120.0,-110.0,normal,0.0,0.0813910997495992,0.11578626434008281
box_height,0.0,5.0,-120.0,-110.0,normal,0.0,0.06249697320048336,0.09825240572293599
miss_detection,0.0,5.0,-110.0,-100.0,constant,0.03488372093023256,,
distal,0.0,5.0,-110.0,-100.0,normal,0.0,0.05824342778411278,0.10272253889380975
perpendicular,0.0,5.0,-110.0,-100.0,normal,0.0,0.07737589974195369,0.10402274783761897
height,0.0,5.0,-110.0,-100.0,normal,0.0,0.04189549336574299,0.03653300167566322
yaw,0.0,5.0,-110.0,-100.0,normal,0.0,0.03862977463123152,0.03380827575735117
width,0.0,5.0,-110.0,-100.0,normal,0.0,0.20436973157938593,0.17806270610855288
length,0.0,5.0,-110.0,-100.0,normal,0.0,0.0772931876488538,0.06912503185042415
box_height,0.0,5.0,-110.0,-100.0,normal,0.0,0.0689663187438311,0.06350986785199268
miss_detection,0.0,5.0,-100.0,-90.0,constant,0.022222222222222223,,
distal,0.0,5.0,-100.0,-90.0,normal,0.0,0.0687083439494607,0.09268166956021444
perpendicular,0.0,5.0,-100.0,-90.0,normal,0.0,0.1907662015235683,0.1626124511095701
height,0.0,5.0,-100.0,-90.0,normal,0.0,0.06739309028985936,0.05757795545187863
yaw,0.0,5.0,-100.0,-90.0,normal,0.0,0.03131682333745614,0.04047297294461962
width,0.0,5.0,-100.0,-90.0,normal,0.0,0.20601620989843297,0.17692575671456076
length,0.0,5.0,-100.0,-90.0,normal,0.0,0.0847614603830339,0.10714646632021124
box_height,0.0,5.0,-100.0,-90.0,normal,0.0,0.0686937935672359,0.0820200199430639
miss_detection,0.0,5.0,-90.0,-80.0,constant,0.0,,
distal,0.0,5.0,-90.0,-80.0,normal,0.0,0.12062161176649669,0.2240539462989894
perpendicular,0.0,5.0,-90.0,-80.0,normal,0.0,0.06772745028720205,0.13127597319896114
height,0.0,5.0,-90.0,-80.0,normal,0.0,0.0594539026975758,0.0773086879454868
yaw,0.0,5.0,-90.0,-80.0,normal,0.0,0.0353477048363522,0.0631337935294756
width,0.0,5.0,-90.0,-80.0,normal,0.0,0.13436190387385488,0.13161684089983014
length,0.0,5.0,-90.0,-80.0,normal,0.0,0.07731196444018051,0.219559327817299
box_height,0.0,5.0,-90.0,-80.0,normal,0.0,0.050637494137781805,0.055850504989355385
miss_detection,0.0,5.0,-80.0,-70.0,constant,0.021739130434782608,,
distal,0.0,5.0,-80.0,-70.0,normal,0.0,0.0893011833279189,0.13044976125885516
perpendicular,0.0,5.0,-80.0,-70.0,normal,0.0,0.1037853772030437,0.12685184601959698
height,0.0,5.0,-80.0,-70.0,normal,0.0,0.05638097677922502,0.06974800030390421
yaw,0.0,5.0,-80.0,-70.0,normal,0.0,0.04573081985649019,0.056260890284061636
width,0.0,5.0,-80.0,-70.0,normal,0.0,0.2122097768894632,0.24591679043240017
length,0.0,5.0,-80.0,-70.0,normal,0.0,0.11197742508003578,0.14088948567708334
box_height,0.0,5.0,-80.0,-70.0,normal,0.0,0.04695660675099537,0.0612521939807468
miss_detection,0.0,5.0,-70.0,-60.0,constant,0.020833333333333332,,
distal,0.0,5.0,-70.0,-60.0,normal,0.0,0.08297483050037914,0.13159991731267634
perpendicular,0.0,5.0,-70.0,-60.0,normal,0.0,0.1508159468657404,0.15450893476864255
height,0.0,5.0,-70.0,-60.0,normal,0.0,0.04992255343940756,0.05160176880816196
yaw,0.0,5.0,-70.0,-60.0,normal,0.0,0.04092015652949958,0.04783014993757961
width,0.0,5.0,-70.0,-60.0,normal,0.0,0.24525834806223504,0.23216796428599257
