# PointPillar V2V4Real, tesla ego, train+val - Binned error distributions (normal from bias/bias_std)

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,2,3,normal,0.023442571524657133,0.1493203134723904,
perpendicular,2,3,normal,0.05349345622402036,0.26642273599833044,
height,2,3,normal,-0.02030458301305771,0.047367291278824775,
yaw,2,3,normal,0.05579907028004527,0.07335880740243085,
width,2,3,normal,-0.305259108543396,0.5114904119789612,
length,2,3,normal,-0.027420997619628906,0.18258528221628267,
box_height,2,3,normal,0.0029624253511428833,0.13412967169002013,
distal,3,4,normal,-0.15190965764571518,0.15975697080624465,
perpendicular,3,4,normal,-0.05037050241053892,0.24319853375504819,
height,3,4,normal,-0.00589978154543992,0.07014754271957215,
yaw,3,4,normal,0.02049278425157639,0.06253857309005242,
width,3,4,normal,-0.400263664486644,0.5080222807161485,
length,3,4,normal,-0.17057334361495552,0.21748493435107388,
box_height,3,4,normal,-0.034222306131006595,0.10472033611409745,
distal,4,5,normal,-0.10373502898738511,0.1671630988547366,
perpendicular,4,5,normal,-0.033982958472645354,0.18042106737046185,
height,4,5,normal,-0.009435239656647639,0.06605289661514563,
yaw,4,5,normal,0.024024402351288568,0.0507886223587853,
width,4,5,normal,-0.19541546052961206,0.4545127987037733,
length,4,5,normal,-0.13918800603097944,0.17466970129234738,
box_height,4,5,normal,-0.02868736644289387,0.09404158861039916,
distal,5,6,normal,-0.06420202272263444,0.17002367432189594,
perpendicular,5,6,normal,-0.013842511341908264,0.1447200601562062,
height,5,6,normal,-0.013738651132378966,0.06556342129344814,
yaw,5,6,normal,0.019798651075207934,0.04434403738321039,
width,5,6,normal,-0.16380970007360238,0.30991564907740526,
length,5,6,normal,-0.11623121203271104,0.14921086117911797,
box_height,5,6,normal,-0.025268448780534605,0.09982557168811691,
distal,6,7,normal,-0.06015219449585981,0.16407673071060272,
perpendicular,6,7,normal,0.0038071145023604687,0.20422648798229584,
height,6,7,normal,-0.02264034947217335,0.07986496794992128,
yaw,6,7,normal,0.02280549590740113,0.05054984024395435,
width,6,7,normal,-0.1655556485400222,0.42779571338847283,
length,6,7,normal,-0.08652164378473835,0.17373170245113814,
box_height,6,7,normal,-0.019489955380215623,0.12016590684288588,
distal,7,8,normal,-0.08474010762100544,0.18862991241045451,
perpendicular,7,8,normal,0.004286606154197329,0.15604838886067218,
height,7,8,normal,-0.02015513366686269,0.07219550115595065,
yaw,7,8,normal,0.03355881752994933,0.04754308539483291,
width,7,8,normal,-0.18823090857608474,0.40172995952315305,
