# PointPillar V2V4Real, tesla ego, train+val - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
miss_detection,0.0,5.0,-150.0,-140.0,constant,0.0,,
distal,0.0,5.0,-150.0,-140.0,normal,0.0,0.08741495860088638,0.1340795420420808
perpendicular,0.0,5.0,-150.0,-140.0,normal,0.0,0.024200184130916996,0.0813277609696766
height,0.0,5.0,-150.0,-140.0,normal,0.0,0.035794242431954504,0.08642754952112834
yaw,0.0,5.0,-150.0,-140.0,normal,0.0,0.027901713581010006,0.06014665588736534
width,0.0,5.0,-150.0,-140.0,normal,0.0,0.2013777921423263,0.27189938227335614
length,0.0,5.0,-150.0,-140.0,normal,0.0,0.02428686761318646,0.06895788510640462
box_height,0.0,5.0,-150.0,-140.0,normal,0.0,0.1252671916995925,0.17770294348398843
miss_detection,0.0,5.0,-140.0,-130.0,constant,0.0,,
distal,0.0,5.0,-140.0,-130.0,normal,0.0,0.10636905878136015,0.12677239463442572
perpendicular,0.0,5.0,-140.0,-130.0,normal,0.0,0.07545407658801272,0.10605408241340583
height,0.0,5.0,-140.0,-130.0,normal,0.0,0.058897943833295295,0.060131577812895486
yaw,0.0,5.0,-140.0,-130.0,normal,0.0,0.02770459500921904,0.035627948077471584
width,0.0,5.0,-140.0,-130.0,normal,0.0,0.28547223572084285,0.3130056030896245
length,0.0,5.0,-140.0,-130.0,normal,0.0,0.13325890427117176,0.16135506240689024
box_height,0.0,5.0,-140.0,-130.0,normal,0.0,0.08450006829779098,0.09649542643099415
miss_detection,0.0,5.0,-130.0,-120.0,constant,0.009523809523809525,,
distal,0.0,5.0,-130.0,-120.0,normal,0.0,0.06783673142501002,0.12187226720504021
perpendicular,0.0,5.0,-130.0,-120.0,normal,0.0,0.08854112209745855,0.08874739255899043
height,0.0,5.0,-130.0,-120.0,normal,0.0,0.053743968114093245,0.06327593211944287
yaw,0.0,5.0,-130.0,-120.0,normal,0.0,0.033555707707459755,0.04642380922730528
width,0.0,5.0,-130.0,-120.0,normal,0.0,0.23835221463928563,0.24620585716687715
