# score: P(score | TP, bin) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, bin) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame), param2=n_fp, param3=

error_type,dist_min,dist_max,distribution,param1,param2,param3
distal,0,10,normal,-0.0686618154206378,0.18524579867675425,
perpendicular,0,10,normal,-0.00038750931224752663,0.18115073148267358,
height,0,10,normal,-0.019502581073193696,0.08665064497025753,
yaw,0,10,normal,0.03283182630522633,0.05439731544545735,
width,0,10,normal,-0.15855375027010457,0.43688953832581234,
length,0,10,normal,-0.07400940696145827,0.17018847103218182,
box_height,0,10,normal,-0.007480623950205267,0.13205010985260138,
score,0,10,normal,0.67678843628068,0.12334685397773254,6405
fp_score,0,10,normal,0.09476137036237038,0.12544069185458714,5091
fp_rate,0,10,poisson,0.7165376495425757,5091,
distal,10,20,normal,-0.03617030100695835,0.19561438308840173,
perpendicular,10,20,normal,-0.01388086888394856,0.13952416331779216,
height,10,20,normal,-0.018922950230477145,0.0878804543819608,
yaw,10,20,normal,0.01986240785507788,0.05825116692232745,
width,10,20,normal,-0.09040930293998885,0.3677539366851404,
length,10,20,normal,-0.054048888281998525,0.15280673727704078,
box_height,10,20,normal,-0.037868508341324165,0.14221189225456746,
score,10,20,normal,0.6791712509124509,0.14066350407903688,11792
fp_score,10,20,normal,0.08259332548295374,0.11100276783750822,25510
fp_rate,10,20,poisson,3.590429275158339,25510,
distal,20,30,normal,-0.0035431402711452588,0.21834918891243005,
perpendicular,20,30,normal,-0.006098877365651465,0.1578071635123857,
height,20,30,normal,-0.03604789479463325,0.11077456381816969,
yaw,20,30,normal,0.007472696467919463,0.07972721599591649,
width,20,30,normal,-0.042283255893876416,0.38543066645425195,
length,20,30,normal,-0.027179591042114894,0.16973473176040488,
box_height,20,30,normal,-0.02049716183751632,0.15719329826353884,
score,20,30,normal,0.6348773362361871,0.17758538044522004,14942
fp_score,20,30,normal,0.0840066386695275,0.10367952246658343,74941
fp_rate,20,30,poisson,10.547642505277974,74941,
distal,30,40,normal,-0.011358067334594189,0.2541080225758216,
perpendicular,30,40,normal,-0.0039945783514559,0.1675209481243851,
height,30,40,normal,-0.04111184514658236,0.13920736307998802,
yaw,30,40,normal,-0.007119807121932639,0.09238352736824715,
width,30,40,normal,-0.048000588514574005,0.4150617463144105,
length,30,40,normal,-0.0236380093063019,0.1715218375987761,
box_height,30,40,normal,-0.008041209483459523,0.189068335622265,
score,30,40,normal,0.5739212340101352,0.17406364869671412,11690
fp_score,30,40,normal,0.07719525654063954,0.09007410706727763,119834
fp_rate,30,40,poisson,16.866150598170304,119834,
distal,40,50,normal,0.010251352399739918,0.25516003676383364,
perpendicular,40,50,normal,-0.018773509181145686,0.16167511100155815,
height,40,50,normal,-0.05185680686720187,0.16219744349433807,
yaw,40,50,normal,-0.020028851087159388,0.09835109786395792,
width,40,50,normal,-0.04446826257471797,0.4249706304521194,
length,40,50,normal,-0.01551188323411006,0.16791255535683056,
box_height,40,50,normal,-0.00044455895601194117,0.20107692053759396,
score,40,50,normal,0.5472821649974448,0.15170510471260895,8823
fp_score,40,50,normal,0.07619826608095456,0.08846474111330654,126407
fp_rate,40,50,poisson,17.79127375087966,126407,
distal,50,60,normal,0.016559994124338437,0.26413235442228206,
perpendicular,50,60,normal,-0.02954941615891348,0.16869152962675107,
height,50,60,normal,-0.06872282558202493,0.17155044515390125,
yaw,50,60,normal,-0.04435168684670208,0.10387153211033162,
width,50,60,normal,-0.022136039977222004,0.45510760406566814,
length,50,60,normal,-0.028768385427475642,0.15421905248319331,
box_height,50,60,normal,-0.00852246223651042,0.2186922275974477,
score,50,60,normal,0.5210723957500646,0.13721533843572342,5866
fp_score,50,60,normal,0.07564405456148811,0.0823872480411756,136446
fp_rate,50,60,poisson,19.204222378606616,136446,
distal,60,70,normal,0.03135052538257332,0.2583689425153672,
perpendicular,60,70,normal,-0.04744181024222747,0.17115543679291587,
height,60,70,normal,-0.10156698643960084,0.18670146290184206,
yaw,60,70,normal,-0.05483941403902554,0.11655506656593852,
width,60,70,normal,-0.01802544438262356,0.42232578657796266,
length,60,70,normal,-0.028819817391772105,0.15030990363508237,
box_height,60,70,normal,-0.019715092984039683,0.2247373451781508,
score,60,70,normal,0.43155401392815756,0.1418914250404744,2577
fp_score,60,70,normal,0.05625579423298759,0.050265800906873596,251331
fp_rate,60,70,poisson,35.37382125263899,251331,
distal,70,80,normal,0.09504049051110756,0.25389731435933827,
perpendicular,70,80,normal,0.010532619214577817,0.2106060768819659,
height,70,80,normal,-0.07915289568550446,0.15827523424247597,
yaw,70,80,normal,0.012269578012503501,0.14651557952410535,
width,70,80,normal,0.09448124030057121,0.4226257973919312,
length,70,80,normal,0.04938436080427731,0.15876431430239696,
box_height,70,80,normal,0.057209049077594984,0.1958949208380221,
score,70,80,normal,0.3188587848425788,0.11872012282844546,1515
fp_score,70,80,normal,0.043929002783281726,0.019251610393153644,428441
fp_rate,70,80,poisson,60.30133708655876,428441,
fp_score,80,90,normal,0.03823367060518559,0.01582746007894025,38475
fp_rate,80,90,poisson,5.415200562983814,38475,
fp_rate,90,100,poisson,0.0,0,
fp_rate,100,110,poisson,0.0,0,
fp_rate,110,120,poisson,0.0,0,
fp_rate,120,130,poisson,0.0,0,
fp_rate,130,140,poisson,0.0,0,
fp_rate,140,150,poisson,0.0,0,

# === Synthesized overall bin rows (added by synthesize_overall_bins.py) ===
# Aggregated as sqrt(mean(per-bin variance)) across per-distance bins.
# This is an unweighted aggregate; the upstream generator should emit a
# count-weighted overall row to replace these.
perpendicular,0,100,normal,0.0,0.170841,
distal,0,100,normal,0.0,0.237413,
height,0,100,normal,0.0,0.142534,
yaw,0,100,normal,0.0,0.097953,
width,0,100,normal,0.0,0.417080,
length,0,100,normal,0.0,0.162142,
box_height,0,100,normal,0.0,0.185492,
