# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate
# score: P(score | TP, cell) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, cell) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame in cell), param2=n_fp

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
distal,0.0,5.0,-180.0,-170.0,normal,0.0,0.12887674724744627,0.1703739505295345
perpendicular,0.0,5.0,-180.0,-170.0,normal,0.0,0.15218667847280187,0.16461336556738224
height,0.0,5.0,-180.0,-170.0,normal,0.0,0.04878598672309973,0.046694851420563614
yaw,0.0,5.0,-180.0,-170.0,normal,0.0,0.040267023066803326,0.046949653127275885
width,0.0,5.0,-180.0,-170.0,normal,0.0,0.4191002181444943,0.41600957383667586
length,0.0,5.0,-180.0,-170.0,normal,0.0,0.15491109755308533,0.19772291905142267
box_height,0.0,5.0,-180.0,-170.0,normal,0.0,0.07456204683910583,0.07345914751603108
fp_score,0.0,5.0,-180.0,-170.0,normal,0.04045087322592735,0.006027381346046054,5
fp_rate,0.0,5.0,-180.0,-170.0,poisson,0.0007037297677691766,5,
distal,0.0,5.0,-170.0,-160.0,normal,0.0,0.12887674724744627,0.1703739505295345
perpendicular,0.0,5.0,-170.0,-160.0,normal,0.0,0.15218667847280187,0.16461336556738224
height,0.0,5.0,-170.0,-160.0,normal,0.0,0.04878598672309973,0.046694851420563614
yaw,0.0,5.0,-170.0,-160.0,normal,0.0,0.040267023066803326,0.046949653127275885
width,0.0,5.0,-170.0,-160.0,normal,0.0,0.4191002181444943,0.41600957383667586
length,0.0,5.0,-170.0,-160.0,normal,0.0,0.15491109755308533,0.19772291905142267
box_height,0.0,5.0,-170.0,-160.0,normal,0.0,0.07456204683910583,0.07345914751603108
fp_score,0.0,5.0,-170.0,-160.0,normal,0.043743301182985306,0.005217705929812944,49
fp_rate,0.0,5.0,-170.0,-160.0,poisson,0.006896551724137931,49,
distal,0.0,5.0,-160.0,-150.0,normal,0.0,0.12887674724744627,0.1703739505295345
perpendicular,0.0,5.0,-160.0,-150.0,normal,0.0,0.15218667847280187,0.16461336556738224
height,0.0,5.0,-160.0,-150.0,normal,0.0,0.04878598672309973,0.046694851420563614
yaw,0.0,5.0,-160.0,-150.0,normal,0.0,0.040267023066803326,0.046949653127275885
width,0.0,5.0,-160.0,-150.0,normal,0.0,0.4191002181444943,0.41600957383667586
length,0.0,5.0,-160.0,-150.0,normal,0.0,0.15491109755308533,0.19772291905142267
