# PointPillars OS1_128 LiDAR - Best-Fit Error Distributions
# These are used for SAMPLING actual errors (not prediction)
# Based on evaluation with 'All' vehicle category
#
# Format: error_type,dist_min,dist_max,distribution,param1,param2,param3
#   distribution types: normal, laplace, logistic, student_t, cauchy
#   normal:    param1=mu, param2=sigma
#   laplace:   param1=mu, param2=b (scale)
#   logistic:  param1=mu, param2=s (scale)
#   student_t: param1=nu (df), param2=mu, param3=sigma
#   cauchy:    param1=x0 (location), param2=gamma (scale)

error_type,dist_min,dist_max,distribution,param1,param2,param3
# ==============================================================================
# Distal Error bins
# ==============================================================================
distal,0,5,normal,0.0358,0.1646,
distal,5,10,student_t,3.40,-0.0049,0.0690
distal,10,15,student_t,3.38,0.0051,0.0673
distal,15,20,laplace,0.0081,0.0828,
distal,20,25,laplace,0.0039,0.1058,
distal,25,30,laplace,0.0045,0.1100,
distal,30,35,logistic,0.0117,0.0945,
distal,35,40,logistic,-0.0100,0.1045,
distal,40,45,logistic,-0.0009,0.1181,
distal,45,50,normal,0.0512,0.2100,
distal,50,55,normal,0.0238,0.2448,
distal,55,60,normal,0.0041,0.2713,
distal,60,65,normal,-0.0033,0.2757,
distal,65,70,normal,0.0279,0.2942,
# ==============================================================================
# Perpendicular Error bins
# ==============================================================================
perpendicular,0,5,logistic,0.0469,0.0711,
perpendicular,5,10,student_t,10.26,0.0379,0.0807
perpendicular,10,15,student_t,7.69,0.0088,0.0724
perpendicular,15,20,student_t,5.33,0.0041,0.0715
perpendicular,20,25,student_t,5.32,-0.0027,0.0698
perpendicular,25,30,student_t,5.18,-0.0086,0.0742
perpendicular,30,35,student_t,4.72,0.0102,0.0823
perpendicular,35,40,logistic,0.0026,0.0590,
perpendicular,40,45,logistic,0.0097,0.0621,
perpendicular,45,50,normal,0.0252,0.1263,
perpendicular,50,55,logistic,-0.0028,0.0753,
perpendicular,55,60,normal,0.0085,0.1497,
perpendicular,60,65,normal,0.0091,0.1772,
perpendicular,65,70,normal,-0.0168,0.1510,
# ==============================================================================
# Height Error bins
# ==============================================================================
height,0,5,logistic,0.0152,0.0525,
height,5,10,student_t,2.23,0.0001,0.0455
height,10,15,student_t,2.11,0.0002,0.0460
height,15,20,student_t,2.15,-0.0010,0.0488
height,20,25,student_t,2.22,0.0001,0.0513
height,25,30,student_t,2.72,0.0030,0.0605
height,30,35,student_t,2.86,0.0106,0.0689
height,35,40,logistic,0.0109,0.0616,
height,40,45,student_t,4.08,0.0214,0.0997
height,45,50,logistic,0.0371,0.0755,
height,50,55,logistic,0.0323,0.0879,
height,55,60,laplace,0.0449,0.1340,
height,60,65,laplace,0.0470,0.1168,
height,65,70,normal,0.0409,0.1668,
# ==============================================================================
# Yaw Error bins
# ==============================================================================
yaw,0,5,student_t,1.76,-0.0028,0.0373
yaw,5,10,cauchy,-0.0017,0.0257,
yaw,10,15,cauchy,-0.0026,0.0214,
yaw,15,20,student_t,1.16,-0.0014,0.0253
yaw,20,25,student_t,1.45,-0.0012,0.0266
yaw,25,30,student_t,1.81,-0.0014,0.0294
yaw,30,35,student_t,2.22,-0.0052,0.0332
yaw,35,40,student_t,2.36,-0.0035,0.0395
yaw,40,45,laplace,-0.0028,0.0582,
