Metric,Value
config_name,mal_add_8pct
run_id,1
total_steps,500
recorded_steps,300
wall_time_seconds,1.693640947341919
avg_cav_amota,0.0
avg_cis_amota,0.9847856154910096
avg_global_amota,0.5976628688285136
cav_total_mse_violations_gt,0
cav_total_mse_violations_sensor,0
cav_total_ttc_violations_gt,0
cav_total_ttc_violations_sensor,0
cav_true_positives_mse,0
cav_false_positives_mse,0
cav_false_negatives_mse,0
cav_true_positives_ttc,0
cav_false_positives_ttc,0
cav_false_negatives_ttc,0
cav_amota,0.0
cis_total_mse_violations_gt,467
cis_total_mse_violations_sensor,467
cis_total_ttc_violations_gt,79
cis_total_ttc_violations_sensor,81
cis_true_positives_mse,467
cis_false_positives_mse,0
cis_false_negatives_mse,0
cis_true_positives_ttc,79
cis_false_positives_ttc,2
cis_false_negatives_ttc,0
cis_amota,237.33333333333331
global_total_mse_violations_gt,310
global_total_mse_violations_sensor,404
global_total_ttc_violations_gt,151
global_total_ttc_violations_sensor,178
global_true_positives_mse,255
global_false_positives_mse,149
global_false_negatives_mse,55
global_true_positives_ttc,97
global_false_positives_ttc,81
global_false_negatives_ttc,54
global_amota,97.41904761904772
