Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std)
baseline,1,0.5372,0.0000,0.9950,0.0000,1.0000,0.0000
extrinsics_1pct,1,0.5941,0.0000,0.9941,0.0000,0.9942,0.0000
extrinsics_2pct,1,0.5873,0.0000,0.9929,0.0000,0.0000,0.0000
extrinsics_3pct,1,0.5768,0.0000,0.9946,0.0000,0.9916,0.0000
extrinsics_4pct,1,0.6129,0.0000,0.9890,0.0000,0.9938,0.0000
extrinsics_5pct,1,0.6494,0.0000,0.9890,0.0000,0.9946,0.0000
extrinsics_6pct,1,0.6111,0.0000,0.9949,0.0000,0.0000,0.0000
extrinsics_7pct,1,0.6212,0.0000,0.9909,0.0000,0.9882,0.0000
extrinsics_8pct,1,0.6385,0.0000,0.9966,0.0000,0.9892,0.0000
extrinsics_9pct,1,0.5534,0.0000,0.9967,0.0000,0.9891,0.0000
extrinsics_10pct,1,0.6012,0.0000,0.9945,0.0000,0.0000,0.0000
localization_1pct,1,0.6465,0.0000,0.9941,0.0000,0.0000,0.0000
localization_2pct,1,0.6106,0.0000,0.9924,0.0000,1.0000,0.0000
localization_3pct,1,0.6862,0.0000,0.9963,0.0000,0.9868,0.0000
localization_4pct,1,0.6025,0.0000,0.9854,0.0000,0.0000,0.0000
localization_5pct,1,0.6454,0.0000,0.9979,0.0000,0.9912,0.0000
localization_6pct,1,0.5543,0.0000,0.9960,0.0000,0.9973,0.0000
localization_7pct,1,0.5571,0.0000,0.9930,0.0000,0.9898,0.0000
localization_8pct,1,0.6436,0.0000,0.9901,0.0000,0.9841,0.0000
localization_9pct,1,0.6424,0.0000,0.9936,0.0000,0.9918,0.0000
localization_10pct,1,0.6027,0.0000,0.9919,0.0000,0.9918,0.0000
mal_remove_1pct,1,0.5910,0.0000,0.9927,0.0000,0.0000,0.0000
mal_remove_2pct,1,0.5922,0.0000,0.9889,0.0000,0.0000,0.0000
mal_remove_3pct,1,0.6051,0.0000,0.9921,0.0000,0.9895,0.0000
mal_remove_4pct,1,0.6526,0.0000,0.9941,0.0000,1.0000,0.0000
mal_remove_5pct,1,0.6031,0.0000,0.9934,0.0000,0.0000,0.0000
mal_remove_6pct,1,0.6336,0.0000,0.9924,0.0000,0.9946,0.0000
mal_remove_7pct,1,0.5776,0.0000,0.9949,0.0000,0.9976,0.0000
mal_remove_8pct,1,0.6086,0.0000,0.9932,0.0000,0.9928,0.0000
mal_remove_9pct,1,0.6022,0.0000,0.9948,0.0000,0.9942,0.0000
mal_remove_10pct,1,0.6409,0.0000,0.9969,0.0000,0.9986,0.0000
mal_add_1pct,1,0.5703,0.0000,0.9877,0.0000,0.0000,0.0000
mal_add_2pct,1,0.6243,0.0000,0.9902,0.0000,1.0000,0.0000
mal_add_3pct,1,0.6850,0.0000,0.9990,0.0000,0.9929,0.0000
mal_add_4pct,1,0.6613,0.0000,0.9990,0.0000,1.0000,0.0000
mal_add_5pct,1,0.6186,0.0000,0.9922,0.0000,0.9899,0.0000
mal_add_6pct,1,0.6199,0.0000,0.9902,0.0000,0.0000,0.0000
mal_add_7pct,1,0.6181,0.0000,0.9972,0.0000,0.0000,0.0000
mal_add_8pct,1,0.5977,0.0000,0.9848,0.0000,0.0000,0.0000
mal_add_9pct,1,0.6182,0.0000,0.9953,0.0000,0.0000,0.0000
mal_add_10pct,1,0.6407,0.0000,0.9960,0.0000,0.9925,0.0000
mal_convoy_1pct,1,0.6098,0.0000,0.9876,0.0000,0.0000,0.0000
mal_convoy_2pct,1,0.6224,0.0000,0.9973,0.0000,0.0000,0.0000
mal_convoy_3pct,1,0.6824,0.0000,0.9907,0.0000,0.9925,0.0000
mal_convoy_4pct,1,0.6420,0.0000,0.9938,0.0000,0.9968,0.0000
mal_convoy_5pct,1,0.6203,0.0000,0.9897,0.0000,1.0000,0.0000
mal_convoy_6pct,1,0.5874,0.0000,0.9908,0.0000,0.9889,0.0000
mal_convoy_7pct,1,0.5990,0.0000,0.9961,0.0000,0.0000,0.0000
mal_convoy_8pct,1,0.5779,0.0000,0.9973,0.0000,0.0000,0.0000
mal_convoy_9pct,1,0.5952,0.0000,0.9920,0.0000,0.0000,0.0000
mal_convoy_10pct,1,0.5008,0.0000,0.9868,0.0000,0.9975,0.0000
