Metric,Value
config_name,extrinsics_9pct
run_id,8
total_steps,7000
recorded_steps,5000
wall_time_seconds,392.5068483352661
avg_cav_amota,0.9907949725438424
avg_cis_amota,0.9909479709960961
avg_global_amota,0.43694005015215803
cav_total_mse_violations_gt,70437
cav_total_mse_violations_sensor,70439
cav_total_ttc_violations_gt,22504
cav_total_ttc_violations_sensor,18474
cav_true_positives_mse,70415
cav_false_positives_mse,24
cav_false_negatives_mse,22
cav_true_positives_ttc,16546
cav_false_positives_ttc,1928
cav_false_negatives_ttc,5958
cav_amota,28736.026588689063
cis_total_mse_violations_gt,24698
cis_total_mse_violations_sensor,24694
cis_total_ttc_violations_gt,1842
cis_total_ttc_violations_sensor,1838
cis_true_positives_mse,24682
cis_false_positives_mse,12
cis_false_negatives_mse,16
cis_true_positives_ttc,1806
cis_false_positives_ttc,32
cis_false_negatives_ttc,36
cis_amota,4941.857531357531
global_total_mse_violations_gt,810020
global_total_mse_violations_sensor,972222
global_total_ttc_violations_gt,315334
global_total_ttc_violations_sensor,389669
global_true_positives_mse,786058
global_false_positives_mse,186164
global_false_negatives_mse,23962
global_true_positives_ttc,289307
global_false_positives_ttc,100362
global_false_negatives_ttc,26027
global_amota,2153.677507199987
