Metric,Value
config_name,mal_remove_9pct
run_id,1
total_steps,500
recorded_steps,300
wall_time_seconds,1.7136425971984863
avg_cav_amota,0.0
avg_cis_amota,0.9966931216931216
avg_global_amota,0.6175516466655708
cav_total_mse_violations_gt,0
cav_total_mse_violations_sensor,0
cav_total_ttc_violations_gt,0
cav_total_ttc_violations_sensor,0
cav_true_positives_mse,0
cav_false_positives_mse,0
cav_false_negatives_mse,0
cav_true_positives_ttc,0
cav_false_positives_ttc,0
cav_false_negatives_ttc,0
cav_amota,0.0
cav_total_mse_violations_gt_av,0
cav_total_mse_violations_gt_non_av,0
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,0
cav_total_ttc_violations_gt_av,0
cav_total_ttc_violations_gt_non_av,0
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,0
cis_total_mse_violations_gt,465
cis_total_mse_violations_sensor,465
cis_total_ttc_violations_gt,61
cis_total_ttc_violations_sensor,61
cis_true_positives_mse,465
cis_false_positives_mse,0
cis_false_negatives_mse,0
cis_true_positives_ttc,61
cis_false_positives_ttc,0
cis_false_negatives_ttc,0
cis_amota,251.16666666666666
cis_total_mse_violations_gt_av,0
cis_total_mse_violations_gt_non_av,465
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,465
cis_total_ttc_violations_gt_av,0
cis_total_ttc_violations_gt_non_av,61
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,61
global_total_mse_violations_gt,0
global_total_mse_violations_sensor,0
global_total_ttc_violations_gt,0
global_total_ttc_violations_sensor,0
global_true_positives_mse,0
global_false_positives_mse,0
global_false_negatives_mse,0
global_true_positives_ttc,0
global_false_positives_ttc,0
global_false_negatives_ttc,0
global_amota,97.57316017316019
global_total_mse_violations_gt_av,0
global_total_mse_violations_gt_non_av,0
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,0
global_total_ttc_violations_gt_av,0
global_total_ttc_violations_gt_non_av,0
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,0
