Metric,Value
config_name,localization_8pct
run_id,1
total_steps,500
recorded_steps,300
wall_time_seconds,2.179565906524658
avg_cav_amota,0.9968553459119497
avg_cis_amota,0.9905710491367863
avg_global_amota,0.6472074079766389
cav_total_mse_violations_gt,183
cav_total_mse_violations_sensor,183
cav_total_ttc_violations_gt,29
cav_total_ttc_violations_sensor,29
cav_true_positives_mse,183
cav_false_positives_mse,0
cav_false_negatives_mse,0
cav_true_positives_ttc,29
cav_false_positives_ttc,0
cav_false_negatives_ttc,0
cav_amota,105.66666666666667
cav_total_mse_violations_gt_av,0
cav_total_mse_violations_gt_non_av,183
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,183
cav_total_ttc_violations_gt_av,0
cav_total_ttc_violations_gt_non_av,29
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,29
cis_total_mse_violations_gt,476
cis_total_mse_violations_sensor,476
cis_total_ttc_violations_gt,73
cis_total_ttc_violations_sensor,71
cis_true_positives_mse,476
cis_false_positives_mse,0
cis_false_negatives_mse,0
cis_true_positives_ttc,71
cis_false_positives_ttc,0
cis_false_negatives_ttc,2
cis_amota,248.63333333333335
cis_total_mse_violations_gt_av,57
cis_total_mse_violations_gt_non_av,419
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,476
cis_total_ttc_violations_gt_av,0
cis_total_ttc_violations_gt_non_av,73
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,71
global_total_mse_violations_gt,1326
global_total_mse_violations_sensor,1797
global_total_ttc_violations_gt,193
global_total_ttc_violations_sensor,225
global_true_positives_mse,1184
global_false_positives_mse,613
global_false_negatives_mse,142
global_true_positives_ttc,118
global_false_positives_ttc,107
global_false_negatives_ttc,75
global_amota,126.20544455544459
global_total_mse_violations_gt_av,114
global_total_mse_violations_gt_non_av,1212
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1797
global_total_ttc_violations_gt_av,0
global_total_ttc_violations_gt_non_av,193
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,225
