Metric,Value
config_name,baseline
run_id,1
total_steps,500
recorded_steps,300
wall_time_seconds,2.4555838108062744
avg_cav_amota,0.999198717948718
avg_cis_amota,0.9953333333333334
avg_global_amota,0.5718604977788653
cav_total_mse_violations_gt,353
cav_total_mse_violations_sensor,353
cav_total_ttc_violations_gt,100
cav_total_ttc_violations_sensor,87
cav_true_positives_mse,353
cav_false_positives_mse,0
cav_false_negatives_mse,0
cav_true_positives_ttc,72
cav_false_positives_ttc,15
cav_false_negatives_ttc,28
cav_amota,311.75
cav_total_mse_violations_gt_av,15
cav_total_mse_violations_gt_non_av,338
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,353
cav_total_ttc_violations_gt_av,3
cav_total_ttc_violations_gt_non_av,97
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,87
cis_total_mse_violations_gt,488
cis_total_mse_violations_sensor,488
cis_total_ttc_violations_gt,72
cis_total_ttc_violations_sensor,72
cis_true_positives_mse,488
cis_false_positives_mse,0
cis_false_negatives_mse,0
cis_true_positives_ttc,72
cis_false_positives_ttc,0
cis_false_negatives_ttc,0
cis_amota,248.83333333333334
cis_total_mse_violations_gt_av,145
cis_total_mse_violations_gt_non_av,343
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,488
cis_total_ttc_violations_gt_av,20
cis_total_ttc_violations_gt_non_av,52
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,72
global_total_mse_violations_gt,1030
global_total_mse_violations_sensor,1564
global_total_ttc_violations_gt,520
global_total_ttc_violations_sensor,815
global_true_positives_mse,948
global_false_positives_mse,616
global_false_negatives_mse,82
global_true_positives_ttc,458
global_false_positives_ttc,357
global_false_negatives_ttc,62
global_amota,140.105821955822
global_total_mse_violations_gt_av,124
global_total_mse_violations_gt_non_av,906
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1564
global_total_ttc_violations_gt_av,90
global_total_ttc_violations_gt_non_av,430
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,815
