Metric,Value
config_name,mal_convoy_10pct
run_id,1
total_steps,500
recorded_steps,300
wall_time_seconds,1.7189288139343262
avg_cav_amota,0.0
avg_cis_amota,0.9978070175438595
avg_global_amota,0.641878172588833
cav_total_mse_violations_gt,0
cav_total_mse_violations_sensor,0
cav_total_ttc_violations_gt,0
cav_total_ttc_violations_sensor,0
cav_true_positives_mse,0
cav_false_positives_mse,0
cav_false_negatives_mse,0
cav_true_positives_ttc,0
cav_false_positives_ttc,0
cav_false_negatives_ttc,0
cav_amota,0.0
cav_total_mse_violations_gt_av,0
cav_total_mse_violations_gt_non_av,0
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,0
cav_total_ttc_violations_gt_av,0
cav_total_ttc_violations_gt_non_av,0
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,0
cis_total_mse_violations_gt,491
cis_total_mse_violations_sensor,491
cis_total_ttc_violations_gt,82
cis_total_ttc_violations_sensor,83
cis_true_positives_mse,491
cis_false_positives_mse,0
cis_false_negatives_mse,0
cis_true_positives_ttc,82
cis_false_positives_ttc,1
cis_false_negatives_ttc,0
cis_amota,265.41666666666663
cis_total_mse_violations_gt_av,0
cis_total_mse_violations_gt_non_av,491
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,491
cis_total_ttc_violations_gt_av,0
cis_total_ttc_violations_gt_non_av,82
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,83
global_total_mse_violations_gt,0
global_total_mse_violations_sensor,0
global_total_ttc_violations_gt,0
global_total_ttc_violations_sensor,0
global_true_positives_mse,0
global_false_positives_mse,0
global_false_negatives_mse,0
global_true_positives_ttc,0
global_false_positives_ttc,0
global_false_negatives_ttc,0
global_amota,126.45000000000009
global_total_mse_violations_gt_av,0
global_total_mse_violations_gt_non_av,0
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,0
global_total_ttc_violations_gt_av,0
global_total_ttc_violations_gt_non_av,0
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,0
