Metric,Value
config_name,localization_50pct
run_id,1
total_steps,2500
recorded_steps,2000
wall_time_seconds,55.93070983886719
avg_cav_amota,0.9875943429207101
avg_cis_amota,0.9917499715197087
avg_global_amota,0.5678422188053169
cav_total_mse_violations_gt,12865
cav_total_mse_violations_sensor,12857
cav_total_ttc_violations_gt,2396
cav_total_ttc_violations_sensor,2306
cav_true_positives_mse,12845
cav_false_positives_mse,12
cav_false_negatives_mse,20
cav_true_positives_ttc,2207
cav_false_positives_ttc,99
cav_false_negatives_ttc,189
cav_amota,4584.412939837936
cav_total_mse_violations_gt_av,1911
cav_total_mse_violations_gt_non_av,10954
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,12857
cav_total_ttc_violations_gt_av,247
cav_total_ttc_violations_gt_non_av,2149
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2306
cis_total_mse_violations_gt,7397
cis_total_mse_violations_sensor,7397
cis_total_ttc_violations_gt,594
cis_total_ttc_violations_sensor,597
cis_true_positives_mse,7396
cis_false_positives_mse,1
cis_false_negatives_mse,1
cis_true_positives_ttc,580
cis_false_positives_ttc,17
cis_false_negatives_ttc,14
cis_amota,1959.6979437229443
cis_total_mse_violations_gt_av,1139
cis_total_mse_violations_gt_non_av,6258
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7397
cis_total_ttc_violations_gt_av,98
cis_total_ttc_violations_gt_non_av,496
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,597
global_total_mse_violations_gt,70293
global_total_mse_violations_sensor,90355
global_total_ttc_violations_gt,23806
global_total_ttc_violations_sensor,29966
global_true_positives_mse,68093
global_false_positives_mse,22262
global_false_negatives_mse,2200
global_true_positives_ttc,21215
global_false_positives_ttc,8751
global_false_negatives_ttc,2591
global_amota,1098.7746933882884
global_total_mse_violations_gt_av,9434
global_total_mse_violations_gt_non_av,60859
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,90355
global_total_ttc_violations_gt_av,3346
global_total_ttc_violations_gt_non_av,20460
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,29966
