Metric,Value
config_name,mal_remove_50pct
run_id,5
total_steps,2500
recorded_steps,2000
wall_time_seconds,43.59909796714783
avg_cav_amota,0.9931551677174243
avg_cis_amota,0.9915140696723649
avg_global_amota,0.5291930155226303
cav_total_mse_violations_gt,7979
cav_total_mse_violations_sensor,7975
cav_total_ttc_violations_gt,2334
cav_total_ttc_violations_sensor,2368
cav_true_positives_mse,7974
cav_false_positives_mse,1
cav_false_negatives_mse,5
cav_true_positives_ttc,2168
cav_false_positives_ttc,200
cav_false_negatives_ttc,166
cav_amota,3062.8905372405366
cav_total_mse_violations_gt_av,487
cav_total_mse_violations_gt_non_av,7492
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,7975
cav_total_ttc_violations_gt_av,174
cav_total_ttc_violations_gt_non_av,2160
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2368
cis_total_mse_violations_gt,7414
cis_total_mse_violations_sensor,7415
cis_total_ttc_violations_gt,573
cis_total_ttc_violations_sensor,574
cis_true_positives_mse,7413
cis_false_positives_mse,2
cis_false_negatives_mse,1
cis_true_positives_ttc,566
cis_false_positives_ttc,8
cis_false_negatives_ttc,7
cis_amota,1954.274231324231
cis_total_mse_violations_gt_av,615
cis_total_mse_violations_gt_non_av,6799
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7415
cis_total_ttc_violations_gt_av,80
cis_total_ttc_violations_gt_non_av,493
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,574
global_total_mse_violations_gt,84211
global_total_mse_violations_sensor,106760
global_total_ttc_violations_gt,32839
global_total_ttc_violations_sensor,42310
global_true_positives_mse,80580
global_false_positives_mse,26180
global_false_negatives_mse,3631
global_true_positives_ttc,28982
global_false_positives_ttc,13328
global_false_negatives_ttc,3857
global_amota,975.3027276082076
global_total_mse_violations_gt_av,5512
global_total_mse_violations_gt_non_av,78699
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,106760
global_total_ttc_violations_gt_av,1925
global_total_ttc_violations_gt_non_av,30914
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,42310
