Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.5118,0.0778,0.9910,0.0014,0.9910,0.0021,0.20,0.42,2
extrinsics_1deg,10,0.5326,0.0291,0.9905,0.0013,0.9914,0.0010,0.20,0.63,2
extrinsics_2deg,10,0.5456,0.0307,0.9903,0.0015,0.9911,0.0014,0.10,0.32,1
extrinsics_3deg,10,0.5068,0.0541,0.9902,0.0008,0.9921,0.0018,0.20,0.42,2
extrinsics_4deg,10,0.4989,0.0384,0.9900,0.0008,0.9923,0.0017,0.50,0.85,5
extrinsics_5deg,10,0.4933,0.0516,0.9901,0.0008,0.9919,0.0025,0.00,0.00,0
extrinsics_6deg,10,0.4999,0.0539,0.9902,0.0011,0.9919,0.0016,0.00,0.00,0
extrinsics_7deg,10,0.5028,0.0655,0.9900,0.0015,0.9908,0.0032,0.20,0.42,2
extrinsics_8deg,10,0.5055,0.0328,0.9896,0.0010,0.9927,0.0029,0.10,0.32,1
extrinsics_9deg,10,0.5234,0.0474,0.9908,0.0014,0.9914,0.0020,0.60,1.90,6
extrinsics_10deg,10,0.5254,0.0665,0.9903,0.0014,0.9913,0.0025,0.00,0.00,0
localization_10pct,10,0.5066,0.0567,0.9901,0.0010,0.9924,0.0020,0.30,0.67,3
localization_20pct,10,0.5307,0.0533,0.9896,0.0012,0.9910,0.0016,0.00,0.00,0
localization_30pct,10,0.5151,0.0519,0.9902,0.0009,0.9910,0.0018,0.30,0.67,3
localization_40pct,10,0.5232,0.0302,0.9899,0.0008,0.9918,0.0026,0.10,0.32,1
localization_50pct,10,0.5221,0.0402,0.9902,0.0011,0.9913,0.0022,0.20,0.42,2
localization_60pct,10,0.5101,0.0591,0.9907,0.0010,0.9913,0.0015,0.30,0.67,3
localization_70pct,10,0.4930,0.0661,0.9907,0.0009,0.9902,0.0039,0.20,0.63,2
localization_80pct,10,0.5228,0.0589,0.9904,0.0012,0.9919,0.0025,0.10,0.32,1
localization_90pct,10,0.5437,0.0347,0.9913,0.0010,0.9895,0.0030,0.20,0.63,2
localization_100pct,10,0.5198,0.0460,0.9897,0.0009,0.9910,0.0022,0.30,0.67,3
mal_remove_10pct,10,0.5191,0.0565,0.9903,0.0015,0.9904,0.0018,0.50,0.97,5
mal_remove_20pct,10,0.5002,0.0370,0.9911,0.0006,0.9917,0.0017,0.00,0.00,0
mal_remove_30pct,10,0.5154,0.0395,0.9913,0.0011,0.9915,0.0020,0.10,0.32,1
mal_remove_40pct,10,0.5078,0.0761,0.9904,0.0012,0.9917,0.0024,0.10,0.32,1
mal_remove_50pct,10,0.5135,0.0295,0.9905,0.0006,0.9922,0.0011,0.00,0.00,0
mal_remove_60pct,10,0.5094,0.0807,0.9908,0.0012,0.9915,0.0021,0.40,0.70,4
mal_remove_70pct,10,0.5027,0.0519,0.9907,0.0014,0.9915,0.0023,0.20,0.63,2
mal_remove_80pct,10,0.5295,0.0590,0.9902,0.0012,0.9917,0.0017,1.00,2.00,10
mal_remove_90pct,10,0.5282,0.0499,0.9901,0.0010,0.9907,0.0019,0.90,1.52,9
mal_remove_100pct,10,0.5165,0.0413,0.9899,0.0012,0.9921,0.0014,0.20,0.63,2
mal_add_10pct,10,0.4855,0.0393,0.9906,0.0016,0.9920,0.0015,0.40,0.97,4
mal_add_20pct,10,0.5255,0.0492,0.9903,0.0010,0.9911,0.0017,0.50,0.97,5
mal_add_30pct,10,0.5048,0.0365,0.9907,0.0012,0.9920,0.0020,0.10,0.32,1
mal_add_40pct,10,0.5087,0.0493,0.9903,0.0007,0.9913,0.0018,0.10,0.32,1
mal_add_50pct,10,0.4861,0.0534,0.9900,0.0013,0.9926,0.0021,0.20,0.42,2
mal_add_60pct,10,0.5164,0.0588,0.9906,0.0010,0.9918,0.0015,0.30,0.48,3
mal_add_70pct,10,0.5259,0.0473,0.9900,0.0015,0.9903,0.0021,0.50,0.71,5
mal_add_80pct,10,0.5094,0.0492,0.9902,0.0010,0.9917,0.0019,0.30,0.67,3
mal_add_90pct,10,0.4961,0.0581,0.9899,0.0005,0.9922,0.0031,0.20,0.42,2
mal_add_100pct,10,0.5289,0.0398,0.9906,0.0007,0.9909,0.0027,0.60,0.84,6
mal_convoy_10pct,10,0.4941,0.0654,0.9905,0.0012,0.9916,0.0025,0.20,0.63,2
mal_convoy_20pct,10,0.5095,0.0621,0.9908,0.0009,0.9909,0.0030,0.10,0.32,1
mal_convoy_30pct,10,0.5243,0.0453,0.9906,0.0010,0.9906,0.0019,0.50,0.97,5
mal_convoy_40pct,10,0.4930,0.0451,0.9906,0.0016,0.9917,0.0018,0.00,0.00,0
mal_convoy_50pct,10,0.5385,0.0501,0.9902,0.0012,0.9909,0.0016,0.30,0.48,3
mal_convoy_60pct,10,0.5286,0.0680,0.9913,0.0010,0.9918,0.0027,0.50,0.97,5
mal_convoy_70pct,10,0.5210,0.0604,0.9901,0.0011,0.9915,0.0019,0.30,0.95,3
mal_convoy_80pct,10,0.4899,0.0413,0.9905,0.0008,0.9918,0.0012,0.30,0.95,3
mal_convoy_90pct,10,0.5404,0.0440,0.9903,0.0012,0.9905,0.0020,0.50,0.97,5
mal_convoy_100pct,10,0.5050,0.0489,0.9903,0.0014,0.9915,0.0014,0.50,0.97,5
