Metric,Value
config_name,baseline
run_id,5
total_steps,2500
recorded_steps,2000
wall_time_seconds,51.95528769493103
avg_cav_amota,0.9918409574734794
avg_cis_amota,0.9906524682900247
avg_global_amota,0.5146259352484556
cav_total_mse_violations_gt,10784
cav_total_mse_violations_sensor,10785
cav_total_ttc_violations_gt,2358
cav_total_ttc_violations_sensor,2283
cav_true_positives_mse,10781
cav_false_positives_mse,4
cav_false_negatives_mse,3
cav_true_positives_ttc,2095
cav_false_positives_ttc,188
cav_false_negatives_ttc,263
cav_amota,3708.4933399933398
cav_total_mse_violations_gt_av,1140
cav_total_mse_violations_gt_non_av,9644
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,10785
cav_total_ttc_violations_gt_av,175
cav_total_ttc_violations_gt_non_av,2183
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2283
cis_total_mse_violations_gt,7340
cis_total_mse_violations_sensor,7345
cis_total_ttc_violations_gt,567
cis_total_ttc_violations_sensor,570
cis_true_positives_mse,7339
cis_false_positives_mse,6
cis_false_negatives_mse,1
cis_true_positives_ttc,559
cis_false_positives_ttc,11
cis_false_negatives_ttc,8
cis_amota,1962.482539682539
cis_total_mse_violations_gt_av,739
cis_total_mse_violations_gt_non_av,6601
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7345
cis_total_ttc_violations_gt_av,33
cis_total_ttc_violations_gt_non_av,534
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,570
global_total_mse_violations_gt,86530
global_total_mse_violations_sensor,108381
global_total_ttc_violations_gt,36096
global_total_ttc_violations_sensor,45293
global_true_positives_mse,82294
global_false_positives_mse,26087
global_false_negatives_mse,4236
global_true_positives_ttc,31607
global_false_positives_ttc,13686
global_false_negatives_ttc,4489
global_amota,917.0634166127479
global_total_mse_violations_gt_av,7532
global_total_mse_violations_gt_non_av,78998
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,108381
global_total_ttc_violations_gt_av,2479
global_total_ttc_violations_gt_non_av,33617
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,45293
