Metric,Value
config_name,extrinsics_7deg
run_id,6
total_steps,2500
recorded_steps,2000
wall_time_seconds,36.7046115398407
avg_cav_amota,0.9913715515988237
avg_cis_amota,0.9896883263380725
avg_global_amota,0.5467509045733571
cav_total_mse_violations_gt,5416
cav_total_mse_violations_sensor,5417
cav_total_ttc_violations_gt,1583
cav_total_ttc_violations_sensor,1384
cav_true_positives_mse,5412
cav_false_positives_mse,5
cav_false_negatives_mse,4
cav_true_positives_ttc,1294
cav_false_positives_ttc,90
cav_false_negatives_ttc,289
cav_amota,2420.9293290043274
cav_total_mse_violations_gt_av,83
cav_total_mse_violations_gt_non_av,5333
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,5417
cav_total_ttc_violations_gt_av,5
cav_total_ttc_violations_gt_non_av,1578
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,1384
cis_total_mse_violations_gt,7397
cis_total_mse_violations_sensor,7397
cis_total_ttc_violations_gt,562
cis_total_ttc_violations_sensor,570
cis_true_positives_mse,7395
cis_false_positives_mse,2
cis_false_negatives_mse,2
cis_true_positives_ttc,552
cis_false_positives_ttc,18
cis_false_negatives_ttc,10
cis_amota,1949.6860028860028
cis_total_mse_violations_gt_av,604
cis_total_mse_violations_gt_non_av,6793
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7397
cis_total_ttc_violations_gt_av,47
cis_total_ttc_violations_gt_non_av,515
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,570
global_total_mse_violations_gt,47441
global_total_mse_violations_sensor,62153
global_total_ttc_violations_gt,14671
global_total_ttc_violations_sensor,19717
global_true_positives_mse,45639
global_false_positives_mse,16514
global_false_negatives_mse,1802
global_true_positives_ttc,12754
global_false_positives_ttc,6963
global_false_negatives_ttc,1917
global_amota,1048.668234971699
global_total_mse_violations_gt_av,2208
global_total_mse_violations_gt_non_av,45233
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,62153
global_total_ttc_violations_gt_av,722
global_total_ttc_violations_gt_non_av,13949
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,19717
