Metric,Value
config_name,mal_add_100pct
run_id,6
total_steps,2500
recorded_steps,2000
wall_time_seconds,41.702749252319336
avg_cav_amota,0.9937897932604632
avg_cis_amota,0.9908297750069904
avg_global_amota,0.5266205057901838
cav_total_mse_violations_gt,7180
cav_total_mse_violations_sensor,7172
cav_total_ttc_violations_gt,2065
cav_total_ttc_violations_sensor,2097
cav_true_positives_mse,7171
cav_false_positives_mse,1
cav_false_negatives_mse,9
cav_true_positives_ttc,1847
cav_false_positives_ttc,250
cav_false_negatives_ttc,218
cav_amota,2863.1083943833946
cav_total_mse_violations_gt_av,251
cav_total_mse_violations_gt_non_av,6929
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,7172
cav_total_ttc_violations_gt_av,59
cav_total_ttc_violations_gt_non_av,2006
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2097
cis_total_mse_violations_gt,7646
cis_total_mse_violations_sensor,7646
cis_total_ttc_violations_gt,618
cis_total_ttc_violations_sensor,616
cis_true_positives_mse,7643
cis_false_positives_mse,3
cis_false_negatives_mse,3
cis_true_positives_ttc,603
cis_false_positives_ttc,13
cis_false_negatives_ttc,15
cis_amota,1956.8888056388062
cis_total_mse_violations_gt_av,546
cis_total_mse_violations_gt_non_av,7100
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7646
cis_total_ttc_violations_gt_av,17
cis_total_ttc_violations_gt_non_av,601
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,616
global_total_mse_violations_gt,65522
global_total_mse_violations_sensor,84063
global_total_ttc_violations_gt,28107
global_total_ttc_violations_sensor,34981
global_true_positives_mse,62458
global_false_positives_mse,21605
global_false_negatives_mse,3064
global_true_positives_ttc,24497
global_false_positives_ttc,10484
global_false_negatives_ttc,3610
global_amota,976.3544177350008
global_total_mse_violations_gt_av,2830
global_total_mse_violations_gt_non_av,62692
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,84063
global_total_ttc_violations_gt_av,1239
global_total_ttc_violations_gt_non_av,26868
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,34981
