Metric,Value
config_name,mal_convoy_60pct
run_id,9
total_steps,2500
recorded_steps,2000
wall_time_seconds,45.07228660583496
avg_cav_amota,0.9894435701305221
avg_cis_amota,0.9906366262257573
avg_global_amota,0.5103846293975822
cav_total_mse_violations_gt,8492
cav_total_mse_violations_sensor,8491
cav_total_ttc_violations_gt,2741
cav_total_ttc_violations_sensor,2677
cav_true_positives_mse,8481
cav_false_positives_mse,10
cav_false_negatives_mse,11
cav_true_positives_ttc,2268
cav_false_positives_ttc,409
cav_false_negatives_ttc,473
cav_amota,3723.2761544011546
cav_total_mse_violations_gt_av,1808
cav_total_mse_violations_gt_non_av,6684
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,8491
cav_total_ttc_violations_gt_av,252
cav_total_ttc_violations_gt_non_av,2489
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2677
cis_total_mse_violations_gt,7473
cis_total_mse_violations_sensor,7475
cis_total_ttc_violations_gt,570
cis_total_ttc_violations_sensor,567
cis_true_positives_mse,7471
cis_false_positives_mse,4
cis_false_negatives_mse,2
cis_true_positives_ttc,560
cis_false_positives_ttc,7
cis_false_negatives_ttc,10
cis_amota,1950.5635170385162
cis_total_mse_violations_gt_av,814
cis_total_mse_violations_gt_non_av,6659
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7475
cis_total_ttc_violations_gt_av,32
cis_total_ttc_violations_gt_non_av,538
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,567
global_total_mse_violations_gt,60372
global_total_mse_violations_sensor,77595
global_total_ttc_violations_gt,21488
global_total_ttc_violations_sensor,28510
global_true_positives_mse,57090
global_false_positives_mse,20505
global_false_negatives_mse,3282
global_true_positives_ttc,17963
global_false_positives_ttc,10547
global_false_negatives_ttc,3525
global_amota,940.6388719797441
global_total_mse_violations_gt_av,4277
global_total_mse_violations_gt_non_av,56095
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,77595
global_total_ttc_violations_gt_av,841
global_total_ttc_violations_gt_non_av,20647
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,28510
