Metric,Value
config_name,baseline
run_id,1
total_steps,2500
recorded_steps,2000
wall_time_seconds,143.66435861587524
avg_cav_amota,1.0
avg_cis_amota,1.0
avg_global_amota,0.7553290903530951
cav_total_mse_violations_gt,20585
cav_total_mse_violations_sensor,20585
cav_total_ttc_violations_gt,7514
cav_total_ttc_violations_sensor,7514
cav_true_positives_mse,20585
cav_false_positives_mse,0
cav_false_negatives_mse,0
cav_true_positives_ttc,7514
cav_false_positives_ttc,0
cav_false_negatives_ttc,0
cav_amota,6363.0
cav_total_mse_violations_gt_av,496
cav_total_mse_violations_gt_non_av,20089
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,20585
cav_total_ttc_violations_gt_av,326
cav_total_ttc_violations_gt_non_av,7188
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,7514
cis_total_mse_violations_gt,17613
cis_total_mse_violations_sensor,17613
cis_total_ttc_violations_gt,1319
cis_total_ttc_violations_sensor,1319
cis_true_positives_mse,17613
cis_false_positives_mse,0
cis_false_negatives_mse,0
cis_true_positives_ttc,1319
cis_false_positives_ttc,0
cis_false_negatives_ttc,0
cis_amota,2000.0
cis_total_mse_violations_gt_av,1087
cis_total_mse_violations_gt_non_av,16526
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,17613
cis_total_ttc_violations_gt_av,81
cis_total_ttc_violations_gt_non_av,1238
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1319
global_total_mse_violations_gt,145053
global_total_mse_violations_sensor,152502
global_total_ttc_violations_gt,61537
global_total_ttc_violations_sensor,61655
global_true_positives_mse,143498
global_false_positives_mse,9004
global_false_negatives_mse,1555
global_true_positives_ttc,56931
global_false_positives_ttc,4724
global_false_negatives_ttc,4606
global_amota,1510.6581807061903
global_total_mse_violations_gt_av,5832
global_total_mse_violations_gt_non_av,139221
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,152502
global_total_ttc_violations_gt_av,2895
global_total_ttc_violations_gt_non_av,58642
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,61655
