Metric,Value
config_name,normal_sensors
run_id,1
total_steps,2500
recorded_steps,2000
wall_time_seconds,460.5131151676178
avg_cav_amota,0.5981767040821545
avg_cis_amota,0.6652366979336597
avg_global_amota,0.41148670275823
cav_total_mse_violations_gt,11853
cav_total_mse_violations_sensor,19611
cav_total_ttc_violations_gt,4911
cav_total_ttc_violations_sensor,7731
cav_true_positives_mse,11848
cav_false_positives_mse,7763
cav_false_negatives_mse,5
cav_true_positives_ttc,4406
cav_false_positives_ttc,3325
cav_false_negatives_ttc,505
cav_amota,1612.0862175014065
cav_total_mse_violations_gt_av,214
cav_total_mse_violations_gt_non_av,11639
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,19611
cav_total_ttc_violations_gt_av,107
cav_total_ttc_violations_gt_non_av,4804
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,7731
cis_total_mse_violations_gt,17482
cis_total_mse_violations_sensor,27360
cis_total_ttc_violations_gt,1329
cis_total_ttc_violations_sensor,2388
cis_true_positives_mse,17482
cis_false_positives_mse,9878
cis_false_negatives_mse,0
cis_true_positives_ttc,1308
cis_false_positives_ttc,1080
cis_false_negatives_ttc,21
cis_amota,1330.4733958673194
cis_total_mse_violations_gt_av,900
cis_total_mse_violations_gt_non_av,16582
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,27360
cis_total_ttc_violations_gt_av,90
cis_total_ttc_violations_gt_non_av,1239
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,2388
global_total_mse_violations_gt,81715
global_total_mse_violations_sensor,180132
global_total_ttc_violations_gt,30713
global_total_ttc_violations_sensor,68289
global_true_positives_mse,81712
global_false_positives_mse,98420
global_false_negatives_mse,3
global_true_positives_ttc,29847
global_false_positives_ttc,38442
global_false_negatives_ttc,866
global_amota,822.97340551646
global_total_mse_violations_gt_av,1909
global_total_mse_violations_gt_non_av,79806
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,180132
global_total_ttc_violations_gt_av,375
global_total_ttc_violations_gt_non_av,30338
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,68289
