Metric,Value
config_name,extrinsics_5deg_notrust
run_id,6
total_steps,2500
recorded_steps,2000
wall_time_seconds,53.15928864479065
avg_cav_amota,0.9911698077072587
avg_cis_amota,0.9896252267757097
avg_global_amota,0.570099160430832
cav_total_mse_violations_gt,11117
cav_total_mse_violations_sensor,11119
cav_total_ttc_violations_gt,2736
cav_total_ttc_violations_sensor,2734
cav_true_positives_mse,11110
cav_false_positives_mse,9
cav_false_negatives_mse,7
cav_true_positives_ttc,2504
cav_false_positives_ttc,230
cav_false_negatives_ttc,232
cav_amota,3771.4011183261196
cav_total_mse_violations_gt_av,1626
cav_total_mse_violations_gt_non_av,9491
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,11119
cav_total_ttc_violations_gt_av,203
cav_total_ttc_violations_gt_non_av,2533
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2734
cis_total_mse_violations_gt,7450
cis_total_mse_violations_sensor,7452
cis_total_ttc_violations_gt,553
cis_total_ttc_violations_sensor,554
cis_true_positives_mse,7449
cis_false_positives_mse,3
cis_false_negatives_mse,1
cis_true_positives_ttc,541
cis_false_positives_ttc,13
cis_false_negatives_ttc,12
cis_amota,1946.592821067821
cis_total_mse_violations_gt_av,1008
cis_total_mse_violations_gt_non_av,6442
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7452
cis_total_ttc_violations_gt_av,78
cis_total_ttc_violations_gt_non_av,475
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,554
global_total_mse_violations_gt,73931
global_total_mse_violations_sensor,94185
global_total_ttc_violations_gt,35875
global_total_ttc_violations_sensor,44882
global_true_positives_mse,71792
global_false_positives_mse,22393
global_false_negatives_mse,2139
global_true_positives_ttc,32627
global_false_positives_ttc,12255
global_false_negatives_ttc,3248
global_amota,1049.5525543531617
global_total_mse_violations_gt_av,9418
global_total_mse_violations_gt_non_av,64513
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,94185
global_total_ttc_violations_gt_av,3606
global_total_ttc_violations_gt_non_av,32269
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,44882
