Metric,Value
config_name,mal_add_50pct_notrust
run_id,1
total_steps,7000
recorded_steps,5000
wall_time_seconds,566.7282254695892
avg_cav_amota,0.9906855672087252
avg_cis_amota,0.9902820597743481
avg_global_amota,0.43480173512248155
cav_total_mse_violations_gt,78701
cav_total_mse_violations_sensor,78697
cav_total_ttc_violations_gt,24508
cav_total_ttc_violations_sensor,21545
cav_true_positives_mse,78669
cav_false_positives_mse,28
cav_false_negatives_mse,32
cav_true_positives_ttc,19077
cav_false_positives_ttc,2468
cav_false_negatives_ttc,5431
cav_amota,32813.4873570874
cav_total_mse_violations_gt_av,5437
cav_total_mse_violations_gt_non_av,73264
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,78697
cav_total_ttc_violations_gt_av,1805
cav_total_ttc_violations_gt_non_av,22703
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,21545
cis_total_mse_violations_gt,25605
cis_total_mse_violations_sensor,25602
cis_total_ttc_violations_gt,1862
cis_total_ttc_violations_sensor,1862
cis_true_positives_mse,25589
cis_false_positives_mse,13
cis_false_negatives_mse,16
cis_true_positives_ttc,1819
cis_false_positives_ttc,43
cis_false_negatives_ttc,43
cis_amota,4944.47832445332
cis_total_mse_violations_gt_av,2748
cis_total_mse_violations_gt_non_av,22857
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25602
cis_total_ttc_violations_gt_av,193
cis_total_ttc_violations_gt_non_av,1669
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1862
global_total_mse_violations_gt,1149667
global_total_mse_violations_sensor,1358961
global_total_ttc_violations_gt,447222
global_total_ttc_violations_sensor,543223
global_true_positives_mse,1120495
global_false_positives_mse,238466
global_false_negatives_mse,29172
global_true_positives_ttc,412551
global_false_positives_ttc,130672
global_false_negatives_ttc,34671
global_amota,2167.921451320693
global_total_mse_violations_gt_av,90949
global_total_mse_violations_gt_non_av,1058718
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1358961
global_total_ttc_violations_gt_av,38748
global_total_ttc_violations_gt_non_av,408474
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,543223
