Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,1,0.5727,0.0000,0.9935,0.0000,0.9830,0.0000,0.00,0.00,0
baseline_notrust,1,0.5959,0.0000,0.9882,0.0000,0.9929,0.0000,0.00,0.00,0
extrinsics_5deg_trust,1,0.5417,0.0000,0.9918,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_notrust,1,0.6066,0.0000,0.9927,0.0000,0.9841,0.0000,0.00,0.00,0
localization_50pct_trust,1,0.6957,0.0000,0.9960,0.0000,0.9924,0.0000,0.00,0.00,0
localization_50pct_notrust,1,0.6529,0.0000,0.9931,0.0000,0.9874,0.0000,0.00,0.00,0
mal_remove_50pct_trust,1,0.5281,0.0000,0.9920,0.0000,0.0000,0.0000,0.00,0.00,0
mal_remove_50pct_notrust,1,0.6549,0.0000,0.9914,0.0000,0.9806,0.0000,0.00,0.00,0
mal_add_50pct_trust,1,0.6601,0.0000,0.9927,0.0000,0.9884,0.0000,0.00,0.00,0
mal_add_50pct_notrust,1,0.6691,0.0000,0.9900,0.0000,0.9893,0.0000,1.00,0.00,1
mal_convoy_50pct_trust,1,0.4875,0.0000,0.9880,0.0000,0.9980,0.0000,0.00,0.00,0
mal_convoy_50pct_notrust,1,0.6093,0.0000,0.9942,0.0000,0.9842,0.0000,0.00,0.00,0
