Metric,Value
config_name,baseline_notrust
run_id,9
total_steps,7000
recorded_steps,5000
wall_time_seconds,454.93756890296936
avg_cav_amota,0.9936271060139883
avg_cis_amota,0.9907845653594266
avg_global_amota,0.4932491312382182
cav_total_mse_violations_gt,75498
cav_total_mse_violations_sensor,75504
cav_total_ttc_violations_gt,19003
cav_total_ttc_violations_sensor,19014
cav_true_positives_mse,75469
cav_false_positives_mse,35
cav_false_negatives_mse,29
cav_true_positives_ttc,16739
cav_false_positives_ttc,2275
cav_false_negatives_ttc,2264
cav_amota,28877.784582084543
cav_total_mse_violations_gt_av,13462
cav_total_mse_violations_gt_non_av,62036
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,75504
cav_total_ttc_violations_gt_av,1968
cav_total_ttc_violations_gt_non_av,17035
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,19014
cis_total_mse_violations_gt,24856
cis_total_mse_violations_sensor,24866
cis_total_ttc_violations_gt,1851
cis_total_ttc_violations_sensor,1865
cis_true_positives_mse,24844
cis_false_positives_mse,22
cis_false_negatives_mse,12
cis_true_positives_ttc,1815
cis_false_positives_ttc,50
cis_false_negatives_ttc,36
cis_amota,4942.03341201282
cis_total_mse_violations_gt_av,4121
cis_total_mse_violations_gt_non_av,20735
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24866
cis_total_ttc_violations_gt_av,265
cis_total_ttc_violations_gt_non_av,1586
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1865
global_total_mse_violations_gt,892007
global_total_mse_violations_sensor,1074686
global_total_ttc_violations_gt,324407
global_total_ttc_violations_sensor,405770
global_true_positives_mse,872392
global_false_positives_mse,202294
global_false_negatives_mse,19615
global_true_positives_ttc,301223
global_false_positives_ttc,104547
global_false_negatives_ttc,23184
global_amota,2458.8469192225175
global_total_mse_violations_gt_av,148338
global_total_mse_violations_gt_non_av,743669
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1074686
global_total_ttc_violations_gt_av,49674
global_total_ttc_violations_gt_non_av,274733
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,405770
