Metric,Value
config_name,baseline
run_id,5
total_steps,7000
recorded_steps,5000
wall_time_seconds,472.31980538368225
avg_cav_amota,0.9945282460521429
avg_cis_amota,0.9906688202511521
avg_global_amota,0.4459353429734768
cav_total_mse_violations_gt,72489
cav_total_mse_violations_sensor,72480
cav_total_ttc_violations_gt,24242
cav_total_ttc_violations_sensor,20532
cav_true_positives_mse,72461
cav_false_positives_mse,19
cav_false_negatives_mse,28
cav_true_positives_ttc,17715
cav_false_positives_ttc,2817
cav_false_negatives_ttc,6527
cav_amota,31440.021442446392
cav_total_mse_violations_gt_av,9222
cav_total_mse_violations_gt_non_av,63267
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,72480
cav_total_ttc_violations_gt_av,2202
cav_total_ttc_violations_gt_non_av,22040
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,20532
cis_total_mse_violations_gt,24788
cis_total_mse_violations_sensor,24788
cis_total_ttc_violations_gt,1766
cis_total_ttc_violations_sensor,1774
cis_true_positives_mse,24777
cis_false_positives_mse,11
cis_false_negatives_mse,11
cis_true_positives_ttc,1742
cis_false_positives_ttc,32
cis_false_negatives_ttc,24
cis_amota,4945.4187506937515
cis_total_mse_violations_gt_av,2983
cis_total_mse_violations_gt_non_av,21805
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24788
cis_total_ttc_violations_gt_av,215
cis_total_ttc_violations_gt_non_av,1551
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1774
global_total_mse_violations_gt,965136
global_total_mse_violations_sensor,1161048
global_total_ttc_violations_gt,351550
global_total_ttc_violations_sensor,449150
global_true_positives_mse,941148
global_false_positives_mse,219900
global_false_negatives_mse,23988
global_true_positives_ttc,325863
global_false_positives_ttc,123287
global_false_negatives_ttc,25687
global_amota,2219.420201978994
global_total_mse_violations_gt_av,125710
global_total_mse_violations_gt_non_av,839426
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1161048
global_total_ttc_violations_gt_av,35499
global_total_ttc_violations_gt_non_av,316051
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,449150
