Metric,Value
config_name,mal_remove_50pct_notrust
run_id,3
total_steps,1500
recorded_steps,1000
wall_time_seconds,17.68871283531189
avg_cav_amota,0.9963618049024048
avg_cis_amota,0.9937887146728607
avg_global_amota,0.41890754892850285
cav_total_mse_violations_gt,2559
cav_total_mse_violations_sensor,2558
cav_total_ttc_violations_gt,1137
cav_total_ttc_violations_sensor,867
cav_true_positives_mse,2558
cav_false_positives_mse,0
cav_false_negatives_mse,1
cav_true_positives_ttc,745
cav_false_positives_ttc,122
cav_false_negatives_ttc,392
cav_amota,1362.0265873015874
cav_total_mse_violations_gt_av,36
cav_total_mse_violations_gt_non_av,2523
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,2558
cav_total_ttc_violations_gt_av,36
cav_total_ttc_violations_gt_non_av,1101
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,867
cis_total_mse_violations_gt,3116
cis_total_mse_violations_sensor,3118
cis_total_ttc_violations_gt,242
cis_total_ttc_violations_sensor,246
cis_true_positives_mse,3114
cis_false_positives_mse,4
cis_false_negatives_mse,2
cis_true_positives_ttc,238
cis_false_positives_ttc,8
cis_false_negatives_ttc,4
cis_amota,977.8880952380949
cis_total_mse_violations_gt_av,79
cis_total_mse_violations_gt_non_av,3037
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,3118
cis_total_ttc_violations_gt_av,35
cis_total_ttc_violations_gt_non_av,207
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,246
global_total_mse_violations_gt,28501
global_total_mse_violations_sensor,35046
global_total_ttc_violations_gt,13484
global_total_ttc_violations_sensor,16941
global_true_positives_mse,25930
global_false_positives_mse,9116
global_false_negatives_mse,2571
global_true_positives_ttc,11429
global_false_positives_ttc,5512
global_false_negatives_ttc,2055
global_amota,370.73318080172504
global_total_mse_violations_gt_av,426
global_total_mse_violations_gt_non_av,28075
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,35046
global_total_ttc_violations_gt_av,155
global_total_ttc_violations_gt_non_av,13329
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,16941
