Metric,Value
config_name,extrinsics_1deg_trust
run_id,3
total_steps,15000
recorded_steps,10000
wall_time_seconds,1063.3695797920227
avg_cav_amota,0.9940211146496754
avg_cis_amota,0.9910475447158441
avg_global_amota,0.3971637380301529
cav_total_mse_violations_gt,117493
cav_total_mse_violations_sensor,117447
cav_total_ttc_violations_gt,42400
cav_total_ttc_violations_sensor,33374
cav_true_positives_mse,117412
cav_false_positives_mse,35
cav_false_negatives_mse,81
cav_true_positives_ttc,28595
cav_false_positives_ttc,4779
cav_false_negatives_ttc,13805
cav_amota,47670.27059525448
cav_total_mse_violations_gt_av,6438
cav_total_mse_violations_gt_non_av,111055
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,117447
cav_total_ttc_violations_gt_av,2324
cav_total_ttc_violations_gt_non_av,40076
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,33374
cis_total_mse_violations_gt,49715
cis_total_mse_violations_sensor,49711
cis_total_ttc_violations_gt,3704
cis_total_ttc_violations_sensor,3723
cis_true_positives_mse,49662
cis_false_positives_mse,49
cis_false_negatives_mse,53
cis_true_positives_ttc,3645
cis_false_positives_ttc,78
cis_false_negatives_ttc,59
cis_amota,9900.564971711283
cis_total_mse_violations_gt_av,3612
cis_total_mse_violations_gt_non_av,46103
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,49711
cis_total_ttc_violations_gt_av,365
cis_total_ttc_violations_gt_non_av,3339
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,3723
global_total_mse_violations_gt,1206467
global_total_mse_violations_sensor,1447524
global_total_ttc_violations_gt,478446
global_total_ttc_violations_sensor,580154
global_true_positives_mse,1169505
global_false_positives_mse,278019
global_false_negatives_mse,36962
global_true_positives_ttc,433500
global_false_positives_ttc,146654
global_false_negatives_ttc,44946
global_amota,3926.360714166092
global_total_mse_violations_gt_av,74729
global_total_mse_violations_gt_non_av,1131738
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1447524
global_total_ttc_violations_gt_av,31290
global_total_ttc_violations_gt_non_av,447156
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,580154
