Metric,Value
config_name,localization_80pct_notrust
run_id,4
total_steps,15000
recorded_steps,10000
wall_time_seconds,1406.2342131137848
avg_cav_amota,0.9769121467702772
avg_cis_amota,0.9914890609454039
avg_global_amota,0.4053149203341681
cav_total_mse_violations_gt,170083
cav_total_mse_violations_sensor,169959
cav_total_ttc_violations_gt,56831
cav_total_ttc_violations_sensor,45248
cav_true_positives_mse,169837
cav_false_positives_mse,122
cav_false_negatives_mse,246
cav_true_positives_ttc,39380
cav_false_positives_ttc,5868
cav_false_negatives_ttc,17451
cav_amota,56162.67931782323
cav_total_mse_violations_gt_av,27801
cav_total_mse_violations_gt_non_av,142282
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,169959
cav_total_ttc_violations_gt_av,9845
cav_total_ttc_violations_gt_non_av,46986
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,45248
cis_total_mse_violations_gt,49532
cis_total_mse_violations_sensor,49524
cis_total_ttc_violations_gt,3718
cis_total_ttc_violations_sensor,3724
cis_true_positives_mse,49486
cis_false_positives_mse,38
cis_false_negatives_mse,46
cis_true_positives_ttc,3642
cis_false_positives_ttc,82
cis_false_negatives_ttc,76
cis_amota,9897.043806357022
cis_total_mse_violations_gt_av,4803
cis_total_mse_violations_gt_non_av,44729
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,49524
cis_total_ttc_violations_gt_av,369
cis_total_ttc_violations_gt_non_av,3349
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,3724
global_total_mse_violations_gt,2010530
global_total_mse_violations_sensor,2541185
global_total_ttc_violations_gt,790438
global_total_ttc_violations_sensor,1019710
global_true_positives_mse,1968240
global_false_positives_mse,572945
global_false_negatives_mse,42290
global_true_positives_ttc,730760
global_false_positives_ttc,288950
global_false_negatives_ttc,59678
global_amota,4002.890153220244
global_total_mse_violations_gt_av,272320
global_total_mse_violations_gt_non_av,1738210
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,2541185
global_total_ttc_violations_gt_av,118946
global_total_ttc_violations_gt_non_av,671492
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,1019710
