Metric,Value
config_name,mal_remove_10pct_trust
run_id,7
total_steps,15000
recorded_steps,10000
wall_time_seconds,1893.4313900470734
avg_cav_amota,0.994087099483002
avg_cis_amota,0.9910246768452615
avg_global_amota,0.4448150794920958
cav_total_mse_violations_gt,214439
cav_total_mse_violations_sensor,214430
cav_total_ttc_violations_gt,69744
cav_total_ttc_violations_sensor,56896
cav_true_positives_mse,214364
cav_false_positives_mse,66
cav_false_negatives_mse,75
cav_true_positives_ttc,49459
cav_false_positives_ttc,7437
cav_false_negatives_ttc,20285
cav_amota,76495.99639231649
cav_total_mse_violations_gt_av,20255
cav_total_mse_violations_gt_non_av,194184
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,214430
cav_total_ttc_violations_gt_av,6676
cav_total_ttc_violations_gt_non_av,63068
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,56896
cis_total_mse_violations_gt,56651
cis_total_mse_violations_sensor,56641
cis_total_ttc_violations_gt,3732
cis_total_ttc_violations_sensor,3755
cis_true_positives_mse,56607
cis_false_positives_mse,34
cis_false_negatives_mse,44
cis_true_positives_ttc,3671
cis_false_positives_ttc,84
cis_false_negatives_ttc,61
cis_amota,9903.309595714698
cis_total_mse_violations_gt_av,6219
cis_total_mse_violations_gt_non_av,50432
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,56641
cis_total_ttc_violations_gt_av,466
cis_total_ttc_violations_gt_non_av,3266
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,3755
global_total_mse_violations_gt,2743777
global_total_mse_violations_sensor,3245017
global_total_ttc_violations_gt,1048322
global_total_ttc_violations_sensor,1261313
global_true_positives_mse,2688881
global_false_positives_mse,556136
global_false_negatives_mse,54896
global_true_positives_ttc,972818
global_false_positives_ttc,288495
global_false_negatives_ttc,75504
global_amota,4437.92004809264
global_total_mse_violations_gt_av,273540
global_total_mse_violations_gt_non_av,2470237
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,3245017
global_total_ttc_violations_gt_av,100443
global_total_ttc_violations_gt_non_av,947879
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,1261313
