Metric,Value
config_name,high_miss_20pct_notrust
run_id,8
total_steps,7000
recorded_steps,5000
wall_time_seconds,275.4628005027771
avg_cav_amota,0.9950521713152568
avg_cis_amota,0.9906876829031013
avg_global_amota,0.45756814405961355
cav_total_mse_violations_gt,33105
cav_total_mse_violations_sensor,33097
cav_total_ttc_violations_gt,10777
cav_total_ttc_violations_sensor,9715
cav_true_positives_mse,33086
cav_false_positives_mse,11
cav_false_negatives_mse,19
cav_true_positives_ttc,8705
cav_false_positives_ttc,1010
cav_false_negatives_ttc,2072
cav_amota,13116.777722277715
cav_total_mse_violations_gt_av,1061
cav_total_mse_violations_gt_non_av,32044
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,33097
cav_total_ttc_violations_gt_av,524
cav_total_ttc_violations_gt_non_av,10253
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,9715
cis_total_mse_violations_gt,24819
cis_total_mse_violations_sensor,24813
cis_total_ttc_violations_gt,1805
cis_total_ttc_violations_sensor,1810
cis_true_positives_mse,24800
cis_false_positives_mse,13
cis_false_negatives_mse,19
cis_true_positives_ttc,1772
cis_false_positives_ttc,38
cis_false_negatives_ttc,33
cis_amota,4934.615348540347
cis_total_mse_violations_gt_av,1682
cis_total_mse_violations_gt_non_av,23137
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24813
cis_total_ttc_violations_gt_av,64
cis_total_ttc_violations_gt_non_av,1741
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1810
global_total_mse_violations_gt,418589
global_total_mse_violations_sensor,519099
global_total_ttc_violations_gt,158705
global_total_ttc_violations_sensor,202778
global_true_positives_mse,408682
global_false_positives_mse,110417
global_false_negatives_mse,9907
global_true_positives_ttc,147162
global_false_positives_ttc,55616
global_false_negatives_ttc,11543
global_amota,2210.0541358079336
global_total_mse_violations_gt_av,20460
global_total_mse_violations_gt_non_av,398129
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,519099
global_total_ttc_violations_gt_av,7250
global_total_ttc_violations_gt_non_av,151455
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,202778
